,22q_ratio_spin_r,22q_ratio_spin_p,22q_ratio_spin_p_adj,adhd_ratio_spin_r,adhd_ratio_spin_p,adhd_ratio_spin_p_adj,asd_ratio_spin_r,asd_ratio_spin_p,asd_ratio_spin_p_adj,epilepsy_gge_ratio_spin_r,epilepsy_gge_ratio_spin_p,epilepsy_gge_ratio_spin_p_adj,epilepsy_rtle_ratio_spin_r,epilepsy_rtle_ratio_spin_p,epilepsy_rtle_ratio_spin_p_adj,epilepsy_ltle_ratio_spin_r,epilepsy_ltle_ratio_spin_p,epilepsy_ltle_ratio_spin_p_adj,depression_ratio_spin_r,depression_ratio_spin_p,depression_ratio_spin_p_adj,ocd_ratio_spin_r,ocd_ratio_spin_p,ocd_ratio_spin_p_adj,schizophrenia_ratio_spin_r,schizophrenia_ratio_spin_p,schizophrenia_ratio_spin_p_adj,bipolar_ratio_spin_r,bipolar_ratio_spin_p,bipolar_ratio_spin_p_adj,obesity_ratio_spin_r,obesity_ratio_spin_p,obesity_ratio_spin_p_adj,schizotypy_ratio_spin_r,schizotypy_ratio_spin_p,schizotypy_ratio_spin_p_adj,parkinson_ratio_spin_r,parkinson_ratio_spin_p,parkinson_ratio_spin_p_adj
Astro,0.1196324187225981,0.6053946053946054,1.0,-0.3333755596943583,0.3386613386613387,1.0,0.07763597889900453,0.8481518481518482,1.0,-0.35083727029569284,0.0979020979020979,1.0,-0.2816901500883703,0.43456543456543456,1.0,-0.1563536173209748,0.5684315684315684,1.0,-0.04439442070482446,0.8841158841158842,1.0,0.09964042893768753,0.5654345654345654,1.0,-0.23082147320412053,0.35564435564435565,1.0,-0.2656804756681238,0.21578421578421578,1.0,-0.37188604518992635,0.06593406593406594,1.0,-0.35659346587438834,0.0919080919080919,1.0,0.17508078016162265,0.5974025974025974,1.0
Chandelier,0.11659389151788842,0.6893106893106893,1.0,-0.6038980196874422,0.023976023976023976,1.0,0.17328295810378758,0.7352647352647352,1.0,0.057185948625364434,0.8691308691308691,1.0,0.35394090171479253,0.4645354645354645,1.0,0.1904718613267663,0.5944055944055944,1.0,-0.3755857197246,0.1838161838161838,1.0,-0.12228988031671652,0.46053946053946054,1.0,-0.39473497499051774,0.17182817182817184,1.0,-0.3228361281756396,0.17882117882117882,1.0,-0.37981907251629976,0.07792207792207792,1.0,0.09690647763292104,0.7122877122877123,1.0,0.2867909652053581,0.4925074925074925,1.0
Endo,0.01832593654551771,0.9340659340659341,1.0,-0.6284994255934052,0.003996003996003996,1.0,0.26532790478965584,0.3726273726273726,1.0,0.003384048530770099,0.985014985014985,1.0,0.03205246968970787,0.9200799200799201,1.0,0.028307462159000124,0.8951048951048951,1.0,-0.08752935015089171,0.7282717282717283,1.0,0.36628050930803474,0.026973026973026972,1.0,0.0849102368675789,0.6883116883116883,1.0,0.22136798965924717,0.24275724275724275,1.0,-0.1661577540573436,0.3966033966033966,1.0,-0.13571520861836844,0.5284715284715285,1.0,0.36138092705424646,0.13786213786213786,1.0
L2/3 IT,-0.09720560380367681,0.7312687312687313,1.0,0.7972367656758345,0.001998001998001998,0.5974025974025974,-0.3668591428492166,0.37462537462537465,1.0,-0.12649131858543103,0.6283716283716284,1.0,-0.18963821292536312,0.6783216783216783,1.0,-0.2949020083477323,0.34165834165834164,1.0,0.35724881974747097,0.2017982017982018,1.0,-0.24865347912973496,0.15084915084915085,1.0,0.1588604822869622,0.6033966033966034,1.0,0.1127373154576664,0.6463536463536463,1.0,0.2946885133427021,0.1998001998001998,1.0,-0.08021569969622314,0.7712287712287712,1.0,-0.4925964746659138,0.10989010989010989,1.0
L4 IT,-0.11791475057616682,0.6673326673326674,1.0,0.7333601626983896,0.001998001998001998,0.5974025974025974,-0.412002639444429,0.3166833166833167,1.0,0.08333483903977056,0.7562437562437563,1.0,0.07394887192760834,0.8841158841158842,1.0,-0.06107120245457368,0.8711288711288712,1.0,0.2430530224958703,0.4485514485514486,1.0,-0.23448557913759413,0.15084915084915085,1.0,0.10605072891763102,0.7622377622377622,1.0,0.13362863254969257,0.5874125874125874,1.0,0.27189322984279757,0.23376623376623376,1.0,0.143375481287384,0.6173826173826173,1.0,-0.4597793565048477,0.17582417582417584,1.0
L5 ET,0.3579598341272832,0.17482517482517482,1.0,-0.08826188831721866,0.8891108891108891,1.0,0.661242855093648,0.03896103896103896,1.0,-0.28155470505898256,0.4115884115884116,1.0,-0.6927629250951108,0.012987012987012988,1.0,-0.2695582337195121,0.46053946053946054,1.0,0.3058703323400683,0.37162837162837165,1.0,0.20967554319271203,0.2007992007992008,1.0,0.2413204606545936,0.5064935064935064,1.0,-0.014630470640967048,0.9630369630369631,1.0,0.35958800979997146,0.07992007992007992,1.0,-0.22473334052753124,0.4115884115884116,1.0,0.32997887191154346,0.5334665334665335,1.0
L5 IT,-0.26858186436912473,0.3276723276723277,1.0,0.7032617197174937,0.004995004995004995,1.0,-0.4184117456620502,0.3786213786213786,1.0,0.1451901158589955,0.6163836163836164,1.0,0.05573731845936963,0.9400599400599401,1.0,-0.09591931531585023,0.8151848151848152,1.0,0.1167336817445836,0.7392607392607392,1.0,-0.3178144537097928,0.01998001998001998,1.0,0.16238229844899793,0.6363636363636364,1.0,0.11980859968059442,0.6443556443556444,1.0,0.21460553003380575,0.35064935064935066,1.0,0.15941193896614322,0.5964035964035964,1.0,-0.640380817075819,0.028971028971028972,1.0
L5/6 NP,0.03713896525303495,0.8771228771228772,1.0,0.6447771710250666,0.003996003996003996,1.0,0.060073393821814224,0.8781218781218781,1.0,0.11886553005946665,0.6203796203796204,1.0,-0.16441596715303566,0.6653346653346653,1.0,-0.01975066833721656,0.942057942057942,1.0,0.24380829264632775,0.3386613386613387,1.0,-0.17853138906654872,0.34765234765234765,1.0,0.33359267102303947,0.1918081918081918,1.0,0.12977258001879258,0.5974025974025974,1.0,0.578202720046128,0.004995004995004995,1.0,0.22892124532063596,0.3086913086913087,1.0,-0.24095898207866492,0.46653346653346656,1.0
L6 CT,0.1508574325200867,0.41358641358641357,1.0,0.35539210190949794,0.11188811188811189,1.0,0.2666692670360878,0.2837162837162837,1.0,-0.0010176792622174178,0.997002997002997,1.0,-0.2857709203131029,0.24875124875124874,1.0,-0.0629051427836948,0.7522477522477522,1.0,0.33494291625733874,0.08391608391608392,1.0,0.03570135800002055,0.8381618381618382,1.0,0.33096572544955094,0.12287712287712288,1.0,0.21319107724456957,0.3086913086913087,1.0,0.5443988984432229,0.001998001998001998,0.5974025974025974,0.07439245980036406,0.7142857142857143,1.0,0.03282676903686617,0.8751248751248751,1.0
L6 IT,-0.043237045247641624,0.8731268731268731,1.0,0.5865235256291571,0.012987012987012988,1.0,-0.07931798520572797,0.8621378621378621,1.0,-0.07336742688797482,0.7972027972027972,1.0,-0.2986130598517481,0.4955044955044955,1.0,-0.22703832209742472,0.44255744255744256,1.0,0.23598170857284703,0.4095904095904096,1.0,-0.2660420873883107,0.07892107892107893,1.0,0.22848303325069824,0.4175824175824176,1.0,0.029334395076014583,0.906093906093906,1.0,0.36237151736722173,0.07392607392607392,1.0,0.01080830229925871,0.9600399600399601,1.0,-0.4160742808185322,0.15884115884115885,1.0
