,22q_ratio_spin_r,22q_ratio_spin_p,22q_ratio_spin_p_adj,adhd_ratio_spin_r,adhd_ratio_spin_p,adhd_ratio_spin_p_adj,asd_ratio_spin_r,asd_ratio_spin_p,asd_ratio_spin_p_adj,epilepsy_gge_ratio_spin_r,epilepsy_gge_ratio_spin_p,epilepsy_gge_ratio_spin_p_adj,epilepsy_rtle_ratio_spin_r,epilepsy_rtle_ratio_spin_p,epilepsy_rtle_ratio_spin_p_adj,epilepsy_ltle_ratio_spin_r,epilepsy_ltle_ratio_spin_p,epilepsy_ltle_ratio_spin_p_adj,depression_ratio_spin_r,depression_ratio_spin_p,depression_ratio_spin_p_adj,ocd_ratio_spin_r,ocd_ratio_spin_p,ocd_ratio_spin_p_adj,schizophrenia_ratio_spin_r,schizophrenia_ratio_spin_p,schizophrenia_ratio_spin_p_adj,bipolar_ratio_spin_r,bipolar_ratio_spin_p,bipolar_ratio_spin_p_adj,obesity_ratio_spin_r,obesity_ratio_spin_p,obesity_ratio_spin_p_adj,schizotypy_ratio_spin_r,schizotypy_ratio_spin_p,schizotypy_ratio_spin_p_adj,parkinson_ratio_spin_r,parkinson_ratio_spin_p,parkinson_ratio_spin_p_adj
Astro,0.14579809037499242,0.5834165834165834,1.0,-0.6957331517776117,0.003996003996003996,1.0,0.28201413996617264,0.5014985014985015,1.0,-0.15194740991755026,0.6423576423576424,1.0,-0.06144087085971577,0.9080919080919081,1.0,0.06209153507447544,0.8581418581418582,1.0,-0.20475200187255416,0.5174825174825175,1.0,0.250053587077496,0.15684315684315683,1.0,-0.2072680805753563,0.4945054945054945,1.0,-0.18372183768093675,0.46053946053946054,1.0,-0.3740273536818167,0.09290709290709291,1.0,-0.20293721425009723,0.4325674325674326,1.0,0.4521821732588665,0.12987012987012986,1.0
Chandelier,0.15562378514355382,0.5964035964035964,1.0,-0.7028262688332281,0.002997002997002997,0.8811188811188811,0.2899931062222591,0.5544455544455544,1.0,0.07743987363500296,0.8491508491508492,1.0,0.3125710509886077,0.5814185814185814,1.0,0.20639208509971893,0.6083916083916084,1.0,-0.3711160461984688,0.23676323676323677,1.0,-0.03247841285867783,0.8451548451548452,1.0,-0.3115443052154882,0.3226773226773227,1.0,-0.2786210290768911,0.2647352647352647,1.0,-0.3244579080277037,0.12487512487512488,1.0,0.08577923838294159,0.8051948051948052,1.0,0.3976367671536901,0.3336663336663337,1.0
Endo,0.04003207442839412,0.8541458541458542,1.0,-0.5714035545962195,0.002997002997002997,0.8811188811188811,0.3148148423300164,0.27172827172827174,1.0,-0.13478082071368078,0.5024975024975025,1.0,-0.1426303253756226,0.6693306693306693,1.0,-0.04648536837698584,0.8311688311688312,1.0,-0.017334718772491896,0.945054945054945,1.0,0.3747881481587029,0.016983016983016984,1.0,0.18346001083239286,0.4155844155844156,1.0,0.24096674535000132,0.1918081918081918,1.0,-0.10462717839962228,0.6033966033966034,1.0,-0.22709277814943124,0.2647352647352647,1.0,0.3250451505924546,0.17482517482517482,1.0
L2/3 IT,-0.09896035026156043,0.6433566433566433,1.0,0.6408718640107982,0.003996003996003996,1.0,-0.40963945449018524,0.1928071928071928,1.0,-0.17399132229026038,0.4905094905094905,1.0,-0.12961286162281538,0.7292707292707292,1.0,-0.3397667698617492,0.16483516483516483,1.0,0.299418333382107,0.19080919080919082,1.0,-0.22740569150549086,0.23876123876123875,1.0,0.09518199096558835,0.7532467532467533,1.0,0.08476008214015465,0.7372627372627373,1.0,0.17674493255674428,0.45354645354645357,1.0,-0.20219045226547547,0.3956043956043956,1.0,-0.3842561058296221,0.13186813186813187,1.0
L4 IT,-0.11845857583276567,0.6823176823176823,1.0,0.5659728550059775,0.04095904095904096,1.0,-0.4223099662309007,0.2957042957042957,1.0,0.20002819928326832,0.5224775224775224,1.0,0.27779036261101053,0.5654345654345654,1.0,0.08992879733849202,0.7742257742257742,1.0,0.14746213045566914,0.6223776223776224,1.0,-0.17107453400351275,0.3146853146853147,1.0,0.05123146191444686,0.8761238761238761,1.0,0.1580569764021271,0.5274725274725275,1.0,0.20154915567178155,0.35364635364635366,1.0,0.2387248150000283,0.34665334665334663,1.0,-0.34578358996784564,0.35364635364635366,1.0
L5 ET,0.31770427137973306,0.2777222777222777,1.0,-0.5179774254717066,0.16283716283716285,1.0,0.6907017318852992,0.027972027972027972,1.0,-0.22626236641550995,0.5574425574425574,1.0,-0.47667016525151074,0.36563436563436563,1.0,-0.13741348010125615,0.7352647352647352,1.0,0.06060213540221423,0.8701298701298701,1.0,0.2893258242482581,0.04795204795204795,1.0,0.08429240700153523,0.8361638361638362,1.0,-0.05986252065936368,0.8641358641358642,1.0,0.07472664492841224,0.8061938061938062,1.0,-0.2149984615931728,0.48451548451548454,1.0,0.50664856327291,0.17882117882117882,1.0
L5 IT,-0.3918011899044745,0.028971028971028972,1.0,0.11841740765101837,0.6333666333666333,1.0,-0.3343524559994364,0.22477522477522477,1.0,0.4083571025429313,0.03196803196803197,1.0,0.417569885434252,0.10789210789210789,1.0,0.18002941215963578,0.45254745254745254,1.0,-0.3181606654807945,0.13186813186813187,1.0,-0.25333113071950486,0.15384615384615385,1.0,0.04688504698751603,0.8621378621378621,1.0,0.05298419869265129,0.8091908091908092,1.0,-0.10093676130596067,0.6073926073926074,1.0,0.3128680737253791,0.10589410589410589,1.0,-0.479036299502423,0.030969030969030968,1.0
L5/6 NP,0.13671549613256642,0.4945054945054945,1.0,0.2984111484892066,0.24675324675324675,1.0,0.36079739425365404,0.15584415584415584,1.0,0.2696533552007708,0.16983016983016982,1.0,-0.06643066077206632,0.7792207792207793,1.0,0.19146000732820478,0.4435564435564436,1.0,0.06908605567468017,0.7592407592407593,1.0,-0.0742804569059472,0.7502497502497503,1.0,0.38448419068857476,0.11488511488511488,1.0,0.11661174157242753,0.6263736263736264,1.0,0.6272271176953478,0.000999000999000999,0.2987012987012987,0.37504978216213386,0.07192807192807193,1.0,0.06893552951335394,0.7642357642357642,1.0
L6 CT,0.2709893272979465,0.2547452547452547,1.0,-0.4971097151156152,0.06993006993006994,1.0,0.6601987803653057,0.002997002997002997,0.8811188811188811,0.0987270315780122,0.7592407592407593,1.0,-0.10592980218198059,0.8201798201798202,1.0,0.20017917142612818,0.5174825174825175,1.0,-0.011654478229372588,0.968031968031968,1.0,0.30507371066578554,0.04695304695304695,1.0,0.18323707403686504,0.5204795204795205,1.0,0.1159476741505013,0.6243756243756243,1.0,0.2584725800098067,0.15784215784215785,1.0,0.09665147279660927,0.7142857142857143,1.0,0.599194648133476,0.015984015984015984,1.0
L6 IT,0.08350742811249381,0.7112887112887113,1.0,-0.45802220832616947,0.05194805194805195,1.0,0.4228153736566019,0.13486513486513488,1.0,0.041446112497558425,0.8551448551448552,1.0,-0.13901994277122004,0.7152847152847153,1.0,0.05525899846078267,0.8351648351648352,1.0,-0.2319322394466544,0.2887112887112887,1.0,-0.014565653491553976,0.932067932067932,1.0,0.0676079433761581,0.7862137862137862,1.0,-0.15572122809327946,0.4745254745254745,1.0,0.022642104802320668,0.8961038961038961,1.0,0.03355962704783929,0.8861138861138861,1.0,0.20985135411636147,0.4785214785214785,1.0
L6 IT Car3,0.1019357091981469,0.6473526473526473,1.0,-0.07041700357083892,0.8061938061938062,1.0,-0.2692662753957689,0.4085914085914086,1.0,0.19544439431371058,0.3876123876123876,1.0,0.40329851736531525,0.1798201798201798,1.0,0.5638581585994168,0.011988011988011988,1.0,-0.22895818931077222,0.37162837162837165,1.0,0.1944272284205562,0.3706293706293706,1.0,-0.2318345227976409,0.42157842157842157,1.0,-0.07157582154844679,0.7732267732267732,1.0,-0.1561519435403129,0.5304695304695305,1.0,0.13407816130048478,0.5844155844155844,1.0,0.3207304595701564,0.24275724275724275,1.0
L6b,0.08792889696685412,0.6973026973026973,1.0,-0.34509981182745814,0.24275724275724275,1.0,0.4705244525952857,0.08691308691308691,1.0,0.41863918166168984,0.02097902097902098,1.0,0.2703872369098419,0.4085914085914086,1.0,0.5525166102200517,0.00999000999000999,1.0,-0.36607013591189,0.1028971028971029,1.0,0.05941856668572923,0.7742257742257742,1.0,0.15254396921716235,0.5464535464535465,1.0,0.006320452972311067,0.974025974025974,1.0,0.2490684000574477,0.3256743256743257,1.0,0.4441745430350182,0.02197802197802198,1.0,0.4478279634602339,0.04195804195804196,1.0
Lamp5,0.17250495135032987,0.5934065934065934,1.0,-0.7281160628225232,0.002997002997002997,0.8811188811188811,0.4802171592950569,0.27372627372627373,1.0,-0.08107921706620191,0.8271728271728271,1.0,-0.09398017670375877,0.8691308691308691,1.0,-0.0032452750961102085,0.998001998001998,1.0,-0.18295301222039154,0.6203796203796204,1.0,0.1733583903842629,0.2517482517482518,1.0,-0.11147678070223764,0.7732267732267732,1.0,-0.2150675093379461,0.4115884115884116,1.0,-0.22006937425027176,0.3386613386613387,1.0,-0.11537378356114567,0.7342657342657343,1.0,0.4524109893587223,0.24675324675324675,1.0
Lamp5_Lhx6,0.13547175753954158,0.6753246753246753,1.0,-0.3791860006153472,0.2807192807192807,1.0,0.6398503415181221,0.017982017982017984,1.0,0.03778972256222628,0.926073926073926,1.0,-0.20645222946826822,0.6753246753246753,1.0,0.1302637552990519,0.6603396603396603,1.0,-0.11259105921120183,0.7002997002997003,1.0,0.12550484123855568,0.5204795204795205,1.0,0.2866234732728688,0.33766233766233766,1.0,0.0597622413521255,0.8141858141858141,1.0,0.25372283493930303,0.2677322677322677,1.0,0.15198944523146188,0.5904095904095904,1.0,0.3313182381093015,0.36163836163836166,1.0
