,Astro,Chandelier,Endo,L2/3 IT,L4 IT,L5 ET,L5 IT,L5/6 NP,L6 CT,L6 IT,L6 IT Car3,L6b,Lamp5,Lamp5_Lhx6,Micro-PVM,OPC,Oligo,Pax6,Pvalb,Sncg,Sst,VLMC,Vip
22q,0.0222472368416489,0.05887290784693956,0.1260150236405606,0.039974610562584945,0.05245264603787102,0.04465049974522985,0.03744740356805287,0.049319390036482655,0.025487037089129912,0.026117926422651348,0.054218694954021984,0.03629299577590912,0.017096424906860447,0.03286936212778842,0.1015893223815015,0.031088436116976752,0.05018707856227753,0.025964168266844,0.025331813640853507,0.03398603460662405,0.026237440274332086,0.055398301881732746,0.02715524471312605
adhd,0.022247236841556477,0.058872907846863734,0.12601502364055292,0.039974610562700096,0.05245264603773721,0.04465049974521983,0.03744740356799527,0.04931939003671511,0.025487037089187165,0.02611792642259839,0.05421869495398507,0.036292995775921,0.017096424906887283,0.03286936212763169,0.10158932238147235,0.031088436117025695,0.05018707856241882,0.025964168266911312,0.025331813640679,0.033986034606581346,0.026237440274415547,0.05539830188174374,0.0271552447132009
asd,0.022247236841725672,0.058872907846573626,0.12601502364063494,0.03997461056276735,0.05245264603790402,0.04465049974481738,0.03744740356792408,0.04931939003662601,0.025487037089089663,0.02611792642297363,0.054218694953949174,0.03629299577570374,0.017096424907012863,0.03286936212757178,0.10158932238155961,0.03108843611724907,0.05018707856227305,0.025964168266949708,0.02533181364071115,0.03398603460645485,0.0262374402748183,0.05539830188187431,0.02715524471283582
epilepsy_gge,0.02224723684158494,0.0588729078468836,0.12601502364055228,0.039974610562582724,0.052452646037735744,0.044650499745141695,0.037447403568165456,0.049319390036498885,0.025487037089240026,0.026117926422605867,0.05421869495400858,0.03629299577597284,0.017096424906888535,0.032869362127639475,0.10158932238155019,0.031088436116987264,0.05018707856234517,0.025964168266875247,0.025331813640883438,0.03398603460665687,0.0262374402743904,0.05539830188174308,0.027155244713067715
epilepsy_rtle,0.022247236841664027,0.05887290784688051,0.1260150236405777,0.03997461056261482,0.05245264603791652,0.044650499745104925,0.037447403568031785,0.04931939003648901,0.02548703708913361,0.02611792642264111,0.054218694953946656,0.036292995776043606,0.0170964249068788,0.03286936212774644,0.1015893223815236,0.031088436117055127,0.05018707856231614,0.025964168266886353,0.02533181364076928,0.03398603460658001,0.02623744027439077,0.05539830188173656,0.027155244713072523
epilepsy_ltle,0.02224723684166251,0.058872907846904375,0.12601502364057776,0.03997461056258321,0.05245264603787498,0.044650499745144345,0.03744740356804591,0.04931939003641952,0.025487037089132306,0.026117926422630056,0.054218694954001403,0.03629299577601927,0.017096424906884223,0.0328693621277829,0.10158932238155778,0.031088436116977026,0.05018707856229211,0.025964168266831962,0.02533181364086642,0.033986034606613015,0.02623744027439609,0.05539830188172082,0.02715524471308196
depression,0.022247236841659718,0.0588729078469163,0.12601502364056788,0.039974610562602896,0.05245264603788336,0.044650499745182266,0.03744740356804313,0.04931939003643453,0.025487037089106,0.026117926422681362,0.05421869495397752,0.03629299577598415,0.01709642490686714,0.03286936212780024,0.10158932238152746,0.03108843611699895,0.05018707856229032,0.025964168266850125,0.025331813640819146,0.03398603460659574,0.02623744027437208,0.05539830188174099,0.027155244713098825
ocd,0.022247236841656668,0.05887290784693648,0.12601502364056327,0.03997461056261648,0.05245264603785836,0.044650499745194985,0.0374474035680358,0.04931939003651807,0.02548703708911976,0.026117926422675623,0.054218694953975695,0.03629299577595129,0.017096424906864336,0.032869362127774804,0.10158932238148603,0.031088436117005284,0.05018707856230425,0.02596416826686466,0.025331813640779927,0.03398603460658964,0.026237440274358013,0.05539830188174013,0.027155244713130338
schizophrenia,0.022247236841606042,0.0588729078470375,0.12601502364049336,0.03997461056249851,0.05245264603805234,0.044650499745354,0.03744740356796824,0.04931939003641868,0.02548703708902448,0.026117926422736155,0.054218694954037756,0.03629299577607185,0.01709642490684305,0.03286936212776998,0.10158932238144783,0.031088436117013736,0.050187078562314066,0.025964168266906312,0.025331813640705886,0.033986034606474,0.026237440274210055,0.055398301881743536,0.027155244713272575
bipolar,0.0222472368416291,0.05887290784698423,0.12601502364052744,0.03997461056255539,0.052452646037978695,0.04465049974532632,0.03744740356804138,0.0493193900364158,0.025487037089027845,0.026117926422705575,0.05421869495403074,0.036292995776026654,0.017096424906888487,0.032869362127773624,0.10158932238147528,0.031088436117007633,0.05018707856225962,0.025964168266838398,0.02533181364078139,0.033986034606547644,0.02623744027425436,0.05539830188171449,0.0271552447132099
