,Astro,Chandelier,Endo,L2/3 IT,L4 IT,L5 ET,L5 IT,L5/6 NP,L6 CT,L6 IT,L6 IT Car3,L6b,Lamp5,Lamp5_Lhx6,Micro-PVM,OPC,Oligo,Pax6,Pvalb,Sncg,Sst,VLMC,Vip
22q,0.1506614562482974,0.09277194993083995,0.005838776196816141,0.025099610393477405,0.08365053579177621,0.0728743987850301,0.024534066767941426,0.0478254746054529,0.036199925044754104,0.007718118564415401,0.04800411538622064,0.020555500707375794,0.07726432649306891,0.03250988242477177,0.032051095287934726,0.03377026182969356,0.031740769839508506,0.004679182031848177,0.04184802998348742,0.021702129004372597,0.07506574167003441,0.015160716675996295,0.018473936336886175
adhd,0.1532756732781671,0.02085659881122828,0.018021313175893647,0.01278556288140145,0.10295120666368586,0.019726030174047837,0.014788032691552605,0.11797417977682988,0.0551957355475411,0.037619089212903974,0.014310211910361994,0.023429298261102075,0.007362739682952018,0.088458424818012,0.0319308314788053,0.02054452889288518,0.06320451594402007,0.0776839658542482,0.055492476872832916,0.010939134233741111,0.0003694269707928096,0.0007252280550998153,0.052355794811895076
asd,0.09433451868939978,0.09092222748577759,0.0032452419588254737,0.09804912282162387,0.1838570031993107,0.008718099563265393,0.04311118665562389,0.007752616579201547,0.02138593286187467,0.052794963670534274,0.00016748051036180012,0.018637871748912693,0.04324772423094077,0.0006105177154881431,0.01087725832010245,0.07223160442167423,0.08137055331494078,0.011123886699670923,0.022566553506895255,0.024232997368623752,0.07142461262319352,0.03360132070573616,0.005736705348022444
epilepsy_gge,0.1249055870892529,0.015119993366975058,0.01901084437201278,0.05393500410665101,0.14735181333867242,0.09202057931386433,0.03290751424650199,0.004537228750339375,0.08760590639684919,0.027399389300236374,0.01641573108009257,0.014799517315737398,0.02300973434390997,0.08262719071869057,0.01436641453175079,0.006698588987176516,0.0330960077228495,0.036010768407588115,0.04516726450318805,0.027580174067833658,0.017589813545029673,0.012567659564688987,0.0652772749301085
epilepsy_rtle,0.05126756628254732,0.04348634288771268,0.0023122904959608495,0.017961578375226276,0.06049011704711382,0.07550199338177953,0.0070208793369022785,0.05813526054291925,0.030636774120720477,0.005371188232851344,0.017810340851625524,0.0890344297620296,0.03325192223953244,0.023003103894794548,0.05829618567342419,0.14938273360123666,0.038561758792742776,0.08695192844044966,0.050612667587928914,0.0554858551371364,0.024881874276023574,0.0037205914655705605,0.016822617573771344
epilepsy_ltle,0.14800933901451077,0.03899512661550035,0.0008546240561586597,0.07138836556408874,0.1741517480199258,0.0024655750006432244,0.04278935145114611,0.0031621396676000026,0.03658634580312514,0.012482490440212504,0.02522492407463408,0.13523880834957183,0.054683410933020135,0.014578340181096593,0.01592619887780163,0.03902613196629822,0.0736339377589774,0.02584730932763388,0.01996018153582144,0.01832424273527969,0.011630596583771016,0.026335119754631937,0.008705692288550856
depression,0.11326255054961636,0.10003417467855322,0.005306378579428406,0.009014821389100132,0.059625775546681324,0.032799711569295426,0.0031001037970629503,0.023840294351525685,0.08669480507085496,0.021273214451995707,0.002657908820233949,0.060801906049815724,0.10699304900522538,0.04084647910232804,0.052309153133190664,0.06214600038426108,0.006795652772048889,0.037337112148068494,0.029908528093398994,0.051654601772819365,0.06272727284914921,0.008327258053563468,0.022543247831782662
ocd,0.13971509376444666,0.08991612296357515,0.010322351342761299,0.04224559846675993,0.07989131717094727,0.03676029833506559,0.019867528961993373,0.07221113541615007,0.045671134190500944,0.023383371482178086,0.0027043820482151207,0.03321821769353083,0.07557157682746514,0.020130349710499786,0.05001081927659275,0.02638241942800114,0.02545287087715068,0.023789655005669923,0.036575713822492764,0.04412578046265592,0.04918095774766976,0.004370423900288148,0.048502881105389556
schizophrenia,0.054981813278058476,0.09631957210240714,0.025229509516808135,0.037783820475049384,0.04116103636919163,0.05978920318408624,0.03102867456007414,0.03410476788363785,0.049961897914208464,0.005591722113924844,0.027886137478252894,0.023302324792792203,0.026527535182772163,0.02312003662210776,0.04505890718868146,0.05061868880829092,0.0370817281376005,0.06140089433677859,0.026165300385838017,0.10152409375325865,0.07445590849103255,0.008539634517683891,0.0583667929074642
bipolar,0.00572752386553834,0.08301017723088534,0.03227093086590269,0.014271646861859917,0.015789068413143273,0.1318646621959386,0.006553673777433144,0.02607446831903299,0.09504257422736581,0.006147430829991176,0.031125890054075744,0.04889634413636315,0.00544008780354928,0.021365600261561583,0.04337934527035916,0.05911506505200605,0.046476026616015007,0.022334907914045746,0.020353620660489378,0.07138916058088289,0.0995005766607592,0.03735705271168551,0.07651416569111598
