,delta_ratio_spin_r,delta_ratio_spin_p,delta_ratio_spin_p_adj,theta_ratio_spin_r,theta_ratio_spin_p,theta_ratio_spin_p_adj,alpha_ratio_spin_r,alpha_ratio_spin_p,alpha_ratio_spin_p_adj,beta_ratio_spin_r,beta_ratio_spin_p,beta_ratio_spin_p_adj,gamma1_ratio_spin_r,gamma1_ratio_spin_p,gamma1_ratio_spin_p_adj,gamma2_ratio_spin_r,gamma2_ratio_spin_p,gamma2_ratio_spin_p_adj
Astro,-0.0436105418327107,0.9100899100899101,1.0,0.4930752283634839,0.07892107892107893,1.0,-0.14811689595942287,0.7292707292707292,1.0,0.6247828138610998,0.017982017982017984,1.0,0.16685621528397956,0.6533466533466533,1.0,-0.17746557436473012,0.6713286713286714,1.0
Chandelier,0.7604720441515641,0.003996003996003996,0.5514485514485514,0.5840547081749171,0.1028971028971029,1.0,-0.756863689750379,0.023976023976023976,1.0,-0.1010907685280015,0.8561438561438561,1.0,0.6606831945637787,0.03596403596403597,1.0,0.6799094595419831,0.03196803196803197,1.0
Endo,0.2683785527234143,0.43756243756243757,1.0,0.3663587500074536,0.19880119880119881,1.0,-0.48825439289739475,0.06793206793206794,1.0,0.21321527604800586,0.5704295704295704,1.0,0.4398499052783954,0.10789210789210789,1.0,0.18468885829675016,0.6073926073926074,1.0
L2/3 IT,-0.480781787995365,0.23176823176823177,1.0,-0.6743298282380177,0.05194805194805195,1.0,0.7495444052269123,0.017982017982017984,1.0,-0.2682803777836796,0.6183816183816184,1.0,-0.6228231355644975,0.04595404595404595,1.0,-0.3315474765518498,0.4825174825174825,1.0
L4 IT,-0.306735159769411,0.5254745254745254,1.0,-0.7274770531593062,0.01098901098901099,1.0,0.6310430349847188,0.09090909090909091,1.0,-0.5405525734372637,0.22577422577422576,1.0,-0.5591036935528163,0.1068931068931069,1.0,-0.11048319860733888,0.8331668331668332,1.0
L5 ET,-0.25993892205148766,0.6593406593406593,1.0,0.40470942603826593,0.3906093906093906,1.0,-0.06526127292870974,0.9240759240759241,1.0,0.677979037055543,0.0919080919080919,1.0,0.07667924057427884,0.9050949050949051,1.0,-0.5371431925885567,0.2757242757242757,1.0
L5 IT,-0.4742758165962619,0.32167832167832167,1.0,-0.7189173695905307,0.025974025974025976,1.0,0.7103509713871927,0.08291708291708291,1.0,-0.3977233849739557,0.4965034965034965,1.0,-0.6312309374722018,0.08891108891108891,1.0,-0.2718518109543779,0.6033966033966034,1.0
L5/6 NP,-0.4256440575958771,0.16483516483516483,1.0,-0.5166603841568116,0.07192807192807193,1.0,0.5049642988318561,0.08791208791208792,1.0,-0.21427417553158445,0.6013986013986014,1.0,-0.4609297341678084,0.11388611388611389,1.0,-0.37365351645074146,0.22877122877122877,1.0
L6 CT,-0.27295535342591537,0.2937062937062937,1.0,-0.2518708191962382,0.2937062937062937,1.0,0.31886757307491487,0.25074925074925075,1.0,-0.08240593027058098,0.8121878121878122,1.0,-0.29075701864660697,0.24575424575424576,1.0,-0.36103338082547426,0.1068931068931069,1.0
L6 IT,-0.5039197945876472,0.14785214785214784,1.0,-0.44728274915558724,0.2007992007992008,1.0,0.6083806109972223,0.08391608391608392,1.0,-0.09001203316382345,0.8741258741258742,1.0,-0.5350686107950716,0.1018981018981019,1.0,-0.4623767644215315,0.21578421578421578,1.0
