,delta_ratio_spin_r,delta_ratio_spin_p,delta_ratio_spin_p_adj,theta_ratio_spin_r,theta_ratio_spin_p,theta_ratio_spin_p_adj,alpha_ratio_spin_r,alpha_ratio_spin_p,alpha_ratio_spin_p_adj,beta_ratio_spin_r,beta_ratio_spin_p,beta_ratio_spin_p_adj,gamma1_ratio_spin_r,gamma1_ratio_spin_p,gamma1_ratio_spin_p_adj,gamma2_ratio_spin_r,gamma2_ratio_spin_p,gamma2_ratio_spin_p_adj
Astro,0.29513439278693737,0.5194805194805194,1.0,0.698794065100895,0.005994005994005994,0.8031968031968032,-0.5589209801072439,0.17582417582417584,1.0,0.5269085454900259,0.2057942057942058,1.0,0.5019106650850871,0.17482517482517482,1.0,0.1190768283856839,0.8411588411588412,1.0
Chandelier,0.7615453793530337,0.011988011988011988,1.0,0.659337473282211,0.05194805194805195,1.0,-0.8397760038653305,0.005994005994005994,0.8031968031968032,-0.005887714152740011,0.996003996003996,1.0,0.7353138500256511,0.013986013986013986,1.0,0.6508466968084388,0.08591408591408592,1.0
Endo,0.09319494569266668,0.8101898101898102,1.0,0.3616865068766738,0.16083916083916083,1.0,-0.36908630218138133,0.2547452547452547,1.0,0.4074791302134841,0.17282717282717283,1.0,0.3768540008165765,0.18081918081918083,1.0,4.3292590998799546e-05,1.0,1.0
L2/3 IT,-0.311190435034296,0.3516483516483517,1.0,-0.5477759729021568,0.04595404595404595,1.0,0.564067009491508,0.04695304695304695,1.0,-0.20667848492222543,0.6153846153846154,1.0,-0.4404493004286554,0.13486513486513488,1.0,-0.15741366628585074,0.6593406593406593,1.0
L4 IT,-0.08449697918819479,0.8591408591408591,1.0,-0.673376002615983,0.022977022977022976,1.0,0.4286544989766793,0.4095904095904096,1.0,-0.6941071381576326,0.02197802197802198,1.0,-0.3999229847358458,0.3806193806193806,1.0,0.12989538741014287,0.8071928071928072,1.0
L5 ET,0.06693139511259164,0.9010989010989011,1.0,0.6941068218709978,0.04795204795204795,1.0,-0.4566112587519748,0.47652347652347654,1.0,0.6847173479952295,0.12687312687312688,1.0,0.4067981771666388,0.4645354645354645,1.0,-0.2312886194152108,0.6753246753246753,1.0
L5 IT,-0.13543239893339545,0.7152847152847153,1.0,-0.3733436258368977,0.16883116883116883,1.0,0.2044254611145763,0.6063936063936064,1.0,-0.3438810580776712,0.2967032967032967,1.0,-0.22433355341190886,0.5074925074925075,1.0,0.06255664981702944,0.8821178821178821,1.0
L5/6 NP,-0.20874149742320933,0.44455544455544455,1.0,-0.24532167678775801,0.37362637362637363,1.0,0.11142360291657563,0.7412587412587412,1.0,-0.12990391544410085,0.6793206793206793,1.0,-0.1582747466473049,0.5584415584415584,1.0,-0.23899814831971558,0.3926073926073926,1.0
L6 CT,0.2681303992805951,0.5154845154845155,1.0,0.47708495633512116,0.16683316683316685,1.0,-0.501409773151277,0.23376623376623376,1.0,0.21325395727193244,0.6743256743256744,1.0,0.3976163848940125,0.3106893106893107,1.0,0.007487408307630586,0.984015984015984,1.0
L6 IT,0.09485921362727624,0.7932067932067932,1.0,0.4739187219296875,0.08391608391608392,1.0,-0.37073280007627535,0.3086913086913087,1.0,0.34566823052562445,0.32367632367632365,1.0,0.28281480462912406,0.4155844155844156,1.0,-0.08074944909499597,0.7852147852147852,1.0
L6 IT Car3,0.19105444880119907,0.5934065934065934,1.0,-0.12651114179913905,0.7022977022977023,1.0,-0.08450671444546452,0.8381618381618382,1.0,-0.21402428494198153,0.6013986013986014,1.0,0.06819996490422855,0.8291708291708292,1.0,0.3204882108767064,0.3036963036963037,1.0
L6b,0.25443068281719394,0.43656343656343655,1.0,0.20936458076969638,0.5194805194805194,1.0,-0.40228360165987204,0.22877122877122877,1.0,-0.06119025964376179,0.8481518481518482,1.0,0.28947777683047277,0.37162837162837165,1.0,0.12501353349630073,0.7212787212787213,1.0
Lamp5,0.39365904155157444,0.44555444555444557,1.0,0.8051590544772506,0.000999000999000999,0.13786213786213786,-0.7151576208621037,0.08591408591408592,1.0,0.5406029556048745,0.3096903096903097,1.0,0.6387494776049959,0.06993006993006994,1.0,0.17562099964342368,0.7712287712287712,1.0
Lamp5_Lhx6,-0.060268516348258916,0.8971028971028971,1.0,0.386133819263761,0.34765234765234765,1.0,-0.31905866246452835,0.5654345654345654,1.0,0.39864273886673995,0.3756243756243756,1.0,0.1974245088182094,0.6763236763236763,1.0,-0.28233558065979636,0.5134865134865135,1.0
Micro-PVM,0.6802774772346619,0.03596403596403597,1.0,0.6268918389503386,0.061938061938061936,1.0,-0.8322245164805168,0.002997002997002997,0.41058941058941056,0.03995441063261584,0.948051948051948,1.0,0.6962757042234149,0.017982017982017984,1.0,0.5960970606386741,0.14285714285714285,1.0
OPC,0.5825848520058824,0.10589410589410589,1.0,0.6795693009421607,0.015984015984015984,1.0,-0.7805401571052784,0.002997002997002997,0.41058941058941056,0.18139571413647385,0.7632367632367633,1.0,0.6394090039670173,0.03596403596403597,1.0,0.45523629783419706,0.3096903096903097,1.0
Oligo,-0.17785085661119748,0.6863136863136863,1.0,0.44200420721652545,0.21678321678321677,1.0,-0.010201334026302085,0.986013986013986,1.0,0.6808398374345912,0.016983016983016984,1.0,0.09974647160481276,0.8091908091908092,1.0,-0.36862824309864245,0.36063936063936064,1.0
Pax6,0.2771072684942789,0.28771228771228774,1.0,0.46434978358252466,0.06993006993006994,1.0,-0.4493599644775171,0.026973026973026972,1.0,0.2476056563895686,0.4015984015984016,1.0,0.36821478875897157,0.1038961038961039,1.0,0.23012283384904728,0.3946053946053946,1.0
Pvalb,-0.1454092646791991,0.7182817182817183,1.0,0.48447358751220293,0.14085914085914086,1.0,-0.1089419600174209,0.8221778221778222,1.0,0.6132559013638057,0.03596403596403597,1.0,0.10641188298401996,0.7942057942057942,1.0,-0.36431957221741845,0.2977022977022977,1.0
Sncg,0.606197767781671,0.08191808191808192,1.0,0.5425215527867805,0.11988011988011989,1.0,-0.8231497767679649,0.002997002997002997,0.41058941058941056,0.07956198388229348,0.9020979020979021,1.0,0.6978355012299351,0.013986013986013986,1.0,0.5517808523191533,0.1848151848151848,1.0
Sst,0.270345111064834,0.33266733266733267,1.0,0.03095677795694449,0.9250749250749251,1.0,-0.25275903306815284,0.46653346653346656,1.0,-0.2791508919699845,0.3956043956043956,1.0,0.09878374396669909,0.7302697302697303,1.0,0.36659543304219727,0.15684315684315683,1.0
VLMC,0.2987052841517202,0.2037962037962038,1.0,0.2981205736873553,0.20279720279720279,1.0,-0.380155887166156,0.1068931068931069,1.0,0.10519414915123299,0.7672327672327672,1.0,0.3273896395311716,0.14785214785214784,1.0,0.23942840620551256,0.36063936063936064,1.0
Vip,0.28659826564593577,0.25274725274725274,1.0,0.18254620079213837,0.45054945054945056,1.0,-0.24695054030247876,0.37362637362637363,1.0,-0.07993351177784921,0.7482517482517482,1.0,0.20195197663201334,0.4745254745254745,1.0,0.38588184816017107,0.08391608391608392,1.0
