feature,model_r_sq,model_pval,model_pval_adj
22q,0.3191396506750067,0.6353646353646354,0.9310689310689311
adhd,0.7892271403452256,0.008991008991008992,0.09890109890109891
asd,0.8478210526166996,0.000999000999000999,0.012987012987012988
epilepsy_gge,0.4244187347306658,0.3066933066933067,0.9310689310689311
epilepsy_rtle,0.7620712132361926,0.06893106893106893,0.4825174825174825
epilepsy_ltle,0.5696271577860621,0.11988011988011989,0.7192807192807193
depression,0.5465691547543239,0.04295704295704296,0.3436563436563437
ocd,0.5678392925185499,0.007992007992007992,0.0959040959040959
schizophrenia,0.5598042605214968,0.17382617382617382,0.8691308691308691
bipolar,0.44680705350474637,0.3826173826173826,0.9310689310689311
obesity,0.6345730210491102,0.02197802197802198,0.2197802197802198
schizotypy,0.457291771058534,0.23276723276723277,0.9310689310689311
parkinson,0.7030041617493734,0.02197802197802198,0.2197802197802198
