feature,model_r_sq,model_pval,model_pval_adj
22q,0.3678098067619914,0.46553446553446554,0.8601398601398602
adhd,0.7874413134206686,0.004995004995004995,0.05994005994005994
asd,0.8728078093800654,0.000999000999000999,0.012987012987012988
epilepsy_gge,0.4340062420799704,0.2867132867132867,0.8601398601398602
epilepsy_rtle,0.758329438777282,0.06993006993006994,0.4195804195804196
epilepsy_ltle,0.6150986907541613,0.05194805194805195,0.36363636363636365
depression,0.5738009096395487,0.01898101898101898,0.1898101898101898
ocd,0.5724779208510369,0.011988011988011988,0.13186813186813187
schizophrenia,0.5978643674167977,0.0999000999000999,0.4995004995004995
bipolar,0.4603171672160665,0.35264735264735264,0.8601398601398602
obesity,0.6440472707363358,0.026973026973026972,0.24275724275724275
schizotypy,0.4866968394517427,0.16183816183816183,0.6473526473526473
parkinson,0.6896985122995598,0.028971028971028972,0.24275724275724275
