,Astro_1,Astro_2,Chandelier_1,Endo_1,L2/3 IT_1,L2/3 IT_2,L2/3 IT_3,L2/3 IT_4,L2/3 IT_5,L2/3 IT_6,L2/3 IT_7,L2/3 IT_8,L4 IT_1,L4 IT_2,L4 IT_3,L5 ET_1,L5 IT_1,L5 IT_2,L5 IT_3,L5 IT_4,L5 IT_5,L5/6 NP_1,L5/6 NP_2,L6 CT_1,L6 CT_2,L6 IT Car3_1,L6 IT_1,L6 IT_2,L6 IT_3,L6b_1,L6b_2,L6b_3,Lamp5_1,Lamp5_2,Lamp5_Lhx6_1,Micro-PVM_1,Micro-PVM_2,OPC_1,Oligo_1,Oligo_2,Pax6_1,Pax6_2,Pvalb_1,Pvalb_2,Pvalb_3,Pvalb_4,Pvalb_5,Sncg_1,Sncg_2,Sncg_3,Sncg_4,Sst_1,Sst_10,Sst_2,Sst_3,Sst_4,Sst_5,Sst_6,Sst_7,Sst_8,Sst_9,VLMC_1,Vip_1,Vip_2,Vip_3,Vip_4,Vip_5,Vip_6,Vip_7,Vip_8,Vip_9
1,0.011224034801703218,0.05162380735065375,0.0020264820410339753,0.00024982333858535093,0.002982478349285928,0.005596927790670989,0.010299970480647978,0.05345781871617068,0.016832784068334633,0.09420752286467014,0.014070868869557721,0.00797565237358032,0.0299152785044573,0.06051227753592179,0.02466916779752759,0.015622794009728345,0.01519166614462494,0.03188694925857409,0.039165003868259204,0.011068802248535153,0.012320251763513257,0.001101517357431381,0.04258292487748484,0.023216498570553204,0.014099449594892514,0.011848697144576306,0.0024040011152606905,0.024737912420854716,0.02363031067426586,0.012580543278750212,0.01599292689177854,0.004708301003101277,0.007623734385772107,0.005022557563224062,0.005606250292259303,0.0033237839875342986,8.22144247071974e-05,0.010287253949984164,0.0003207590600288141,0.08554086495768277,0.0013210174169663127,0.001960263428313419,0.0009928800751165165,0.0004812816361400003,0.0035855414077864147,0.006718246823977507,0.0046919192514202155,0.00024389059488546722,0.002846405726564312,0.0014738066219916186,4.2212960202231e-06,0.004005593285183043,0.0011419896427541766,0.0018794530655757474,0.0023435746656772613,0.0031330955308648966,0.003030559004667477,0.008669925815678287,0.00023374724856918262,0.0016002000272904468,0.008633447662670407,0.005880887823894149,0.000297012632302259,0.0020177541690489997,0.0013148169689821598,0.0011360051994006289,0.0008049733917926754,0.0019641699418807917,0.0018384763104918435,0.004371723605544883,0.0009138878318893381
3,0.011027868481015488,0.05180380526441703,0.0022647489152522724,0.0001653529846212657,0.0021421146744032156,0.004745594813092035,0.009525926899956658,0.06925044506648463,0.012746688359775889,0.09444046264716249,0.015555305026295766,0.005745204149837031,0.024528907601006414,0.06302324774695817,0.03125456520067099,0.014857586570374386,0.01653861401592655,0.02523417599072765,0.03799895472751472,0.011762450931350855,0.008717975929174013,0.001022115548512277,0.04039807527360854,0.02422677909714241,0.012404435102642053,0.009874137721459625,0.00141274589004523,0.02641641765286478,0.02171380393241298,0.011336732206494796,0.01357393798199668,0.005176225799712288,0.007073860633202829,0.005750183303146752,0.00512632957253794,0.0029324952518545075,0.00010043299937030384,0.010472338027167462,0.00043068792229862334,0.09961805059684642,0.0011077933694920643,0.001799291930031189,0.0009741005085052862,0.00043554101342493744,0.0035173037892584987,0.007344126679457713,0.004115021643630231,0.00021425562136823941,0.003093438032484361,0.0012382786050076924,1.3210819165274425e-05,0.0034980761146498353,0.0012080414446432746,0.001866490285010334,0.002259878954155587,0.003271375060237168,0.0029412765198148097,0.007117240325444646,0.00018747492871585788,0.0014270985428940616,0.008649380816771801,0.005755114976480433,0.0003007430775203034,0.0019554603412106327,0.001055438812495333,0.0010579260963908207,0.0009812856580222672,0.001832577898385298,0.002062651934418742,0.004218014842367519,0.0010136812243504265
5,0.011114566609637508,0.044731781368415297,0.002429051330004538,0.00029130695370227315,0.0028708098619330473,0.006486254151538646,0.010645348924641534,0.059770671798425525,0.016921708999768758,0.09449127499887351,0.0152641280350621,0.00841058611956084,0.03139729902014882,0.06933072995478091,0.03005370045489253,0.014966707250970683,0.01739062918830464,0.02763561790382545,0.043279533995725414,0.011064175965608599,0.00934673206438854,0.0013834399288959536,0.04357585815153582,0.02438301591402534,0.011905117648391058,0.010902040041968574,0.0021875505334784467,0.026827505362441748,0.02265895523028597,0.012725707866552314,0.015193225968188988,0.00479657145467878,0.00659692337874443,0.005162839384879294,0.004821997633928989,0.003054520123675988,0.00013693540048775863,0.009428603823397878,0.0003300964810644761,0.07230993450552341,0.0011457932992042035,0.0017925572572749671,0.0009533985357652734,0.0004255826820204909,0.003694471917058747,0.0066351918286225815,0.004047564305252369,0.0003008509783529402,0.0032254145408169028,0.0013617778267016598,2.246387583411011e-05,0.0035897335065325645,0.0010923018232177734,0.0017309602987199543,0.0022784386702829184,0.004183162182513021,0.0031968852460006916,0.007663832432120867,0.00019037717557571603,0.0015104174824630738,0.009059498453221904,0.007822444273251787,0.00033314341411136677,0.001804430440664979,0.0008222329921744011,0.0011970255399222692,0.0008878919069071471,0.0018421150294032516,0.0018147103840771117,0.004720855800864346,0.0011489386341385836
7,0.011586296794889777,0.05372900036983041,0.00227698086332748,0.00015426694204220207,0.002179242598917652,0.004515146595633419,0.009065855487562327,0.07197272022761772,0.011968205896001236,0.09468522161373977,0.015419431052944495,0.005209956698272048,0.022368077733770222,0.06152879473486195,0.03125183091158379,0.014686745274062354,0.015729587025167035,0.024147194148566104,0.036780556278257465,0.011590960611605167,0.008574703956682195,0.0009667754789396134,0.039781117053666326,0.023521977833463374,0.01224885528735165,0.009655039180690184,0.001250676414851255,0.025799661450703962,0.021143376083561153,0.010426774654192027,0.013182805550547773,0.004948454289028503,0.007383843479875342,0.0059542663497033806,0.0052720310014141274,0.003123327945679288,0.0001184968193110674,0.010778803632545204,0.0005574685924357224,0.10613332907404782,0.0010827306222336032,0.0018643403111347383,0.0009585114805339081,0.0004686517335947487,0.0034054718673433904,0.00755305522482343,0.004265815404247522,0.0002033433276353095,0.0030504148913180745,0.0012211744454720388,3.220722706453373e-06,0.0033712812973867245,0.0012565859385496984,0.0018801612695232867,0.0022237642961624618,0.0031529182748246246,0.0028879720121008402,0.006864897154293995,0.00019877214270040748,0.0014189068591104845,0.00883829553459568,0.006870977140950537,0.0003236423372817994,0.002079892047132995,0.0011932236880149677,0.0010648791719079704,0.0009967264827916132,0.0018758142518982266,0.0022059621774387105,0.004127809998471232,0.0009500633884743833
9,0.01235678121897075,0.053714713948979954,0.0019797441912042025,0.0005741675322106285,0.0024151773970537273,0.005027862463908472,0.010654933823360207,0.058293336371964884,0.014417890265088017,0.09802942364709208,0.012778912982027591,0.006212913237307354,0.025831706441253068,0.05649704558813427,0.025268545557181835,0.01631400887447315,0.015256138971075722,0.02872338703615677,0.037807987872430636,0.011546027622933988,0.010558596899074074,0.0011110881659001299,0.03945488247259157,0.023817122584370718,0.012682132561154337,0.011843669194915502,0.0018057086616894956,0.026453627399795315,0.022085293728321423,0.01158744544713262,0.015096799119253329,0.004960216736257759,0.007397342103442376,0.005283230063218115,0.005355936798769202,0.0030482618595976158,0.00015328018073933124,0.010600874714760091,0.0004219475874847677,0.10091999296368209,0.001159283225443264,0.0020217991472053255,0.0012098663675726568,0.00046081665804790405,0.003277308822422659,0.007753040466694366,0.004459275963731718,0.00026477906537616974,0.002722491047570927,0.0013210033594658005,2.1492308797331646e-06,0.0036644178641948057,0.001125563317274177,0.002072444423930155,0.002272605379616059,0.003318302074832175,0.003367169105067531,0.008253352582661291,0.00023839092295602156,0.001591290437558739,0.00801507419890293,0.006255528114523852,0.00030473355435083234,0.0021961903393510024,0.0012879533767807163,0.0011825221069059037,0.0008040660750459393,0.0019106392218312437,0.0019815222463783603,0.004121406374740769,0.0011126439749520993
11,0.010931019658501361,0.047930938018062405,0.0021981535835836007,0.0002574888034700798,0.0033213965053141272,0.00688454993588123,0.010223200085882171,0.048094965490306424,0.021820383562675603,0.09098706191789506,0.013635649956146726,0.01035861499535339,0.03341009460174508,0.06405428669342694,0.024506147956228064,0.01503124492189588,0.01563989870902166,0.0329378890863236,0.04024619965595406,0.010452116911934001,0.012175313181863356,0.0013266502473711895,0.045246889665536125,0.023469543262901505,0.014964574715484628,0.011878975910334901,0.0038012290951382737,0.024245795284875124,0.025920641071363396,0.015142009368309698,0.017536482429243248,0.004493083858851997,0.007425477970304181,0.004804975096057351,0.005425041389958272,0.0032750436828369272,8.041024631811143e-05,0.010136422252608902,0.0002900611886097044,0.06900017773330777,0.00131034052416218,0.0018515543603699889,0.0009660020155318024,0.0004957205028390498,0.00398581432577411,0.006011779118766692,0.004517710651226619,0.000305853856144362,0.0032257635319450496,0.0016323509460671444,9.99633103556009e-06,0.004103084796096945,0.001119710998720728,0.0018035436561347573,0.002407544061617198,0.003717143470858923,0.0030263637818364665,0.009148296912934194,0.00023418680666175497,0.0016944130352034648,0.009071480862090418,0.006721935091444913,0.00033688551665334124,0.0018640931073897337,0.0011984576520636557,0.0011382919110224207,0.000817975367299669,0.0019441699885393386,0.001705634009042287,0.004867971324776447,0.0009903460733525612
13,0.010958155763361725,0.04182333721434267,0.0023619879540411302,0.0003334528440182865,0.004230261515667232,0.008177933095617741,0.010432128177758184,0.04052685133015488,0.02872373928596255,0.09273613855298522,0.01137734381902074,0.013216871119110723,0.03773999753836149,0.07516716561938029,0.023948155342943266,0.012777499819630016,0.017744358673894872,0.03091624195981336,0.042582173027200784,0.011024106872428474,0.009754621553708417,0.0017022346265161354,0.0492804792631778,0.02145341593756074,0.013959747381492015,0.011899103876985987,0.0050201445509684695,0.02197888645864438,0.025553156905996046,0.01677387662788771,0.01813436998199813,0.003764898576322333,0.00671871704381025,0.004485247451825452,0.004936164072593691,0.0036769229807164924,9.747043582378127e-05,0.009724067193396283,0.0002433897272415156,0.05465337026901733,0.0011705868595121756,0.0018670705402789492,0.0008552045110800505,0.000516759332475125,0.004276160760108067,0.005473681786529655,0.004221063079086812,0.00045335966153459037,0.003637989140564617,0.0018867344931062385,4.222500987219155e-05,0.003949445391548397,0.0008014977520164779,0.0013039690313303852,0.0025880397065512054,0.005150038899396859,0.003800952948608684,0.009160968977257607,0.0002239112491862758,0.0018923717932096955,0.009179247768824452,0.008279415305730594,0.0004207957053986013,0.0018787626549559345,0.0009376401723148199,0.0011641213291095922,0.0008152520026552285,0.0019180856982425663,0.001590371410578016,0.005618935600373063,0.0009985916086106882
15,0.010807585238836777,0.0411986814359073,0.002576370917823007,0.0003227109538239486,0.0024677109742166203,0.005797799159674639,0.011700428449376233,0.06482564600355369,0.013724606702871036,0.1082083762198195,0.015031139681923603,0.0072708069210968675,0.029237302647329756,0.08363518861530865,0.0334901523454631,0.011972057886959774,0.018791268217426844,0.023224970079133045,0.04858105259390966,0.013081662526849176,0.006248144239332254,0.001330918492386549,0.041905010521322936,0.023042965189166074,0.009432699540252122,0.009803496942024922,0.001382160329159224,0.02637173305435345,0.01813219584890145,0.01118780282570421,0.013543649123883623,0.00501661298657516,0.005881047858024417,0.005203390997619396,0.004258104523769904,0.0033617305879371953,0.00010837553663114275,0.008652133355859041,0.0003234255481826453,0.07048631115646414,0.0010038178578963535,0.0017455918201475184,0.0008498054203043804,0.0003429742428926674,0.003341169177933042,0.006869685398978669,0.0034996777259724125,0.00030895135447116744,0.003172449065208598,0.0012971957869539793,3.245801695899623e-05,0.0031668152245900756,0.0009627444310191705,0.001611408790081008,0.0023500367433017043,0.00471087412347026,0.0040325368834801464,0.006775967010573061,0.00016777419265691436,0.0014278004960130062,0.008503081688761224,0.006871757872321348,0.0003651347303952411,0.0018778843254005375,0.0006339472498256541,0.0012745643842612165,0.0009529637939514212,0.001822216566835448,0.0018488605937353924,0.004845570183764537,0.0011919513391541094
17,0.012208917035552288,0.05128864118573374,0.0022689089972027362,0.0001504899493377278,0.001898952294003718,0.004946150418929664,0.011894487544992388,0.07140422514773881,0.012650972228230013,0.11613738040182392,0.01526102081236773,0.005469644327616003,0.02407031039063662,0.06611840181951595,0.03149675424585705,0.01325412830201536,0.016075234500945973,0.022874636964950276,0.03764942659242888,0.011916467631981013,0.007004092201355715,0.0009597068516991458,0.036710592161667215,0.023019909138968623,0.010858145215605216,0.011326334435163173,0.0010407520938586013,0.025184101898114916,0.02018410861360565,0.010555450504258155,0.012653338644330263,0.005108405113671726,0.007234538015982831,0.005454044394141617,0.0046538688624900805,0.002629079517855444,0.0001059788406434498,0.010590657311246069,0.00044480849826135463,0.08911390025718187,0.0009313258289219903,0.0017685691169070947,0.0007985170971037042,0.0003713985269500515,0.0031082004296534,0.0072272585299704255,0.003695655847318602,0.0002272103154119595,0.0033850066172996106,0.0014211278898633155,1.30943157526624e-05,0.002902555564378262,0.001148430352221525,0.0016392811509676481,0.002300750644547957,0.00328346565836201,0.003739575190068207,0.00652970679278792,0.00019499894569640743,0.0014305553505595922,0.007940113160979255,0.007205036637869511,0.0003141152534371013,0.0019977228961037515,0.0009224153257577966,0.001228971352723646,0.0009394384984498853,0.0018595406358107606,0.0020532587518398344,0.004273015237458792,0.0010024106374769853
19,0.010528055235118138,0.038298174604521985,0.0026307537345370536,0.00020676879944459678,0.0025921198834222927,0.006105752757151361,0.012995886742316502,0.0596003767651453,0.014984397354550068,0.11488095205468238,0.013833123326726792,0.007790201710285428,0.032815737294670425,0.09099877572784233,0.032660450379545285,0.009359818323910713,0.02003555538756555,0.02375628401391704,0.049118472126508154,0.015891844127197168,0.00580839708068299,0.0013567104389842165,0.042229530019993675,0.02126172438044085,0.008629110367752364,0.010472849159090311,0.001390277183024134,0.0243013754294505,0.017065187176490835,0.010992604473948177,0.013578440675127094,0.00479122798904486,0.006060679216195958,0.005134199460345246,0.004361531263854516,0.0034850852270830466,6.143325171286681e-05,0.008718476393606341,0.0002113499916405996,0.061571166444995766,0.0009950588600405796,0.0018413252671983845,0.0007677220927388886,0.0002791050020112532,0.0033266620196258046,0.006831174580784205,0.0033923906634564563,0.00041913916869250665,0.0035310898737624043,0.0014656663094605256,4.5627920019141696e-05,0.0029229627549043524,0.0008554162796684398,0.0013379690061729537,0.002484644568711997,0.0053322096560858255,0.004866200675192691,0.006464530753775818,0.0001575205360735173,0.0014527407605824678,0.00821786271466207,0.007185391446948306,0.0003834696008862354,0.002031251823770085,0.0007482874626001201,0.0013851842266830324,0.0010258718397672725,0.002145378295884726,0.0020623688261455077,0.0053392961896303265,0.0010653422346532117
