,22q_ratio_spin_r,22q_ratio_spin_p,22q_ratio_spin_p_adj,adhd_ratio_spin_r,adhd_ratio_spin_p,adhd_ratio_spin_p_adj,asd_ratio_spin_r,asd_ratio_spin_p,asd_ratio_spin_p_adj,epilepsy_gge_ratio_spin_r,epilepsy_gge_ratio_spin_p,epilepsy_gge_ratio_spin_p_adj,epilepsy_rtle_ratio_spin_r,epilepsy_rtle_ratio_spin_p,epilepsy_rtle_ratio_spin_p_adj,epilepsy_ltle_ratio_spin_r,epilepsy_ltle_ratio_spin_p,epilepsy_ltle_ratio_spin_p_adj,depression_ratio_spin_r,depression_ratio_spin_p,depression_ratio_spin_p_adj,ocd_ratio_spin_r,ocd_ratio_spin_p,ocd_ratio_spin_p_adj,schizophrenia_ratio_spin_r,schizophrenia_ratio_spin_p,schizophrenia_ratio_spin_p_adj,bipolar_ratio_spin_r,bipolar_ratio_spin_p,bipolar_ratio_spin_p_adj,obesity_ratio_spin_r,obesity_ratio_spin_p,obesity_ratio_spin_p_adj,schizotypy_ratio_spin_r,schizotypy_ratio_spin_p,schizotypy_ratio_spin_p_adj,parkinson_ratio_spin_r,parkinson_ratio_spin_p,parkinson_ratio_spin_p_adj
Astro_1,0.19314360298210337,0.46153846153846156,1.0,-0.5646523676214872,0.04495504495504495,1.0,0.5084014784733891,0.17482517482517482,1.0,-0.05494008990295835,0.8341658341658341,1.0,-0.14879864642746365,0.7712287712287712,1.0,-0.01747425867806617,0.9590409590409591,1.0,-0.0747797201540041,0.8381618381618382,1.0,0.22937345811031687,0.1088911088911089,1.0,0.042171760467781705,0.8991008991008991,1.0,-0.048918992261131944,0.8431568431568431,1.0,-0.035453498021016244,0.8741258741258742,1.0,-0.17608406909820107,0.5184815184815185,1.0,0.4649048384968581,0.17282717282717283,1.0
Astro_2,0.17285532591036465,0.46153846153846156,1.0,-0.3152962916045363,0.3036963036963037,1.0,0.04171294926744051,0.916083916083916,1.0,-0.5087400398679464,0.016983016983016984,1.0,-0.41629390443714365,0.2037962037962038,1.0,-0.2864946249516885,0.25674325674325676,1.0,0.09535748303826594,0.6853146853146853,1.0,0.15552046450437731,0.37662337662337664,1.0,-0.21085981488866173,0.4035964035964036,1.0,-0.18648270666205682,0.3676323676323676,1.0,-0.37244127097582774,0.06993006993006994,1.0,-0.5023811636760701,0.012987012987012988,1.0,0.18133338253971476,0.5654345654345654,1.0
Chandelier_1,0.18784524156824925,0.5264735264735265,1.0,-0.6257227551410768,0.013986013986013986,1.0,0.24545583205111848,0.5894105894105894,1.0,-0.01267903269327249,0.9690309690309691,1.0,0.24909817324721523,0.6403596403596403,1.0,0.14072539035000248,0.6993006993006993,1.0,-0.31190089875375354,0.3306693306693307,1.0,-0.07967593597667376,0.6653346653346653,1.0,-0.4112067151567545,0.12087912087912088,1.0,-0.3614379085269545,0.11788211788211789,1.0,-0.37845433776675347,0.07792207792207792,1.0,0.02465611535222283,0.9180819180819181,1.0,0.3181077847014681,0.45454545454545453,1.0
Endo_1,0.03338057010215645,0.8791208791208791,1.0,-0.6360456724193769,0.003996003996003996,1.0,0.304070874209223,0.3066933066933067,1.0,-0.007774120794364223,0.9660339660339661,1.0,-0.001354512736824893,0.995004995004995,1.0,0.006752120757502738,0.973026973026973,1.0,-0.09003053719240246,0.7372627372627373,1.0,0.3495525710154373,0.03496503496503497,1.0,0.06947036932814456,0.8101898101898102,1.0,0.19217244673531225,0.35364635364635366,1.0,-0.15884972245961942,0.3776223776223776,1.0,-0.14345451021700048,0.5024975024975025,1.0,0.36152794180866993,0.13386613386613386,1.0
L2/3 IT_1,-0.21411297311641966,0.3016983016983017,1.0,0.22939607818349675,0.45254745254745254,1.0,-0.08849089803618039,0.8091908091908092,1.0,0.23144479739528714,0.2807192807192807,1.0,0.26471357884612556,0.4195804195804196,1.0,0.09692035497588909,0.6653346653346653,1.0,-0.03754541612861603,0.8751248751248751,1.0,-0.06431814247831623,0.6813186813186813,1.0,0.4253511088045328,0.04495504495504495,1.0,0.4830945096815261,0.005994005994005994,1.0,0.4460798974752123,0.011988011988011988,1.0,0.31203073171767565,0.1088911088911089,1.0,0.024470784437577327,0.9330669330669331,1.0
L2/3 IT_2,-0.047308000351372226,0.8141858141858141,1.0,0.07944597886875181,0.7042957042957043,1.0,0.1296485837287219,0.5784215784215784,1.0,0.4547763570261034,0.008991008991008992,1.0,0.3292430924231275,0.11388611388611389,1.0,0.42462717016191187,0.03796203796203796,1.0,-0.3614048899140861,0.057942057942057944,1.0,-0.20968441273131985,0.34465534465534464,1.0,0.08410224843138987,0.7032967032967034,1.0,-0.10880139296946591,0.6223776223776224,1.0,0.2252254977618974,0.38461538461538464,1.0,0.42898038335046346,0.02097902097902098,1.0,0.03407100137561909,0.8621378621378621,1.0
L2/3 IT_3,-0.08082570802895966,0.7402597402597403,1.0,0.728446841109671,0.000999000999000999,0.922077922077922,-0.27325136277644246,0.5044955044955045,1.0,-0.0008983952308765378,0.998001998001998,1.0,-0.16153168588637154,0.6983016983016983,1.0,-0.17018577333290089,0.5664335664335665,1.0,0.20677741654987675,0.45854145854145856,1.0,-0.25318211170579125,0.1108891108891109,1.0,4.287761393695822e-05,1.0,1.0,-0.11811002362085014,0.5974025974025974,1.0,0.17289552227335517,0.4075924075924076,1.0,-0.09462237128269588,0.7392607392607392,1.0,-0.479425868974504,0.0999000999000999,1.0
L2/3 IT_4,0.13239200242608748,0.5214785214785215,1.0,0.4828610579822165,0.04095904095904096,1.0,0.05194466027450564,0.8861138861138861,1.0,-0.41236744190245084,0.03596403596403597,1.0,-0.5739974808964836,0.006993006993006993,1.0,-0.6106197156332712,0.006993006993006993,1.0,0.48874179297151166,0.014985014985014986,1.0,-0.15484852960659112,0.43656343656343655,1.0,0.006884530145261508,0.9760239760239761,1.0,-0.0901730013070341,0.7022977022977023,1.0,0.16166368823237626,0.5194805194805194,1.0,-0.38813264553076327,0.06493506493506493,1.0,-0.347088173119017,0.15384615384615385,1.0
L2/3 IT_5,-0.07311634835696816,0.7602397602397603,1.0,-0.04651086750019883,0.8771228771228772,1.0,-0.11255140500547887,0.7542457542457542,1.0,0.32271043723066517,0.11688311688311688,1.0,0.46863692949895325,0.07492507492507493,1.0,0.47882019554512717,0.024975024975024976,1.0,-0.2862373360580291,0.17182817182817184,1.0,-0.00284926181383663,0.985014985014985,1.0,0.18153849337070785,0.4805194805194805,1.0,0.20366541463163382,0.33266733266733267,1.0,0.20365650162305862,0.3386613386613387,1.0,0.45153149753953203,0.02097902097902098,1.0,0.2638299142255113,0.35864135864135865,1.0
L2/3 IT_6,-0.05480093624405253,0.8411588411588412,1.0,0.7749604120879512,0.001998001998001998,1.0,-0.36114589608600944,0.3786213786213786,1.0,-0.15781150408334008,0.5984015984015985,1.0,-0.2590962616925254,0.5704295704295704,1.0,-0.30853928072718356,0.2947052947052947,1.0,0.44132144816029084,0.06593406593406594,1.0,-0.12525102409129052,0.4725274725274725,1.0,0.11798557619084973,0.7122877122877123,1.0,0.0929981591960916,0.7112887112887113,1.0,0.24215784406359872,0.2727272727272727,1.0,-0.18695570382201934,0.46653346653346656,1.0,-0.456754824387112,0.15284715284715283,1.0
