,22q_ratio_spin_r,22q_ratio_spin_p,22q_ratio_spin_p_adj,adhd_ratio_spin_r,adhd_ratio_spin_p,adhd_ratio_spin_p_adj,asd_ratio_spin_r,asd_ratio_spin_p,asd_ratio_spin_p_adj,epilepsy_gge_ratio_spin_r,epilepsy_gge_ratio_spin_p,epilepsy_gge_ratio_spin_p_adj,epilepsy_rtle_ratio_spin_r,epilepsy_rtle_ratio_spin_p,epilepsy_rtle_ratio_spin_p_adj,epilepsy_ltle_ratio_spin_r,epilepsy_ltle_ratio_spin_p,epilepsy_ltle_ratio_spin_p_adj,depression_ratio_spin_r,depression_ratio_spin_p,depression_ratio_spin_p_adj,ocd_ratio_spin_r,ocd_ratio_spin_p,ocd_ratio_spin_p_adj,schizophrenia_ratio_spin_r,schizophrenia_ratio_spin_p,schizophrenia_ratio_spin_p_adj,bipolar_ratio_spin_r,bipolar_ratio_spin_p,bipolar_ratio_spin_p_adj,obesity_ratio_spin_r,obesity_ratio_spin_p,obesity_ratio_spin_p_adj,schizotypy_ratio_spin_r,schizotypy_ratio_spin_p,schizotypy_ratio_spin_p_adj,parkinson_ratio_spin_r,parkinson_ratio_spin_p,parkinson_ratio_spin_p_adj
Astro_1,0.12065177315114525,0.6593406593406593,1.0,-0.7068887331614849,0.001998001998001998,1.0,0.4392050741877554,0.2727272727272727,1.0,0.05265874839415797,0.8401598401598401,1.0,0.04534189946909182,0.9170829170829171,1.0,0.1352522240952384,0.6833166833166833,1.0,-0.2305065752378247,0.44655344655344653,1.0,0.24332227709479018,0.10589410589410589,1.0,0.004225863851601973,0.991008991008991,1.0,-0.04130073863984483,0.8801198801198801,1.0,-0.13608302382644027,0.48451548451548454,1.0,-0.06347067092576959,0.8401598401598401,1.0,0.4973205484592232,0.13586413586413587,1.0
Astro_2,0.13205097369891197,0.6193806193806194,1.0,-0.6764114961589459,0.002997002997002997,1.0,0.1556925384566919,0.7142857142857143,1.0,-0.24632087113391712,0.3336663336663337,1.0,-0.08446347052667261,0.8551448551448552,1.0,0.006990486283405778,0.978021978021978,1.0,-0.1848121720451732,0.5224775224775224,1.0,0.2331017738236573,0.21078921078921078,1.0,-0.2247020303511767,0.4225774225774226,1.0,-0.15773275591093627,0.5374625374625375,1.0,-0.43639421750528123,0.04495504495504495,1.0,-0.2652246088731701,0.2707292707292707,1.0,0.41338295341877973,0.13286713286713286,1.0
Chandelier_1,0.178555373109043,0.5924075924075924,1.0,-0.711148607274409,0.004995004995004995,1.0,0.29663475910458537,0.5634365634365635,1.0,0.06340420809977568,0.8871128871128872,1.0,0.30376865321484603,0.5564435564435565,1.0,0.20498692844211866,0.5734265734265734,1.0,-0.3713775716664141,0.24175824175824176,1.0,-0.04202473723085952,0.8081918081918081,1.0,-0.33808638807113317,0.26973026973026976,1.0,-0.31933438385199087,0.1958041958041958,1.0,-0.33992348407168865,0.11388611388611389,1.0,0.08241793552485938,0.8131868131868132,1.0,0.39530927100583513,0.33966033966033965,1.0
Endo_1,0.028700853060162342,0.903096903096903,1.0,-0.5895992539306253,0.005994005994005994,1.0,0.33481302998896634,0.24375624375624375,1.0,-0.1368151001221253,0.4905094905094905,1.0,-0.1438442989523342,0.6783216783216783,1.0,-0.04997335333641571,0.8501498501498501,1.0,-0.039034953044819624,0.8701298701298701,1.0,0.3633889992189372,0.029970029970029972,1.0,0.18614991082520713,0.4305694305694306,1.0,0.23466480596590375,0.24575424575424576,1.0,-0.10615968786143845,0.5814185814185814,1.0,-0.22523085921771865,0.2707292707292707,1.0,0.32717305406056785,0.1968031968031968,1.0
L2/3 IT_1,-0.250623844715589,0.0959040959040959,1.0,0.00258361885041289,0.988011988011988,1.0,-0.17497754087788747,0.5114885114885115,1.0,0.1264280836096084,0.4595404595404595,1.0,0.2804472666995942,0.26973026973026976,1.0,0.04086113000999474,0.8571428571428571,1.0,-0.09400121701735882,0.6463536463536463,1.0,0.009657344463715621,0.9400599400599401,1.0,0.3549028709036168,0.030969030969030968,1.0,0.5062874617075908,0.001998001998001998,1.0,0.22428238344033588,0.16483516483516483,1.0,0.17384801720519452,0.3226773226773227,1.0,0.09394093573646381,0.7192807192807192,1.0
L2/3 IT_2,-0.03726210267009019,0.8641358641358642,1.0,-0.3833905277082957,0.12287712287712288,1.0,0.22189335674956556,0.5014985014985015,1.0,0.4687571818154676,0.011988011988011988,1.0,0.4563793350182977,0.05094905094905095,1.0,0.5398336296320402,0.011988011988011988,1.0,-0.5293543457896006,0.003996003996003996,1.0,-0.049362325467734884,0.7972027972027972,1.0,0.02398066777831768,0.9310689310689311,1.0,-0.09646813416473651,0.6913086913086913,1.0,0.020163812257187743,0.9280719280719281,1.0,0.43157604608441064,0.030969030969030968,1.0,0.2884892107598787,0.23576423576423577,1.0
L2/3 IT_3,-0.13471192041448868,0.4805194805194805,1.0,0.48194397775422504,0.017982017982017984,1.0,-0.2844058795926241,0.26973026973026976,1.0,0.1329617992911848,0.5034965034965035,1.0,0.03932475049182973,0.9050949050949051,1.0,-0.016733782194759423,0.942057942057942,1.0,-0.04991927971482892,0.8161838161838162,1.0,-0.2640369850922144,0.0939060939060939,1.0,-0.10534075032579104,0.6333666333666333,1.0,-0.22472164291869243,0.21178821178821178,1.0,-8.325691726181518e-06,1.0,1.0,-0.033443880842514664,0.8831168831168831,1.0,-0.3797158708197403,0.07392607392607392,1.0
L2/3 IT_4,0.1934956454207867,0.33766233766233766,1.0,0.1934991859034246,0.4855144855144855,1.0,0.20561072851792456,0.5144855144855145,1.0,-0.46913498736633674,0.017982017982017984,1.0,-0.5807077224502767,0.006993006993006993,1.0,-0.6110498522314064,0.001998001998001998,1.0,0.3942188819914143,0.059940059940059943,1.0,-0.11617387050456328,0.5924075924075924,1.0,-0.06134336396318065,0.8221778221778222,1.0,-0.17374786195991848,0.4565434565434565,1.0,0.037057680254650775,0.8801198801198801,1.0,-0.44443341512700746,0.023976023976023976,1.0,-0.1810903822950678,0.4435564435564436,1.0
L2/3 IT_5,-0.040609043337566875,0.8421578421578422,1.0,-0.34619408313534084,0.1998001998001998,1.0,-0.04686031489396897,0.8991008991008991,1.0,0.2681448187791315,0.21078921078921078,1.0,0.48148383263109645,0.05194805194805195,1.0,0.48571749143133064,0.015984015984015984,1.0,-0.38037684814373635,0.057942057942057944,1.0,0.0630782013386863,0.6923076923076923,1.0,0.14553047896761526,0.5824175824175825,1.0,0.18098350914799333,0.4045954045954046,1.0,0.04906851484436747,0.8291708291708292,1.0,0.38040399145282355,0.030969030969030968,1.0,0.39466802348831165,0.1018981018981019,1.0
L2/3 IT_6,-0.11300619250889653,0.6673326673326674,1.0,0.7088726914028652,0.001998001998001998,1.0,-0.49393770527587466,0.16283716283716285,1.0,-0.08841402618072255,0.7702297702297702,1.0,-0.12532614728264801,0.7832167832167832,1.0,-0.24509607660147623,0.4005994005994006,1.0,0.36303609317041097,0.14685314685314685,1.0,-0.09676977693763754,0.5794205794205795,1.0,0.06097884566360355,0.8581418581418582,1.0,0.07617254561448708,0.7932067932067932,1.0,0.1346980608855402,0.5594405594405595,1.0,-0.19195856036866932,0.45054945054945056,1.0,-0.43750792234603475,0.16983016983016982,1.0
