,delta,theta,alpha,beta,gamma1,gamma2
0,0.33129161547441954,0.30994673586282573,0.21595186405494565,0.10791029639419962,0.024807650644759663,0.010091841327728794
1,0.3474726275951033,0.3164290766936439,0.19480205169559395,0.10360134924125207,0.025707181819562785,0.01198771119643447
2,0.3684006973515825,0.3118081570932152,0.1788149490457287,0.09608810007842286,0.028915269114639822,0.015972829316925605
3,0.31820673884163675,0.30742023391407575,0.22537359539473092,0.1136112702897715,0.02524543186429598,0.010142727414151434
4,0.315159804163835,0.29492603975992937,0.24227029856963037,0.11343184388600863,0.02467191626246159,0.009540096911577842
5,0.3557986833198726,0.3145563038643341,0.19148894386333332,0.10046838223934174,0.025584538499906398,0.012103145974769927
6,0.3777055015326828,0.29820319072854135,0.1802050909928737,0.09558681715079533,0.03062265848500594,0.017676742254225636
7,0.37090441757473497,0.3014770204520357,0.187447729031684,0.0978362031527975,0.027525182978059705,0.014809448230826394
8,0.3487081979329769,0.2956741031163778,0.21101469573302148,0.10834111468150065,0.024646425428680886,0.011615461010772448
9,0.37876699360336846,0.2885732921793705,0.18868831005387418,0.09581254874392757,0.030365151587844363,0.0177937059069243
10,0.3703134693102163,0.28536350145894734,0.19703422036857815,0.10078404825232366,0.029622283008290128,0.016882478014418955
11,0.3564299208803411,0.30765052286028133,0.1930902217246272,0.10478848696577768,0.025706482594090006,0.012334363537903395
12,0.3300296043648439,0.3043166658457588,0.21823201424935285,0.11288570790898567,0.02445246031617417,0.01008354319880406
13,0.38799056571263535,0.27323897893612203,0.1893096155845202,0.09333480728360323,0.03410736468548958,0.02201866703824355
14,0.3509188285447601,0.2852055771010263,0.2187257894223794,0.10721820872977264,0.025112264306473554,0.012819334024325349
15,0.3667995685531247,0.2785361761046994,0.20722310158514207,0.10148052808738524,0.029062568348261618,0.016898061142813774
16,0.3559415842572304,0.2738624496819222,0.2210097636466157,0.10371961960033195,0.028592302502222257,0.01687428049028736
17,0.37352247131722316,0.2713185657347952,0.20822319335171155,0.09649015909859113,0.0309070175247533,0.01953859484887549
18,0.36502700229046753,0.2766510975953624,0.22030596994892668,0.09799056282030284,0.025676701732432645,0.014348662219097766
19,0.343929482055894,0.269666333359184,0.24079417727940472,0.1042645016671918,0.02609603689547549,0.01524946255384819
20,0.3896590704443278,0.280861123016587,0.19169502574260588,0.09181427362340468,0.028949160465142794,0.017021347742734685
21,0.38451995937263267,0.26811805735616123,0.21054308782605563,0.08981526029460571,0.028687884034041097,0.018315753740642
22,0.39163003620488684,0.265390057304052,0.21323284402739404,0.08539349346437268,0.027033221559318085,0.01732034680522021
23,0.39880130293980315,0.26553113226914526,0.19868066712240479,0.0866353792611079,0.030452865189942883,0.019898654556079726
