,Astro_1,Astro_2,Chandelier_1,Endo_1,L2/3 IT_1,L2/3 IT_2,L2/3 IT_3,L2/3 IT_4,L2/3 IT_5,L2/3 IT_6,L2/3 IT_7,L2/3 IT_8,L4 IT_1,L4 IT_2,L4 IT_3,L5 ET_1,L5 IT_1,L5 IT_2,L5 IT_3,L5 IT_4,L5 IT_5,L5/6 NP_1,L5/6 NP_2,L6 CT_1,L6 CT_2,L6 IT Car3_1,L6 IT_1,L6 IT_2,L6 IT_3,L6b_1,L6b_2,L6b_3,Lamp5_1,Lamp5_2,Lamp5_Lhx6_1,Micro-PVM_1,Micro-PVM_2,OPC_1,Oligo_1,Oligo_2,Pax6_1,Pax6_2,Pvalb_1,Pvalb_2,Pvalb_3,Pvalb_4,Pvalb_5,Sncg_1,Sncg_2,Sncg_3,Sncg_4,Sst_1,Sst_10,Sst_2,Sst_3,Sst_4,Sst_5,Sst_6,Sst_7,Sst_8,Sst_9,VLMC_1,Vip_1,Vip_2,Vip_3,Vip_4,Vip_5,Vip_6,Vip_7,Vip_8,Vip_9
22q,0.009914960993082424,0.006716620036493292,0.015413036271403384,0.03290767616903111,0.027572857828856216,0.009320643200628607,0.012425605549425739,0.017073771663429375,0.015682165098989738,0.012474028332836331,0.014581377196470395,0.017173277058970884,0.016172676142888493,0.016391774301058627,0.0196884486659568,0.011811524286250746,0.011849576856366853,0.006067963028499046,0.010572212616642537,0.015469853064179712,0.01239963502747528,0.015614890729003156,0.010433615507291745,0.008664690267300629,0.01199886163881879,0.012213956605923119,0.028723665587571598,0.011124738907741799,0.006088935201971541,0.009076004336037837,0.010233170774744192,0.011860142909872955,0.006887467709738948,0.006980136672280305,0.007797775252001798,0.029442325568855322,0.024045747681864214,0.008840152530259084,0.018740280053039248,0.01406682862314387,0.02488945613459615,0.009210625726524091,0.018069467553349813,0.016611949349246025,0.0063073244447148,0.011293433384397766,0.008125795498751847,0.02019733916740499,0.009441685756560384,0.0070681000614748165,0.06375891890053542,0.011696284797979779,0.011679502089527288,0.01479098814297891,0.0066455456900227795,0.01238386043987139,0.02143850586834806,0.008284788844227094,0.012780376178151812,0.009127403497647468,0.00494268596423901,0.015603499628940797,0.012904177791784738,0.016186806200660455,0.01629338641733796,0.016446236237823646,0.01673003441243697,0.008599900702581896,0.008827235115830508,0.006887613576108678,0.00826400247954866
adhd,0.009914960993160669,0.006716620036517639,0.015413036270991958,0.03290767616913279,0.02757285782887193,0.009320643200668622,0.012425605549327147,0.01707377166317068,0.015682165099040486,0.0124740283326593,0.014581377196770988,0.017173277058363082,0.016172676143143792,0.016391774300825637,0.01968844866611604,0.011811524286499293,0.011849576856628926,0.006067963028578362,0.010572212617268118,0.015469853064033435,0.012399635027224496,0.015614890729438563,0.01043361550613063,0.008664690266880607,0.011998861638927362,0.012213956605925974,0.028723665587671435,0.011124738907877648,0.00608893520188077,0.009076004336218822,0.010233170774984023,0.011860142909878,0.006887467709952937,0.006980136672002356,0.007797775252261537,0.029442325568975664,0.024045747681893655,0.00884015253004591,0.018740280053133843,0.014066828623352973,0.024889456134268913,0.009210625726392762,0.018069467553112,0.01661194934905013,0.0063073244448347094,0.011293433384449176,0.008125795498972651,0.020197339167237684,0.00944168575662313,0.007068100061547966,0.06375891890072312,0.011696284798106985,0.011679502089251064,0.014790988143205721,0.006645545690150013,0.012383860439741776,0.021438505867954805,0.0082847888440322,0.012780376178167017,0.00912740349760983,0.004942685964264278,0.015603499628929261,0.012904177792102872,0.016186806200423565,0.016293386417409267,0.016446236238017022,0.01673003441244262,0.00859990070260086,0.008827235116069098,0.006887613576400701,0.00826400247948258
asd,0.009914960993156014,0.006716620036900376,0.01541303627123305,0.032907676169155464,0.027572857828832224,0.009320643200424947,0.012425605549151529,0.01707377166254244,0.01568216509882209,0.012474028332675689,0.01458137719722117,0.01717327705808234,0.016172676143174504,0.01639177430089818,0.01968844866628162,0.011811524286467975,0.011849576856358535,0.006067963028640458,0.010572212616623833,0.01546985306435426,0.012399635027380777,0.015614890728977432,0.010433615507415558,0.008664690266603853,0.011998861638455849,0.012213956606037139,0.028723665588119746,0.011124738908365597,0.00608893520186309,0.009076004336343823,0.010233170775281296,0.011860142909688646,0.006887467709638137,0.006980136672150309,0.007797775252244728,0.029442325568740425,0.024045747682055665,0.008840152529938361,0.01874028005308921,0.014066828623094633,0.024889456134240897,0.009210625726137301,0.018069467552995322,0.01661194934913853,0.006307324444680138,0.011293433384519944,0.008125795498977987,0.020197339167466164,0.009441685756654472,0.0070681000615642475,0.06375891890071808,0.011696284797773912,0.011679502089154945,0.014790988143580593,0.006645545690377716,0.01238386043940423,0.0214385058680781,0.008284788843855124,0.012780376178236068,0.009127403497926621,0.00494268596426264,0.015603499628991638,0.012904177792028152,0.01618680620016344,0.01629338641712379,0.016446236238112182,0.016730034412262874,0.008599900702831868,0.008827235116140005,0.006887613576586438,0.008264002479535803
epilepsy_gge,0.009914960993142216,0.006716620036766222,0.015413036271099424,0.03290767616915002,0.027572857828824623,0.009320643200378067,0.012425605549347915,0.01707377166296573,0.015682165098951876,0.012474028332657022,0.014581377196678055,0.017173277058397485,0.01617267614316457,0.01639177430106713,0.019688448666129076,0.011811524286418991,0.01184957685641712,0.006067963028649569,0.010572212616764259,0.015469853064062802,0.012399635027330066,0.015614890729079374,0.010433615506991225,0.00866469026686886,0.011998861638678433,0.012213956605903797,0.028723665587913595,0.011124738908222022,0.006088935201893738,0.009076004336374307,0.010233170775055372,0.011860142909844234,0.00688746770977561,0.006980136672271725,0.0077977752522026345,0.02944232556901368,0.02404574768202084,0.008840152529842975,0.01874028005311118,0.014066828623020786,0.02488945613422087,0.009210625726377403,0.018069467553060842,0.01661194934890864,0.0063073244446679,0.011293433384631932,0.008125795499053132,0.020197339167278183,0.009441685756554402,0.007068100061740226,0.06375891890078185,0.011696284797966559,0.011679502089232588,0.014790988143485858,0.006645545690268999,0.012383860439744923,0.021438505867869394,0.0082847888438741,0.012780376178158054,0.009127403497782825,0.004942685964303956,0.01560349962903803,0.01290417779196537,0.016186806200261285,0.016293386417316393,0.01644623623795977,0.0167300344123785,0.008599900702690582,0.008827235116053878,0.006887613576424881,0.008264002479501823
epilepsy_rtle,0.009914960993233687,0.006716620036810751,0.015413036271738791,0.03290767616915121,0.02757285782909975,0.00932064320064024,0.012425605548922945,0.01707377166376506,0.015682165098941606,0.012474028332963774,0.014581377196844216,0.017173277058536808,0.016172676143049385,0.016391774300014303,0.0196884486658834,0.011811524286077872,0.011849576856350333,0.006067963028551164,0.010572212616845591,0.015469853064375276,0.012399635027550556,0.01561489072898144,0.01043361550818241,0.00866469026712375,0.011998861638266882,0.012213956606084065,0.028723665587704273,0.011124738907277363,0.00608893520211157,0.009076004336011564,0.01023317077505976,0.0118601429097292,0.0068874677096732746,0.006980136671845895,0.007797775252157965,0.029442325568652766,0.024045747681866937,0.008840152530077637,0.018740280052982457,0.014066828623242447,0.024889456134390087,0.009210625726076418,0.01806946755310445,0.016611949349328366,0.006307324444655919,0.011293433384498461,0.008125795498814871,0.02019733916731373,0.009441685756874877,0.007068100061204226,0.06375891890059172,0.011696284798000296,0.011679502089405894,0.01479098814329262,0.006645545690000833,0.012383860439575406,0.021438505868774004,0.008284788843974907,0.012780376178231183,0.009127403497961114,0.004942685964185163,0.0156034996288552,0.012904177791857372,0.016186806200611366,0.016293386417177633,0.01644623623781117,0.01673003441231315,0.008599900702905254,0.008827235115803621,0.0068876135763574165,0.008264002479674695
epilepsy_ltle,0.009914960993315066,0.006716620036714915,0.015413036271739152,0.03290767616919292,0.027572857828992155,0.00932064320058938,0.012425605549040052,0.017073771663883075,0.015682165099367797,0.012474028332836135,0.014581377196616367,0.01717327705833548,0.016172676143245947,0.016391774300140268,0.019688448665826773,0.01181152428611108,0.011849576856838842,0.0060679630285693665,0.0105722126170544,0.015469853064132486,0.012399635027563003,0.015614890729234073,0.01043361550746852,0.008664690267258772,0.011998861638576762,0.012213956605850085,0.02872366558773111,0.011124738907279708,0.006088935202120825,0.009076004336120845,0.01023317077485845,0.011860142909833235,0.006887467709907744,0.006980136671892953,0.007797775251938563,0.029442325568735717,0.024045747681862878,0.008840152529997543,0.018740280053094922,0.014066828623239415,0.024889456134383002,0.009210625726276817,0.018069467553287512,0.016611949349073323,0.006307324444621471,0.011293433384322014,0.008125795498849026,0.020197339167125142,0.009441685756549205,0.007068100061397284,0.06375891890057517,0.011696284797950252,0.011679502089223016,0.01479098814334795,0.006645545690022731,0.012383860439500863,0.021438505868695203,0.00828478884381931,0.01278037617821021,0.009127403497897408,0.004942685964350913,0.01560349962881863,0.012904177791886878,0.01618680620039097,0.016293386417250436,0.016446236237859763,0.016730034412401923,0.008599900702856943,0.00882723511600408,0.006887613576383896,0.008264002479561902
depression,0.009914960991949169,0.006716620034259789,0.015413036279850675,0.03290767617077658,0.02757285783233586,0.009320643203832203,0.012425605542467142,0.017073771681310093,0.015682165105797334,0.01247402834398993,0.014581377197995309,0.01717327705032063,0.016172676142767118,0.016391774275945317,0.01968844866761262,0.01181152428229697,0.011849576865266486,0.0060679630271905545,0.010572212630304504,0.0154698530578653,0.012399635031943195,0.015614890723881418,0.010433615506355218,0.008664690265174363,0.011998861644936366,0.012213956609407424,0.02872366558180643,0.011124738903513301,0.0060889352011132755,0.009076004331482328,0.01023317077900214,0.011860142909294755,0.006887467709764858,0.006980136667520153,0.007797775251503497,0.0294423255672947,0.024045747678700376,0.008840152529690073,0.0187402800550343,0.014066828624783855,0.024889456128787898,0.009210625722260233,0.018069467552520556,0.016611949348698526,0.006307324448819522,0.0112934333754364,0.008125795495595254,0.020197339168498214,0.009441685758023524,0.00706810005927236,0.06375891889984106,0.0116962848017841,0.011679502081064736,0.014790988147439173,0.006645545687808379,0.012383860440179004,0.02143850586525529,0.008284788845815216,0.01278037617963868,0.0091274034995655,0.004942685961786274,0.015603499629492108,0.012904177789484479,0.016186806211420462,0.016293386417255317,0.016446236231279474,0.016730034409943324,0.00859990070897009,0.008827235115517805,0.006887613580227491,0.008264002481984114
ocd,0.009914960998665952,0.006716620042192008,0.015413036306038618,0.03290767617921685,0.027572857844978774,0.009320643198296966,0.012425605526205348,0.01707377168471663,0.01568216510293743,0.01247402833024744,0.014581377223195198,0.017173276991244695,0.016172676143296667,0.016391774234732013,0.01968844867723017,0.011811524263447164,0.011849576854607838,0.006067963051170539,0.010572212617579147,0.015469853060394317,0.012399635035633457,0.015614890719631562,0.01043361557799609,0.008664690247289199,0.011998861621305354,0.012213956625277097,0.028723665596269186,0.011124738900390903,0.006088935201714538,0.00907600433344504,0.010233170781644894,0.011860142902962407,0.0068874677001306665,0.006980136652306701,0.007797775245447315,0.0294423255709639,0.024045747683337414,0.008840152506293377,0.018740280056270136,0.014066828630160262,0.02488945609959032,0.009210625694488144,0.018069467536272667,0.016611949345976505,0.00630732445296784,0.011293433382832825,0.008125795504351205,0.020197339172846152,0.009441685767509235,0.007068100058448818,0.06375891890809021,0.011696284783871528,0.011679502073466054,0.01479098816944734,0.006645545695460978,0.01238386040840481,0.021438505883632775,0.008284788858662958,0.012780376186855666,0.00912740352195302,0.004942685961738367,0.015603499634135229,0.012904177781125578,0.016186806212525606,0.016293386399747076,0.016446236223105773,0.016730034413613697,0.008599900731855202,0.008827235123412972,0.006887613600644034,0.008264002494104293
schizophrenia,0.009914960993128163,0.006716620036722527,0.015413036271098244,0.0329076761690955,0.027572857828807144,0.009320643200491963,0.012425605549478509,0.01707377166281348,0.01568216509876366,0.01247402833247588,0.014581377196754303,0.017173277058580592,0.016172676143193798,0.01639177430128708,0.01968844866604388,0.011811524286387758,0.011849576856169641,0.0060679630285700205,0.010572212616686047,0.015469853064376118,0.012399635027287125,0.015614890729246447,0.010433615507141577,0.008664690267047574,0.01199886163854933,0.012213956605926505,0.028723665587930824,0.011124738907860901,0.006088935201961776,0.009076004336437338,0.010233170774698428,0.011860142909836939,0.006887467709836887,0.006980136672175671,0.007797775252205901,0.029442325568922744,0.02404574768201188,0.008840152530076263,0.018740280053017422,0.014066828623195575,0.024889456134480525,0.00921062572639926,0.01806946755312476,0.01661194934912151,0.0063073244445445206,0.011293433384709154,0.008125795499121923,0.020197339167209928,0.009441685756563487,0.007068100061531283,0.0637589189007225,0.01169628479789068,0.011679502089510149,0.014790988143089618,0.006645545690167611,0.012383860439796666,0.021438505868086485,0.008284788843998699,0.012780376178166122,0.00912740349776502,0.004942685964309285,0.015603499628983454,0.01290417779203166,0.01618680620016071,0.016293386417347507,0.016446236238091088,0.01673003441243464,0.00859990070253914,0.008827235115966057,0.006887613576319806,0.008264002479525237
bipolar,0.009914960992990898,0.0067166200367862906,0.015413036271265456,0.03290767616901644,0.027572857828855935,0.009320643200492152,0.012425605549385746,0.017073771663000763,0.015682165098516634,0.012474028332726156,0.01458137719671878,0.017173277059380907,0.01617267614313583,0.01639177430118547,0.019688448665831422,0.011811524286354132,0.011849576856041403,0.006067963028358272,0.0105722126166123,0.015469853064584253,0.01239963502735007,0.0156148907291289,0.010433615507517853,0.008664690267301843,0.01199886163842463,0.012213956605819103,0.028723665587669724,0.011124738907480195,0.006088935202087404,0.009076004336309932,0.010233170774658648,0.011860142909720525,0.006887467709787544,0.006980136672145999,0.00779777525228719,0.029442325568845937,0.024045747681965202,0.008840152530298477,0.018740280052922838,0.014066828623231688,0.024889456134622404,0.009210625726407828,0.018069467553233305,0.01661194934926216,0.006307324444447663,0.01129343338474092,0.008125795498889605,0.02019733916727158,0.009441685756708295,0.007068100061337212,0.06375891890062198,0.011696284798030967,0.011679502089703668,0.014790988142875593,0.006645545690060281,0.0123838604398372,0.021438505868430588,0.00828478884410798,0.012780376178181984,0.009127403497715392,0.004942685964243937,0.015603499628997148,0.012904177792031964,0.01618680620025779,0.016293386417392006,0.016446236238061563,0.016730034412255807,0.008599900702558975,0.008827235115750058,0.006887613576140188,0.008264002479631138
