,Astro_1,Astro_2,Chandelier_1,Endo_1,L2/3 IT_1,L2/3 IT_2,L2/3 IT_3,L2/3 IT_4,L2/3 IT_5,L2/3 IT_6,L2/3 IT_7,L2/3 IT_8,L4 IT_1,L4 IT_2,L4 IT_3,L5 ET_1,L5 IT_1,L5 IT_2,L5 IT_3,L5 IT_4,L5 IT_5,L5/6 NP_1,L5/6 NP_2,L6 CT_1,L6 CT_2,L6 IT Car3_1,L6 IT_1,L6 IT_2,L6 IT_3,L6b_1,L6b_2,L6b_3,Lamp5_1,Lamp5_2,Lamp5_Lhx6_1,Micro-PVM_1,Micro-PVM_2,OPC_1,Oligo_1,Oligo_2,Pax6_1,Pax6_2,Pvalb_1,Pvalb_2,Pvalb_3,Pvalb_4,Pvalb_5,Sncg_1,Sncg_2,Sncg_3,Sncg_4,Sst_1,Sst_10,Sst_2,Sst_3,Sst_4,Sst_5,Sst_6,Sst_7,Sst_8,Sst_9,VLMC_1,Vip_1,Vip_2,Vip_3,Vip_4,Vip_5,Vip_6,Vip_7,Vip_8,Vip_9
22q,0.0007999676571066813,0.0016448390275632739,0.017950107989198064,0.003996444766648903,0.005836171485547686,0.014271931700757377,0.012527389355946482,0.014868027988998726,0.04380580441287839,0.010426452473916882,0.004481489921231998,0.02905892803729428,0.018489134269935228,0.09282848330027983,0.006032327836876612,0.032268369091405236,0.004791112828769342,0.0007702023650206877,0.021313596998815586,0.014939034763639907,0.025920854336755807,0.01241419448760901,0.008765548881922353,0.001988354899516735,0.04579635907761094,0.0014020230794279844,0.010631562943561493,0.03812709914303406,0.011148439767307663,0.011189371276414492,0.018908812345811824,0.02979608130407757,0.010323545687407273,0.007536168864015409,0.02370312432617614,0.022718909768138052,0.00150754602892031,0.009903688976136558,0.0035301360046268286,0.016092565497780043,0.00770650292020896,0.0013745374552027424,0.01928580377379152,0.013978986079678684,0.010215115916046756,0.004689361460980732,0.00713379650018966,0.024538952003799526,0.011641587763867185,0.014736187331002393,0.009634589211377059,0.005657853646760086,0.025953580928918467,0.029809461150689828,0.02363161712773021,0.02996224317256231,0.016856195144671467,0.002168719693725009,0.005602118705645646,0.0007431046886618833,0.017618832151233346,0.008075976363296546,0.006020422874899556,0.0036768671940658145,0.0012573225785685073,0.015071404418861898,0.00024949736299422154,0.010393358061499106,0.000537292835274675,0.0006850946811289867,0.008589413834585705
adhd,0.0011138544955030668,0.06317893670986378,0.006532609341863136,0.002306709201533163,0.0027167536163719874,0.0105222655877013,0.0029593906528579206,0.01983301075368351,0.003221995330234791,0.06139664362541776,0.029081604368855367,0.010767088017276608,0.04313546956215497,0.06164498866746367,0.03481991312687049,0.015167292728667178,0.01808218926044343,0.006340178861856393,0.00026458669218289697,0.027880291391407557,0.02274742571168743,0.010664196539379701,0.03444333698790179,0.016087194930036654,0.012772128311471592,0.0008184988790023786,0.005896364091893742,0.01571673292493091,0.01354252712413071,0.021442062467204957,0.04952468176095623,0.008480138221818463,0.004508731272402872,0.012314378971660246,0.0009152094653205495,0.0005218993742958344,0.0035135817481803167,0.005714644970304806,0.001297750168903525,0.04062792962523445,0.005610764553618361,0.013817926495175426,0.012341126498658553,0.003918467881736633,0.004267010054450232,0.0074217472565813805,0.012908472542972137,0.015455281970769851,0.029198814021513236,0.004504839441199187,0.00099722068786029,0.004320381671402442,0.016356186223099818,0.00273518721022293,0.0010241509017647615,0.009985533555047514,0.008803020602705902,0.0226811968877402,0.009677461966795175,0.0009229906758758269,0.0036288120614587794,0.003466511471582205,0.0014823481448325826,0.021622413120956196,0.01905531814530661,0.027415702207352535,0.0033273844369146963,0.016501216527831285,0.007050204635885617,0.005272851114930602,0.0017142714948329347
asd,0.006012011096438005,0.0073318406438211674,0.0273742693899421,0.0066837427135244725,0.0021934984246311322,0.0029994967703372696,0.022905090799981508,0.02249528653925599,0.05079980010650342,0.0363167685495536,0.011397369881613516,0.06968953752360485,0.01992885034762888,0.050199433145876805,5.7958118026902104e-05,0.004036031074788308,0.011368283024033232,0.0023066394742439814,0.029006826563156923,0.0041685312799514184,0.0054575987964491845,0.008399282690097131,0.0013469977216447073,0.004635141502818015,0.052731076862895535,0.005136570849537715,0.010413210782782614,0.0020753207538486158,0.009672438623009294,0.004069166778775469,0.053459667975478055,0.022464997035773603,0.003792531446968262,0.023820539339981045,0.0067089167210972874,0.032034617342032,4.958302530871905e-05,0.018327141384165017,0.010567201748737378,0.008742827508889986,0.014866313064425977,0.00557374749925289,0.00874371726015708,0.004771756369086284,0.006118723635191608,0.011184406423700324,0.0011920404072903205,0.007821440521905188,0.022337684347950304,0.008931185652380144,0.006356662709860968,0.0023400893293781767,0.0402453045723604,0.026618032986713985,0.0023721438976858837,0.005978559700983742,0.01217572166452763,0.007647746792428176,0.003674463123577646,0.0018595131670478392,0.011224461328402447,0.013857004388883674,0.0030590369618223087,0.013234378959515397,0.02415060872608167,0.007698866548710969,0.00027567754056260845,0.03494058963719085,0.0040208874121283105,0.005969548374502502,0.00958359263909159
epilepsy_gge,0.00047832020148275205,0.08929573907498428,0.003711784429738071,0.004150312509139421,0.0004686650542295664,0.005200842001573918,0.013785628259406631,0.003830673699682067,0.038464587288806217,0.02898899318745655,0.007307402155372616,0.07192989797500299,0.029440334211684228,0.06183185386504702,0.02843106305236532,0.019799032212559436,0.018970838499335056,0.003350602606366205,0.020058671359024942,0.017594886581702093,0.0003055337997919455,0.008738647060710767,0.01252832352602417,0.0019714521043390004,0.01251273831927876,0.024851684103864,0.003651666909805761,0.003856024319781423,0.00916941247183863,0.013523936078994563,0.015194802193809993,0.002205637917206313,0.009481854192309874,0.02147346634540814,0.005627783172462358,0.01616941455319296,0.0008928370855479318,0.005044602003795367,0.007952726722014171,0.001067234647740666,0.006983465791562108,0.000588592999804466,0.02371603337358388,0.006710134001199649,0.010934575879704582,0.0364033427076531,0.006566424419261051,0.0014637615025629622,0.0036132260233512252,0.01924755586144939,0.0025134159051727113,0.000985022338170765,0.031429162368126026,0.038671867831501956,0.010575307743432695,0.025438901205645112,0.017137560759249156,0.027832497429512548,0.0010691827561124599,0.004082411901200077,0.0016361201827442844,0.00689447223223364,4.5568044362533586e-05,0.015520015324438075,0.005810652746724611,0.006499181262020599,0.007806323868436682,0.004535315008745441,0.014261652207239676,0.009131259732672661,0.008587090839250017
epilepsy_rtle,0.02022814024211344,0.043744824366772704,0.01664402080356993,0.008025906245192857,0.0062246991379774266,0.0005559845437257424,8.534398415753594e-05,0.03395005645309359,0.00700554859946748,0.039514377330170894,0.009599051873783517,0.052006550337282687,0.016485084118998017,0.021786617019402998,0.00031071417931942814,0.00784735857075159,0.02505091905938688,0.004066580973312755,0.0008925711377723653,0.010641826530289715,0.0022751252994899682,0.008342033566664585,0.004761378546720078,0.02709843435219594,0.008560410851612946,0.026845895464335884,0.007791792254159963,0.04512494121467069,0.03363568607635513,0.0020182454612989566,0.0011914527867099847,0.003023174806608116,0.0285117616657365,0.028473503223948874,0.0018557176849879702,0.014719929325800378,0.0018481121507836248,0.0019016895663873975,0.010559146725533616,0.010840192719712566,0.010075719862032227,0.010147018335843982,0.008926157630393764,0.011239549706302017,0.009154250309359587,0.022405106515595324,0.014479324946897475,0.02536721468327597,0.011095950798537535,0.029614283242838362,0.013326402789793055,0.007574779175631264,0.036317006880911544,0.03737750309529479,0.031455766152366366,0.012098861268092396,0.006939298533477398,0.03777755367371516,0.005669608895745375,0.005310449838268155,0.0012186646633759917,0.0023096895334811197,0.002011488089211932,0.0014407542997359412,0.011189376876108405,0.007260574702429145,0.0015032079387026463,0.006214415846326338,0.00991933981212082,0.00191639617502056,0.014619486478860699
epilepsy_ltle,0.02032090202067042,0.0348705315977591,0.018402393757929993,0.002238643630432802,0.004250922553653989,7.941307925414193e-05,0.006619958097818075,0.019255938857696924,0.00489726043384597,0.06258525841352541,0.01836269846229113,0.0529805346694195,0.006036106972345372,0.010001851533627206,0.007537031283778811,0.03292506128855643,0.0354925884386679,0.022169272768790844,0.008460587045121513,0.013353624717269882,0.007593734619071501,0.02492495678699641,0.010963802011241319,0.004287538502924641,0.01906297727195746,0.03104550227841263,0.018161234475386076,0.034729180148182444,0.03449013723001658,8.550560363992405e-05,0.035735125237235627,0.0023227431178378267,0.011113661418732056,0.027092116907371656,0.004297200943619965,0.00977247391158313,0.0034969192337727627,0.024249402517480263,0.011433433672684736,0.02343927593048823,0.013511557228967318,0.009652976200065949,0.017040904242972013,0.005266675781700001,0.002772061048622649,0.01277412603203003,0.0006213248130947138,0.0005027103878697508,0.002396779428648836,0.04099266564796285,0.011121142571328273,0.002296414849251325,0.02890581010713804,0.018448260870831353,0.016524171493640622,0.017729447617250486,0.0026358648158227456,0.019069294835009895,0.001398129440725751,0.004649839933667343,0.005955486825157141,0.006380664470178344,0.0012145640211430804,0.01414864477251623,0.0023551008504493465,0.0015292460865689215,0.005077449843061762,0.005805488165344507,0.005282338012580582,0.0021025369283959685,0.002700821236913527
depression,0.02717522919497197,0.004469493136381842,0.013981354364849458,0.011015039410298732,0.007247672578671045,0.008161408510168137,0.03333406319203683,0.008592992883161652,0.038903988569141026,0.02256807591826932,0.007826213532782008,0.034777404392247524,0.017968790236577305,0.07291044956941331,0.021787623446449206,0.010479950036866944,0.009759385346493551,0.02095057550992162,0.018634709365538484,0.00631017579554971,0.0035448309885060176,0.008995370270629507,0.003927635559366708,0.02003985206889041,0.045007737330305254,0.01793391244649912,0.020679320620504843,0.0361908857261948,0.02654503854396314,0.0117667484901121,0.01827629961654533,0.022008005522475903,0.025850456824347334,0.0006628298053999199,0.006660797552642818,0.008660196029889282,0.007278173806121144,0.012876738293932648,0.0009043675655001212,0.024592692884773636,0.01504151746042562,0.000592293320623448,0.0032057810096144885,0.0024517375329944527,0.01098508349444651,0.0063022709551247506,0.007989249836925557,0.021319703959384106,0.011645469403056436,0.010561128954537523,0.01089690223874178,0.0071517740665907326,0.00795351964567111,0.017811169503375357,0.006303724441372124,0.01736688766134389,0.0006027494266576602,0.02152319734638034,0.008656060624084376,0.009046773048603667,0.017820169593728476,0.015464581592186222,0.005344993599243272,0.005784081178174274,0.00942584149860304,0.0037574721309365676,0.004807887536078222,0.012167675886095124,0.002337774495405151,0.004317666599935424,0.002108377023270439
ocd,0.012812781289823385,0.001106591722268129,0.02790919769092793,0.01580172595053255,0.006890459319971722,0.009138185636291409,0.013445979361963767,0.011449767171763894,0.028007764724803586,0.017774723947557643,0.012514714870404177,0.03355461022201364,0.023385324125908845,0.039609468790163006,0.028773133712743336,0.034271831570817035,0.012770184423492625,0.02382388248927613,0.0061186182734933574,0.011027187920655369,0.016423833894842,0.01876422892265748,0.010160379865622075,0.04760882483123818,0.04302443482845634,0.002720957382192759,0.0025787424196711804,0.0247981048309429,0.011161878221129832,0.02014378987640419,0.03099727885382618,0.01990999204039632,0.0033990199429639384,0.0066292690041569536,0.003986849334980596,0.006911332548153363,0.0001472440539015553,0.02916617907028178,0.002982760614947561,0.00820884904551841,0.006044300114656047,0.002065341476897102,0.002138038035389541,0.000400121987712888,0.0008431436804937772,0.020239673678431384,0.019649046987943806,0.012567317095968065,0.04462515292580757,0.00504050515217827,0.008046586810308728,0.006297458294978247,0.004479757522042829,0.003026429662646515,0.00900105645135959,0.016839699536921146,0.019789242078739,0.028025525570853086,0.0076296445966421746,0.005216398931930732,0.012432755796961511,7.341714385375704e-06,0.003615183999610338,0.02316347669040433,0.010977719756764967,0.003377654426185609,0.00042807700401004876,0.020667057947313026,0.007173068444547855,0.009173144635342556,0.007109996195418706
schizophrenia,0.00424759067900844,0.043670260529558774,0.015211537735435173,0.0033463782215877994,0.0033701870215440224,0.003857684096585456,0.017105356638681547,0.0009816486926961848,0.023355990224473502,0.010099281508527605,0.0009609388103094233,0.055020484459242854,0.022990009055533302,0.010142829526708995,0.011706114037543488,0.0024022678684761586,0.014846785834885582,0.001963273415018225,0.005921578581586832,0.001361589237957147,0.00664052373364728,0.026998071708943767,0.006171246194641693,0.008354472919933412,0.04258924004761243,0.002253698206349675,0.0018621446541674856,0.028783892894793738,0.016678566221803026,0.026703367607918284,0.043441780077400745,0.029365516958961255,0.007839397027240392,0.0164019251766656,0.009033292905865298,0.017400742482909678,0.005282626926321732,0.0228866552690457,0.008659853720031198,0.03767071486066717,0.013046606822113695,0.009365562102348745,0.015558079240658813,0.010681951653500414,0.010685613254862808,0.022321487724984084,0.003984961318376002,0.008568349197012716,0.016939155061308084,0.023034990630929668,0.00381107040201258,0.006017605638622553,0.03485734927411813,0.022761825292831727,0.017981663486183016,0.012901003478696688,0.03564830033189742,0.00666009591655536,0.0007038536642807844,0.0013981637220403548,0.010287516376944257,0.004100601885452269,0.001428671839496421,0.0065828338992129564,0.01377010717998071,0.015605453298433927,0.007804434616571595,0.017099783886214588,0.013274536627842084,0.009305788455599193,0.006233067950638316
bipolar,0.012438734095034144,0.007279361199546497,0.01270836994443969,0.006110767094990561,0.0011155133951200383,0.010848059341448446,0.01829822398847711,0.008774550588875446,0.03292200321280862,0.001644274859191531,0.003928369481052759,0.060799092583110594,0.023487159164542488,0.03769008315655409,0.0023238552659839602,0.010632803422244463,0.011230857921723713,0.008724353529542733,0.002024905040508151,0.011900079890469024,0.006018101743007601,0.023510698174413747,0.00023808821652524957,0.0020238983961489293,0.06581382314852108,0.007615035482830066,0.005311968089102318,0.028793753359253455,0.01719992475114668,0.02450678902647377,0.0396222370472483,0.027370315478419015,0.0016038313044726598,0.020503517115006226,0.006797821058400413,0.01685666750836006,0.0020322054889730947,0.018121127192559372,0.008801055234301946,0.027074702427944148,0.021366673425219515,0.00458786183891802,0.012086300324687086,0.007744049537071448,0.018348266868007893,0.014504410972233301,0.0035188484580023108,0.013608278870413269,0.01816746422736089,0.02507890599785632,0.0051187746336444784,0.0074667511680393,0.03271865346163959,0.030026003968668405,0.013740887176496148,0.010551267457586205,0.026121647848393287,0.0018416363757102682,0.0016956565208407022,0.0026189626712639965,0.011542607853857627,0.007644763196559838,0.007961044107771592,0.010267562672164634,0.008431252675236822,0.009884673653163843,0.0019915318324347044,0.010397601867485076,0.007801268928937392,0.00543935593972241,0.013030058051841494
