,delta_ratio_spin_r,delta_ratio_spin_p,delta_ratio_spin_p_adj,theta_ratio_spin_r,theta_ratio_spin_p,theta_ratio_spin_p_adj,alpha_ratio_spin_r,alpha_ratio_spin_p,alpha_ratio_spin_p_adj,beta_ratio_spin_r,beta_ratio_spin_p,beta_ratio_spin_p_adj,gamma1_ratio_spin_r,gamma1_ratio_spin_p,gamma1_ratio_spin_p_adj,gamma2_ratio_spin_r,gamma2_ratio_spin_p,gamma2_ratio_spin_p_adj
Astro_1,0.20677406149569946,0.7172827172827173,1.0,0.5922149545627382,0.06593406593406594,1.0,-0.5048276119621619,0.3276723276723277,1.0,0.567789854088275,0.18981018981018982,1.0,0.5021519850147768,0.2177822177822178,1.0,-0.007136672484426591,0.989010989010989,1.0
Astro_2,-0.06840833550489785,0.8771228771228772,1.0,0.47956731416614584,0.0919080919080919,1.0,-0.09145955687606137,0.8321678321678322,1.0,0.6353610034285119,0.015984015984015984,1.0,0.1237347702201293,0.7612387612387612,1.0,-0.22442920116131423,0.5634365634365635,1.0
Chandelier_1,0.7213981794869091,0.006993006993006993,1.0,0.6298343188425968,0.056943056943056944,1.0,-0.757842226501178,0.012987012987012988,1.0,-0.013165130248247697,0.986013986013986,1.0,0.6614927814126901,0.029970029970029972,1.0,0.6069892043002951,0.08191808191808192,1.0
Endo_1,0.24855807603307783,0.4755244755244755,1.0,0.3803844656030838,0.15584415584415584,1.0,-0.48223535882616214,0.0979020979020979,1.0,0.22892246493322554,0.5294705294705294,1.0,0.4244724629741095,0.11588411588411589,1.0,0.14582255593013782,0.7172827172827173,1.0
L2/3 IT_1,0.015397202175283349,0.9660339660339661,1.0,-0.3787023144114735,0.17582417582417584,1.0,0.11659106076892263,0.7752247752247752,1.0,-0.4712686980768103,0.13086913086913088,1.0,-0.12890851604745873,0.7252747252747253,1.0,0.090691255547084,0.7872127872127872,1.0
L2/3 IT_2,0.07104314641870327,0.7362637362637363,1.0,-0.1786856493989596,0.46253746253746253,1.0,-0.027656692083334867,0.922077922077922,1.0,-0.3270625693870543,0.12987012987012986,1.0,-0.01732358701515887,0.9280719280719281,1.0,0.10191427858048624,0.6803196803196803,1.0
L2/3 IT_3,-0.4803547895001624,0.15384615384615385,1.0,-0.5779654187422979,0.04495504495504495,1.0,0.7630551720748547,0.001998001998001998,0.8491508491508492,-0.09547502584426032,0.8481518481518482,1.0,-0.5359228029650315,0.07192807192807193,1.0,-0.32836467843311,0.46053946053946054,1.0
L2/3 IT_4,-0.3466015809278437,0.23176823176823177,1.0,-0.09396222555693341,0.7902097902097902,1.0,0.41290548701089963,0.19880119880119881,1.0,0.2612476276385189,0.4965034965034965,1.0,-0.2570107003402571,0.3806193806193806,1.0,-0.38990764960583857,0.15884115884115885,1.0
L2/3 IT_5,0.18619584080303933,0.6063936063936064,1.0,-0.2707404794745578,0.4035964035964036,1.0,-0.13532532817946485,0.7552447552447552,1.0,-0.566042269965133,0.024975024975024976,1.0,-0.0268595564025985,0.9430569430569431,1.0,0.27657105544174604,0.4075924075924076,1.0
L2/3 IT_6,-0.5157581364659077,0.15884115884115885,1.0,-0.6426141083495089,0.04595404595404595,1.0,0.7809632673852713,0.000999000999000999,0.4255744255744256,-0.1460487876799295,0.7732267732267732,1.0,-0.6122907891780768,0.055944055944055944,1.0,-0.3666472995256731,0.44555444555444557,1.0
