,delta_ratio_spin_r,delta_ratio_spin_p,delta_ratio_spin_p_adj,theta_ratio_spin_r,theta_ratio_spin_p,theta_ratio_spin_p_adj,alpha_ratio_spin_r,alpha_ratio_spin_p,alpha_ratio_spin_p_adj,beta_ratio_spin_r,beta_ratio_spin_p,beta_ratio_spin_p_adj,gamma1_ratio_spin_r,gamma1_ratio_spin_p,gamma1_ratio_spin_p_adj,gamma2_ratio_spin_r,gamma2_ratio_spin_p,gamma2_ratio_spin_p_adj
Astro_1,0.3378548549050348,0.46053946053946054,1.0,0.6196455918215951,0.052947052947052944,1.0,-0.6331283751022203,0.1088911088911089,1.0,0.4457027555546336,0.35664335664335667,1.0,0.5832699792592207,0.04795204795204795,1.0,0.15993639292976677,0.7592407592407593,1.0
Astro_2,0.2620111776696504,0.5014985014985015,1.0,0.6627023262986567,0.005994005994005994,1.0,-0.49830626757925184,0.1958041958041958,1.0,0.5067453777023566,0.18681318681318682,1.0,0.43543075081378946,0.21178821178821178,1.0,0.10066005367790855,0.8231768231768232,1.0
Chandelier_1,0.7530321498692537,0.01998001998001998,1.0,0.6616427524024601,0.054945054945054944,1.0,-0.8449549279673773,0.005994005994005994,1.0,-0.007671470566540722,0.993006993006993,1.0,0.7277561505782003,0.015984015984015984,1.0,0.6411026193334115,0.11488511488511488,1.0
Endo_1,0.07735873572024293,0.8371628371628371,1.0,0.362130439720344,0.21178821178821178,1.0,-0.3689400844350405,0.2977022977022977,1.0,0.40690710689015025,0.2007992007992008,1.0,0.36169341226220175,0.24175824175824176,1.0,-0.025670436980444813,0.9470529470529471,1.0
L2/3 IT_1,0.12676290169496515,0.6663336663336663,1.0,-0.21165171401434155,0.41058941058941056,1.0,-0.0270382824732809,0.9250749250749251,1.0,-0.36245614908069224,0.16183816183816183,1.0,-0.0019288143453640026,0.994005994005994,1.0,0.17724893258480243,0.5704295704295704,1.0
L2/3 IT_2,0.3343265259764148,0.23876123876123875,1.0,0.15486697196385585,0.6273726273726273,1.0,-0.4390119584597609,0.14685314685314685,1.0,-0.18958387051548828,0.5984015984015985,1.0,0.314523141897024,0.27472527472527475,1.0,0.316747989101191,0.2787212787212787,1.0
L2/3 IT_3,-0.2864994252199485,0.2867132867132867,1.0,-0.3903255244611737,0.11788211788211789,1.0,0.5076559934250287,0.007992007992007992,1.0,-0.04965974396255722,0.8921078921078921,1.0,-0.3119118772386742,0.24775224775224775,1.0,-0.12668320899875374,0.6803196803196803,1.0
L2/3 IT_4,-0.16008580182647597,0.6363636363636364,1.0,0.2132807714242612,0.4885114885114885,1.0,0.10632285853766212,0.7652347652347652,1.0,0.4360522121336685,0.12787212787212787,1.0,0.008006321502407947,0.9760239760239761,1.0,-0.27593213778147124,0.3756243756243756,1.0
L2/3 IT_5,0.3375248648671135,0.3116883116883117,1.0,-0.008849539286067883,0.986013986013986,1.0,-0.4332152120411273,0.23276723276723277,1.0,-0.4064084827553811,0.22477522477522477,1.0,0.20568723640624012,0.5774225774225774,1.0,0.3758359524223967,0.22977022977022976,1.0
L2/3 IT_6,-0.43930378134880466,0.2547452547452547,1.0,-0.655066932277863,0.026973026973026972,1.0,0.7191693535249307,0.01898101898101898,1.0,-0.1833860828705615,0.7262737262737263,1.0,-0.5609192256538837,0.08791208791208792,1.0,-0.23533810965335106,0.6053946053946054,1.0
L2/3 IT_7,-0.26480424041923173,0.5194805194805194,1.0,-0.3953381937911558,0.30569430569430567,1.0,0.5790218180455767,0.1108891108891109,1.0,-0.2749915568597972,0.5584415584415584,1.0,-0.5228328767399277,0.11788211788211789,1.0,-0.18165741935176208,0.6803196803196803,1.0
L2/3 IT_8,0.4303782407613743,0.23676323676323677,1.0,0.10925328139541786,0.7822177822177823,1.0,-0.5556294844068114,0.15184815184815184,1.0,-0.35794767708587,0.41858141858141856,1.0,0.34458777840987315,0.3806193806193806,1.0,0.4368159454562947,0.22977022977022976,1.0
L4 IT_1,0.5412025505332677,0.13886113886113885,1.0,0.5035409667552492,0.18081918081918083,1.0,-0.743042836477258,0.00999000999000999,1.0,0.04080455300727681,0.9440559440559441,1.0,0.6339368646419965,0.06593406593406594,1.0,0.44724762811115565,0.2827172827172827,1.0
L4 IT_2,-0.11334885432141524,0.8361638361638362,1.0,-0.6819001751013155,0.04995004995004995,1.0,0.46858391713035374,0.45354645354645357,1.0,-0.6911102164535324,0.14085914085914086,1.0,-0.4459363344467361,0.3876123876123876,1.0,0.18564765751159684,0.7352647352647352,1.0
L4 IT_3,-0.288134697927842,0.17282717282717283,1.0,-0.383351428947788,0.08291708291708291,1.0,0.4422933095579455,0.005994005994005994,1.0,-0.14630553967904844,0.5614385614385614,1.0,-0.37134994985961706,0.061938061938061936,1.0,-0.2940617294108925,0.12287712287712288,1.0
L5 ET_1,0.06477211517185115,0.9050949050949051,1.0,0.6840877946987586,0.04595404595404595,1.0,-0.45653024553292854,0.44455544455544455,1.0,0.6834007616546263,0.14085914085914086,1.0,0.4022114604079812,0.43356643356643354,1.0,-0.23438551976657593,0.6673326673326674,1.0
L5 IT_1,-0.4281703944091254,0.08791208791208792,1.0,-0.47358117820992435,0.07492507492507493,1.0,0.4892075620083619,0.06993006993006994,1.0,-0.007210527118441806,0.984015984015984,1.0,-0.3519503830766384,0.20279720279720279,1.0,-0.2269757914903744,0.45554445554445555,1.0
L5 IT_2,0.2481606798626867,0.4045954045954046,1.0,0.2640787949320766,0.3776223776223776,1.0,-0.45567514216251626,0.1048951048951049,1.0,-0.06124252148260689,0.8551448551448552,1.0,0.27464289564289274,0.33966033966033965,1.0,0.19458836892389542,0.5364635364635365,1.0
L5 IT_3,-0.18602401103306312,0.6733266733266733,1.0,-0.5737575203146781,0.023976023976023976,1.0,0.4566810293162796,0.33166833166833165,1.0,-0.4682533788434976,0.2957042957042957,1.0,-0.3926808550920001,0.34065934065934067,1.0,0.04955491974214539,0.9230769230769231,1.0
L5 IT_4,-0.2876248507218764,0.5184815184815185,1.0,-0.5682898441103709,0.03996003996003996,1.0,0.5724573739453085,0.16983016983016982,1.0,-0.3426747133860071,0.5004995004995005,1.0,-0.4347035834117597,0.2777222777222777,1.0,-0.027416773852243604,0.961038961038961,1.0
L5 IT_5,0.10153918763020095,0.8051948051948052,1.0,0.5102273161680788,0.13586413586413587,1.0,-0.42671972036977834,0.34665334665334663,1.0,0.341049834065515,0.46653346653346656,1.0,0.30747963962593067,0.45254745254745254,1.0,-0.11271103988418589,0.7912087912087912,1.0
L5/6 NP_1,-0.2199736499424462,0.3726273726273726,1.0,-0.41108153770246325,0.06293706293706294,1.0,0.21760765650944985,0.4385614385614386,1.0,-0.2367245117025598,0.3936063936063936,1.0,-0.21559359789198004,0.3156843156843157,1.0,-0.18361477552097233,0.5034965034965035,1.0
L5/6 NP_2,-0.16621316018256427,0.5594405594405595,1.0,-0.22793298636947718,0.3996003996003996,1.0,0.07581873399466371,0.8241758241758241,1.0,-0.15225688877760754,0.6533466533466533,1.0,-0.12691598215564348,0.6423576423576424,1.0,-0.20450577982043758,0.5134865134865135,1.0
L6 CT_1,-0.07720679221208548,0.7342657342657343,1.0,0.11529690972293448,0.6203796203796204,1.0,0.03307689881639252,0.9070929070929071,1.0,0.19960288277671848,0.46553446553446554,1.0,0.017027740744728806,0.9430569430569431,1.0,-0.25915651256776945,0.2547452547452547,1.0
L6 CT_2,0.4313746598600297,0.24975024975024976,1.0,0.5102075730621989,0.12487512487512488,1.0,-0.6916774339173755,0.026973026973026972,1.0,0.08856868033234437,0.8661338661338661,1.0,0.5163247718325031,0.13186813186813187,1.0,0.25724180931309915,0.5524475524475524,1.0
L6 IT Car3_1,0.23245347282320827,0.5114885114885115,1.0,-0.0991764920316092,0.7632367632367633,1.0,-0.11393542405397478,0.7862137862137862,1.0,-0.2145255597865882,0.6003996003996004,1.0,0.10484659358117239,0.7852147852147852,1.0,0.3461052334802339,0.26373626373626374,1.0
L6 IT_1,0.20469885016103886,0.5694305694305695,1.0,0.022081342688527628,0.9440559440559441,1.0,-0.3209311820124691,0.34865134865134867,1.0,-0.2893947146064903,0.4065934065934066,1.0,0.1167979086231173,0.7502497502497503,1.0,0.14343177576786542,0.6943056943056943,1.0
L6 IT_2,-0.3343300843907007,0.43356643356643354,1.0,0.1654998826086097,0.6973026973026973,1.0,0.23574916663365703,0.6563436563436563,1.0,0.5495744876882712,0.14085914085914086,1.0,-0.06188002973011442,0.8771228771228772,1.0,-0.4579508186811686,0.23576423576423577,1.0
