feature,model_r_sq,model_pval,model_pval_adj
22q,0.8273523653453911,0.026973026973026972,0.2967032967032967
adhd,0.8559137007141522,0.07092907092907093,0.3716283716283716
asd,0.9287226702466554,0.003996003996003996,0.05194805194805195
epilepsy_gge,0.5291057344734698,0.47652347652347654,0.9530469530469531
epilepsy_rtle,0.8391212848309803,0.1938061938061938,0.5814185814185814
epilepsy_ltle,0.7958291668077246,0.061938061938061936,0.3716283716283716
depression,0.7635085166466751,0.03396603396603397,0.3096903096903097
ocd,0.7435484740292438,0.030969030969030968,0.3096903096903097
schizophrenia,0.8002753807408853,0.05194805194805195,0.36363636363636365
bipolar,0.7873472460272457,0.03696303696303696,0.3096903096903097
obesity,0.79120962693146,0.06393606393606394,0.3716283716283716
schizotypy,0.5338628467848807,0.5954045954045954,0.9530469530469531
parkinson,0.8675760073037447,0.008991008991008992,0.1078921078921079
