feature,model_r_sq,model_pval,model_pval_adj
22q,0.8738296195896753,0.012987012987012988,0.16883116883116883
adhd,0.8910934110960861,0.027972027972027972,0.3356643356643357
asd,0.9073555124677937,0.04095904095904096,0.4095904095904096
epilepsy_gge,0.5943569122880976,0.42857142857142855,1.0
epilepsy_rtle,0.8477470017548095,0.2037962037962038,1.0
epilepsy_ltle,0.8518627810933377,0.029970029970029972,0.3356643356643357
depression,0.654468112504961,0.2937062937062937,1.0
ocd,0.6434028804239598,0.2827172827172827,1.0
schizophrenia,0.7866405267887402,0.0919080919080919,0.7352647352647352
bipolar,0.7192113854002284,0.23376623376623376,1.0
obesity,0.7779886909690921,0.15084915084915085,0.9050949050949051
schizotypy,0.749052346738188,0.056943056943056944,0.5124875124875125
parkinson,0.8221972949947234,0.1108891108891109,0.7762237762237763
