ctype,mean_abs_shap,relative_contribution,class
Chandelier,0.0054567508254875045,0.07824369771441046,Inhibitory
L6 CT,0.004452065400312951,0.06383763351623284,Excitatory
L5/6 NP,0.004248065711236545,0.06091250636339056,Excitatory
Pax6,0.004187754513913053,0.06004771131536821,Inhibitory
Lamp5_Lhx6,0.004073483524345347,0.0584091932574242,Inhibitory
Pvalb,0.0036527371360362765,0.052376161097055444,Inhibitory
L5 IT,0.0035449967067916806,0.05083128396283485,Excitatory
Sst,0.003525072284446598,0.05054559005285801,Inhibitory
L4 IT,0.0034344071755376265,0.049245553895520024,Excitatory
Oligo,0.0034242485609670046,0.049099890735687185,Non-neuron
L6 IT,0.0032580823618709107,0.046717253472556196,Excitatory
L5 ET,0.0032135373809207197,0.04607852831620832,Excitatory
Vip,0.0030634126241585375,0.04392590737689685,Inhibitory
Micro-PVM,0.002839655813696137,0.04071748522252871,Non-neuron
Sncg,0.002744591986660773,0.039354376371857396,Inhibitory
L6b,0.002405319355809265,0.03448958667922074,Excitatory
Astro,0.0023257096149456916,0.033348072122580626,Non-neuron
L6 IT Car3,0.002275830947090844,0.03263286786736644,Excitatory
OPC,0.0022696984512947825,0.03254493474330647,Non-neuron
Lamp5,0.0021378289251155667,0.03065407337285214,Inhibitory
Endo,0.0013956166076703983,0.020011579686895067,Non-neuron
L2/3 IT,0.0009894911541134756,0.014188195361957198,Excitatory
VLMC,0.0008220946913367721,0.011787917494991959,Non-neuron
