layer,layer_label,ctype,class,mean_abs_shap,mean_signed_shap,relative_contribution,n_roi,rank
l1,Layer I,Sncg,Inhibitory,0.004724279421450246,0.0001275583481469751,0.41222664754801747,105,1
l1,Layer I,Micro-PVM,Non-neuron,0.0013233466644620938,-0.00012646966718056076,0.11547131538371165,105,2
l1,Layer I,Pax6,Inhibitory,0.0013079722118639803,-0.00021281957498551363,0.11412978612876747,105,3
l1,Layer I,Lamp5,Inhibitory,0.0009739032315981344,0.0001482160663496041,0.0849799151115066,105,4
l1,Layer I,VLMC,Non-neuron,0.0009635984701420293,-4.658937251832946e-05,0.08408075210909295,105,5
l1,Layer I,OPC,Non-neuron,0.0008080493398163552,-3.558003411701994e-05,0.07050799512269978,105,6
l1,Layer I,Endo,Non-neuron,0.0007323286022333482,-3.25787279170346e-05,0.06390082754874538,105,7
l1,Layer I,Astro,Non-neuron,0.0006269151444968531,2.299756710592635e-05,0.05470276104745859,105,8
l2,Layer II,Pax6,Inhibitory,0.003907281302941028,5.0066363754314963e-05,0.19907611515989615,105,1
l2,Layer II,Vip,Inhibitory,0.0026408585552704137,-3.034156587133709e-05,0.13455183313120794,105,2
l2,Layer II,Sst,Inhibitory,0.002602116606146766,2.3375084826220493e-05,0.1325779295068508,105,3
l2,Layer II,Lamp5_Lhx6,Inhibitory,0.0025518310464857385,4.185022927416644e-05,0.13001587853334565,105,4
l2,Layer II,Pvalb,Inhibitory,0.0018424368174500432,-5.4768811040723555e-05,0.09387221845773853,105,5
l2,Layer II,Lamp5,Inhibitory,0.0013039088296080128,4.8212811295630074e-05,0.0664341991772298,105,6
l2,Layer II,L2/3 IT,Excitatory,0.0011275208033882994,4.86129646870764e-05,0.05744722324741601,105,7
l2,Layer II,Chandelier,Inhibitory,0.001110849831726358,6.556514567686211e-05,0.05659783667473645,105,8
l2,Layer II,Astro,Non-neuron,0.0007999724809932224,4.2868082203534476e-05,0.0407586250908227,105,9
l2,Layer II,OPC,Non-neuron,0.000597093846749363,-0.00023969002784178213,0.03042195178198964,105,10
l2,Layer II,Sncg,Inhibitory,0.00040700787525132256,0.00011082433601410952,0.020737065074769166,105,11
l2,Layer II,Endo,Non-neuron,0.00037409322980643835,6.4186676924510495e-06,0.019060062770865218,105,12
l2,Layer II,Micro-PVM,Non-neuron,0.000362101061597957,5.164638043315867e-05,0.018449061393131932,105,13
l3,Layer III,Pvalb,Inhibitory,0.005384283663660568,0.00039243562193970764,0.08819009282493719,105,1
l3,Layer III,Pax6,Inhibitory,0.004759006348560986,-0.00020821290909861945,0.07794856992150423,105,2
l3,Layer III,L6 IT Car3,Excitatory,0.004081057878090499,-1.0444284540964694e-06,0.066844337255451,105,3
l3,Layer III,Sncg,Inhibitory,0.003995518322175179,-0.00024057935128121073,0.06544327040095187,105,4
l3,Layer III,Sst,Inhibitory,0.003952852681542653,-0.00011807395443379108,0.06474444265656445,105,5
l3,Layer III,L6 IT,Excitatory,0.0038989351463546307,-2.5303364788842015e-05,0.06386131822810692,105,6
l3,Layer III,L6b,Excitatory,0.0038892232931826303,-3.402063418284563e-05,0.0637022461423397,105,7
l3,Layer III,L5 ET,Excitatory,0.0038459011415241428,-0.000268359783133209,0.06299266529281577,105,8
l3,Layer III,L4 IT,Excitatory,0.0034636831005631593,-8.284939625847367e-05,0.056732251351549155,105,9
l3,Layer III,L6 CT,Excitatory,0.0033358916525042578,0.00012492271470730272,0.054639133609144463,105,10
