branch,layer,ctype,correlation,p_value,reject_H0,p_adjusted
within_layer__clr_false__thickness_absolute,l1,Astro,0.09599795317762119,0.6773226773226774,False,0.8071318924977462
within_layer__clr_false__thickness_absolute,l1,Endo,0.1972635526253474,0.5694305694305695,False,0.7464157464157465
within_layer__clr_false__thickness_absolute,l1,Lamp5,0.26379012840822375,0.6283716283716284,False,0.7619005994005995
within_layer__clr_false__thickness_absolute,l1,Micro-PVM,0.5310684343178046,0.1958041958041958,False,0.41235360384296554
within_layer__clr_false__thickness_absolute,l1,OPC,0.28676330392681976,0.4695304695304695,False,0.6726214961509079
within_layer__clr_false__thickness_absolute,l1,Pax6,0.15874122373084543,0.34265734265734266,False,0.5715640291911479
within_layer__clr_false__thickness_absolute,l1,Sncg,0.3569530212317264,0.4695304695304695,False,0.6726214961509079
within_layer__clr_false__thickness_absolute,l1,VLMC,-0.1411417888201071,0.6213786213786214,False,0.7619005994005995
within_layer__clr_false__thickness_absolute,l2,Astro,0.36319932484027473,0.2907092907092907,False,0.5375379337643489
within_layer__clr_false__thickness_absolute,l2,Chandelier,0.09205971573629167,0.8221778221778222,False,0.904791837376107
within_layer__clr_false__thickness_absolute,l2,Endo,0.13493364038577751,0.6023976023976024,False,0.7588645121112655
within_layer__clr_false__thickness_absolute,l2,L2/3 IT,-0.34811172489293835,0.1998001998001998,False,0.41235360384296554
within_layer__clr_false__thickness_absolute,l2,Lamp5,0.5534719225738667,0.02197802197802198,False,0.1392982017982018
within_layer__clr_false__thickness_absolute,l2,Lamp5_Lhx6,0.20977640994261554,0.5634365634365635,False,0.7464157464157465
within_layer__clr_false__thickness_absolute,l2,Micro-PVM,0.38641817636846276,0.23176823176823177,False,0.45880649962282616
within_layer__clr_false__thickness_absolute,l2,OPC,0.34785052698128444,0.26573426573426573,False,0.5155244755244756
within_layer__clr_false__thickness_absolute,l2,Pax6,0.6369452315364534,0.002997002997002997,False,0.05814185814185815
within_layer__clr_false__thickness_absolute,l2,Pvalb,-0.08351399019684089,0.8501498501498501,False,0.9162726162726162
within_layer__clr_false__thickness_absolute,l2,Sncg,0.6365101608583222,0.005994005994005994,False,0.08305979734551164
within_layer__clr_false__thickness_absolute,l2,Sst,0.19735992561645707,0.37362637362637363,False,0.5906474477903049
within_layer__clr_false__thickness_absolute,l2,Vip,0.4617449183198365,0.0939060939060939,False,0.3036297036297036
within_layer__clr_false__thickness_absolute,l3,Astro,0.36064723639264334,0.15084915084915085,False,0.3850623061149377
within_layer__clr_false__thickness_absolute,l3,Chandelier,0.23657474622273544,0.4155844155844156,False,0.6298701298701299
within_layer__clr_false__thickness_absolute,l3,Endo,0.25783102214823783,0.1888111888111888,False,0.41235360384296554
within_layer__clr_false__thickness_absolute,l3,L2/3 IT,0.12927890663156452,0.7322677322677322,False,0.8455948813091669
within_layer__clr_false__thickness_absolute,l3,L4 IT,-0.45297071131122985,0.04495504495504495,False,0.22950733477049265
within_layer__clr_false__thickness_absolute,l3,L5 ET,-0.07501284092911062,0.8301698301698301,False,0.904791837376107
within_layer__clr_false__thickness_absolute,l3,L5 IT,-0.2043031975397684,0.5314685314685315,False,0.7260908105978529
within_layer__clr_false__thickness_absolute,l3,L5/6 NP,-0.26156358143997754,0.3836163836163836,False,0.5906474477903049
within_layer__clr_false__thickness_absolute,l3,L6 CT,-0.3226473461090382,0.16083916083916083,False,0.4000358615743231
