layer,layer_label,ctype,mean_abs_shap,n_roi
l1,Layer I,Astro,0.0005913653932384409,105
l1,Layer I,Endo,0.0009661737539838951,105
l1,Layer I,Lamp5,0.0008662332084745173,105
l1,Layer I,Micro-PVM,0.0011654154907714503,105
l1,Layer I,OPC,0.0008184592664759492,105
l1,Layer I,Pax6,0.0012054575556479864,105
l1,Layer I,Sncg,0.0045927565081068135,105
l1,Layer I,VLMC,0.0008220946913367721,105
l2,Layer II,Astro,0.0007966825186145864,105
l2,Layer II,Chandelier,0.0011008096365760945,105
l2,Layer II,Endo,0.0003464904418006235,105
l2,Layer II,L2/3 IT,0.0011327160125761341,105
l2,Layer II,Lamp5,0.0013046553987789158,105
l2,Layer II,Lamp5_Lhx6,0.0025489136953773025,105
l2,Layer II,Micro-PVM,0.0003446544819107998,105
l2,Layer II,OPC,0.0006036594319477084,105
l2,Layer II,Pax6,0.0038879944293942724,105
l2,Layer II,Pvalb,0.0018583447963897287,105
l2,Layer II,Sncg,0.0004052946959501746,105
l2,Layer II,Sst,0.0026118859840078934,105
l2,Layer II,Vip,0.0026519535441981517,105
l3,Layer III,Astro,0.0010476719569213577,105
l3,Layer III,Chandelier,0.002420942997645943,105
l3,Layer III,Endo,0.0009681042081930787,105
l3,Layer III,L2/3 IT,0.0009417681139029636,105
l3,Layer III,L4 IT,0.0034987962432429516,105
l3,Layer III,L5 ET,0.00355725927279011,105
l3,Layer III,L5 IT,0.002520041577617077,105
l3,Layer III,L5/6 NP,0.002911243674061547,105
l3,Layer III,L6 CT,0.0031976420055735695,105
l3,Layer III,L6 IT,0.0037477357592548464,105
l3,Layer III,L6 IT Car3,0.003950538928292124,105
l3,Layer III,L6b,0.0036526420505965766,105
l3,Layer III,Lamp5,0.000610195068657378,105
l3,Layer III,Lamp5_Lhx6,0.0023439566041825945,105
l3,Layer III,Micro-PVM,0.0010093014683751262,105
l3,Layer III,OPC,0.0008510067100914129,105
l3,Layer III,Oligo,0.002543481514594988,105
l3,Layer III,Pax6,0.004507932709583597,105
l3,Layer III,Pvalb,0.00526499883472055,105
l3,Layer III,Sncg,0.0036205773987071166,105
l3,Layer III,Sst,0.0036878439774792886,105
l3,Layer III,Vip,0.0017401294799996628,105
l4,Layer IV,Astro,0.002461913496886184,105
l4,Layer IV,Chandelier,0.007043640846806651,105
l4,Layer IV,Endo,0.0005471628454064945,105
l4,Layer IV,L2/3 IT,0.0008939893358613293,105
l4,Layer IV,L4 IT,0.003203005676859832,105
l4,Layer IV,L5 ET,0.00376927726795784,105
l4,Layer IV,L5 IT,0.004106956607022767,105
l4,Layer IV,L5/6 NP,0.0032342621638900126,105
l4,Layer IV,Lamp5,0.0027187290396757068,105
l4,Layer IV,Lamp5_Lhx6,0.003790226546846901,105
l4,Layer IV,Micro-PVM,0.006043717477596427,105
l4,Layer IV,OPC,0.004820324324659822,105
l4,Layer IV,Oligo,0.009268589750712364,105
l4,Layer IV,Pax6,0.0071496333610263545,105
l4,Layer IV,Pvalb,0.0006102591965588202,105
l4,Layer IV,Sncg,0.002359739343878987,105
l4,Layer IV,Sst,0.002834480468023011,105
l4,Layer IV,Vip,0.004815733480778533,105
l5,Layer V,Astro,0.0017408875335705241,105
l5,Layer V,Chandelier,0.014168686352064476,105
l5,Layer V,Endo,0.0029704450824219433,105
l5,Layer V,L4 IT,0.003601419606510095,105
l5,Layer V,L5 ET,0.0015210467972230361,105
l5,Layer V,L5 IT,0.002513642397566804,105
l5,Layer V,L5/6 NP,0.006824395492000808,105
l5,Layer V,L6 CT,0.007113573239705897,105
l5,Layer V,L6 IT,0.00487416465464903,105
l5,Layer V,L6 IT Car3,0.0010038259027783485,105
l5,Layer V,L6b,0.0016161635675573732,105
l5,Layer V,Lamp5,0.002049438959680457,105
l5,Layer V,Lamp5_Lhx6,0.005848328897179512,105
l5,Layer V,Micro-PVM,0.0011937814401216012,105
l5,Layer V,OPC,0.005042904055893016,105
l5,Layer V,Oligo,0.0008793945175614722,105
l5,Layer V,Pvalb,0.008496165961858043,105
l5,Layer V,Sst,0.006372946634341818,105
l5,Layer V,Vip,0.0030458339916578023,105
l6,Layer VI,Astro,0.007315736790443057,105
l6,Layer VI,Chandelier,0.002549674294344357,105
l6,Layer VI,Endo,0.0025753233142163543,105
l6,Layer VI,L5 ET,0.0040065661857118925,105
l6,Layer VI,L5 IT,0.005039346244960075,105
l6,Layer VI,L5/6 NP,0.0040223615149938136,105
l6,Layer VI,L6 CT,0.0030449809556593855,105
l6,Layer VI,L6 IT,0.0011523466717088563,105
l6,Layer VI,L6 IT Car3,0.0018731280102020605,105
l6,Layer VI,L6b,0.0019471524492738446,105
l6,Layer VI,Lamp5,0.005277721875426427,105
l6,Layer VI,Lamp5_Lhx6,0.0058359918781404245,105
l6,Layer VI,Micro-PVM,0.007281064523401419,105
l6,Layer VI,OPC,0.0014818369187007852,105
l6,Layer VI,Oligo,0.0010055284609991938,105
l6,Layer VI,Pvalb,0.0020339168906542407,105
l6,Layer VI,Sst,0.00211820435838098,105
