branch,class,relative_contribution,n_ctype
within_layer__clr_false__thickness_absolute,Excitatory,0.3821632105297403,9
within_layer__clr_false__thickness_absolute,Inhibitory,0.4096002830907338,8
within_layer__clr_false__thickness_absolute,Non-neuron,0.20823650637952612,6
within_layer__clr_true__thickness_absolute,Excitatory,0.4639645210986389,9
within_layer__clr_true__thickness_absolute,Inhibitory,0.37299523990385736,8
within_layer__clr_true__thickness_absolute,Non-neuron,0.16304023899750372,6
within_layer__clr_false__thickness_relative,Excitatory,0.44483138681685075,9
within_layer__clr_false__thickness_relative,Inhibitory,0.35977896776805574,8
within_layer__clr_false__thickness_relative,Non-neuron,0.19538964541509357,6
within_layer__clr_true__thickness_relative,Excitatory,0.4127720574983504,9
within_layer__clr_true__thickness_relative,Inhibitory,0.4027161887447317,8
within_layer__clr_true__thickness_relative,Non-neuron,0.18451175375691803,6
within_region_cross_layer__clr_false__thickness_absolute,Excitatory,0.4287965567036066,9
within_region_cross_layer__clr_false__thickness_absolute,Inhibitory,0.385526378217796,8
within_region_cross_layer__clr_false__thickness_absolute,Non-neuron,0.1856770650785974,6
within_region_cross_layer__clr_true__thickness_absolute,Excitatory,0.509529833598146,9
within_region_cross_layer__clr_true__thickness_absolute,Inhibitory,0.3355048263041809,8
within_region_cross_layer__clr_true__thickness_absolute,Non-neuron,0.15496534009767324,6
within_region_cross_layer__clr_false__thickness_relative,Excitatory,0.39893340943528716,9
within_region_cross_layer__clr_false__thickness_relative,Inhibitory,0.41355671055872273,8
within_region_cross_layer__clr_false__thickness_relative,Non-neuron,0.18750988000599,6
within_region_cross_layer__clr_true__thickness_relative,Excitatory,0.4019964545200477,9
within_region_cross_layer__clr_true__thickness_relative,Inhibitory,0.4183558257049963,8
within_region_cross_layer__clr_true__thickness_relative,Non-neuron,0.17964771977495606,6
