branch,ctype,mean_abs_shap,relative_contribution,class
within_layer__clr_false__thickness_absolute,Pvalb,0.02430465354003488,0.07741428256168163,Inhibitory
within_layer__clr_false__thickness_absolute,Chandelier,0.023966174081059333,0.076336170321353,Inhibitory
within_layer__clr_false__thickness_absolute,L5/6 NP,0.023141454472947402,0.07370930396132157,Excitatory
within_layer__clr_false__thickness_absolute,Oligo,0.02154381360823543,0.06862055743263007,Non-neuron
within_layer__clr_false__thickness_absolute,L6b,0.020485385418882052,0.06524929115282554,Excitatory
within_layer__clr_false__thickness_absolute,Lamp5_Lhx6,0.017985756436603332,0.05728756546869897,Inhibitory
within_layer__clr_false__thickness_absolute,L5 IT,0.015473022937203092,0.04928409976183936,Excitatory
within_layer__clr_false__thickness_absolute,L5 ET,0.01495450640899874,0.047632540114581116,Excitatory
within_layer__clr_false__thickness_absolute,Pax6,0.014786140113579656,0.04709626602427298,Inhibitory
within_layer__clr_false__thickness_absolute,Sncg,0.01475884006573694,0.04700931092268463,Inhibitory
within_layer__clr_false__thickness_absolute,Lamp5,0.014319546451498777,0.04561008916771668,Inhibitory
within_layer__clr_false__thickness_absolute,Micro-PVM,0.013964268357301418,0.04447847053645885,Non-neuron
within_layer__clr_false__thickness_absolute,L6 IT,0.013825068264760246,0.044035095555661694,Excitatory
within_layer__clr_false__thickness_absolute,Vip,0.013488206416081795,0.0429621356677584,Inhibitory
within_layer__clr_false__thickness_absolute,L6 CT,0.012980481364905963,0.04134494863357065,Excitatory
within_layer__clr_false__thickness_absolute,Astro,0.011965332032995811,0.03811153256806922,Non-neuron
within_layer__clr_false__thickness_absolute,OPC,0.010656934654963488,0.03394407368374018,Non-neuron
within_layer__clr_false__thickness_absolute,L2/3 IT,0.008356726715851545,0.02661753652262746,Excitatory
within_layer__clr_false__thickness_absolute,Endo,0.006019604675652396,0.019173421933497994,Non-neuron
within_layer__clr_false__thickness_absolute,L4 IT,0.0059915122095921735,0.01908394285074299,Excitatory
within_layer__clr_false__thickness_absolute,Sst,0.004987017331346897,0.015884462956567535,Inhibitory
within_layer__clr_false__thickness_absolute,L6 IT Car3,0.0047741519346799245,0.015206451976569927,Excitatory
within_layer__clr_false__thickness_absolute,VLMC,0.0012270801389209114,0.003908450225129794,Non-neuron
within_layer__clr_true__thickness_absolute,L5/6 NP,0.0290150701956167,0.10035464391146194,Excitatory
within_layer__clr_true__thickness_absolute,L6b,0.02409291187525013,0.08333033750151746,Excitatory
within_layer__clr_true__thickness_absolute,Pvalb,0.021719381801088938,0.07512099098607886,Inhibitory
within_layer__clr_true__thickness_absolute,Sncg,0.018783340391034874,0.06496608223594272,Inhibitory
within_layer__clr_true__thickness_absolute,Chandelier,0.015445776993365948,0.05342242633413506,Inhibitory
within_layer__clr_true__thickness_absolute,L6 CT,0.014179337436821175,0.0490421822101129,Excitatory
within_layer__clr_true__thickness_absolute,Oligo,0.014093154579203829,0.048744100905151334,Non-neuron
within_layer__clr_true__thickness_absolute,L5 IT,0.014087018304117717,0.04872287732385176,Excitatory
within_layer__clr_true__thickness_absolute,L6 IT,0.013799184895931257,0.04772734572631875,Excitatory
within_layer__clr_true__thickness_absolute,Lamp5,0.013114082263718145,0.04535777604287409,Inhibitory
within_layer__clr_true__thickness_absolute,L4 IT,0.012778156829239556,0.04419590818832054,Excitatory
within_layer__clr_true__thickness_absolute,L5 ET,0.012049607850336994,0.041676070295222106,Excitatory
within_layer__clr_true__thickness_absolute,Lamp5_Lhx6,0.011438745678356422,0.03956327665609614,Inhibitory
within_layer__clr_true__thickness_absolute,Endo,0.010339314179668374,0.03576066457168519,Non-neuron
within_layer__clr_true__thickness_absolute,Micro-PVM,0.010098845406077766,0.03492895339598184,Non-neuron
within_layer__clr_true__thickness_absolute,Pax6,0.009403667654391872,0.032524536820207096,Inhibitory
within_layer__clr_true__thickness_absolute,Vip,0.00910949353338445,0.03150707455102648,Inhibitory
within_layer__clr_true__thickness_absolute,Sst,0.0088278859547476,0.0305330762774969,Inhibitory
within_layer__clr_true__thickness_absolute,L6 IT Car3,0.008603556361433397,0.029757185807335267,Excitatory
within_layer__clr_true__thickness_absolute,Astro,0.006273396001795821,0.021697842453295764,Non-neuron
within_layer__clr_true__thickness_absolute,L2/3 IT,0.005539054562820326,0.019157970134498156,Excitatory
within_layer__clr_true__thickness_absolute,OPC,0.005397062415319925,0.018666860814253287,Non-neuron
within_layer__clr_true__thickness_absolute,VLMC,0.0009372913898646227,0.003241816857136307,Non-neuron
within_layer__clr_false__thickness_relative,L5 IT,0.012519966348323622,0.10036078241769784,Excitatory
within_layer__clr_false__thickness_relative,Oligo,0.009553478248463483,0.07658124032854384,Non-neuron
within_layer__clr_false__thickness_relative,L5/6 NP,0.009446922240925302,0.07572708114070627,Excitatory
within_layer__clr_false__thickness_relative,L5 ET,0.009249761568071736,0.07414662965712596,Excitatory
within_layer__clr_false__thickness_relative,Pvalb,0.007868578349422005,0.06307498420462507,Inhibitory
within_layer__clr_false__thickness_relative,Sncg,0.007571956467520607,0.06069724585281071,Inhibitory
within_layer__clr_false__thickness_relative,Lamp5_Lhx6,0.0070062623614814395,0.056162608816923414,Inhibitory
within_layer__clr_false__thickness_relative,Lamp5,0.0061110729530591545,0.048986718168197656,Inhibitory
within_layer__clr_false__thickness_relative,L6b,0.0060089298986499935,0.04816793347071247,Excitatory
within_layer__clr_false__thickness_relative,L4 IT,0.005576846139691634,0.04470432479057834,Excitatory
within_layer__clr_false__thickness_relative,L2/3 IT,0.0050954473772467325,0.040845404158547184,Excitatory
within_layer__clr_false__thickness_relative,Chandelier,0.004992282776876232,0.04001843068889574,Inhibitory
within_layer__clr_false__thickness_relative,Vip,0.004933089297942026,0.03954393230011549,Inhibitory
within_layer__clr_false__thickness_relative,Astro,0.004222971309265435,0.03385158497507599,Non-neuron
within_layer__clr_false__thickness_relative,OPC,0.00416894442923871,0.0334185023452816,Non-neuron
within_layer__clr_false__thickness_relative,Pax6,0.00394926989325901,0.031657578418268065,Inhibitory
within_layer__clr_false__thickness_relative,L6 IT,0.003434119978971958,0.02752810657929774,Excitatory
within_layer__clr_false__thickness_relative,Micro-PVM,0.0026600055790014965,0.021322760278806707,Non-neuron
within_layer__clr_false__thickness_relative,Sst,0.002449766224490809,0.01963746931821962,Inhibitory
within_layer__clr_false__thickness_relative,L6 CT,0.0021486075833147033,0.017223364038748825,Excitatory
within_layer__clr_false__thickness_relative,L6 IT Car3,0.00201193150017167,0.016127760563436146,Excitatory
within_layer__clr_false__thickness_relative,Endo,0.0019229200099674841,0.015414239252553913,Non-neuron
within_layer__clr_false__thickness_relative,VLMC,0.0018464583649782421,0.014801318234831525,Non-neuron
within_layer__clr_true__thickness_relative,L5/6 NP,0.007196835445896734,0.09307328254637538,Excitatory
within_layer__clr_true__thickness_relative,Sncg,0.006463319738831873,0.08358706945048243,Inhibitory
within_layer__clr_true__thickness_relative,L6b,0.005760868801372817,0.07450260238595215,Excitatory
within_layer__clr_true__thickness_relative,Pvalb,0.005308139942009987,0.06864767331870507,Inhibitory
within_layer__clr_true__thickness_relative,L5 ET,0.0045457473673240385,0.058788009297143944,Excitatory
within_layer__clr_true__thickness_relative,Lamp5_Lhx6,0.00364472423408956,0.04713550156776875,Inhibitory
within_layer__clr_true__thickness_relative,L4 IT,0.0036054008556792813,0.04662695083919198,Excitatory
within_layer__clr_true__thickness_relative,Oligo,0.00347747133050673,0.04497249855500127,Non-neuron
within_layer__clr_true__thickness_relative,Pax6,0.0033728366568423897,0.04361930761165944,Inhibitory
within_layer__clr_true__thickness_relative,Vip,0.0033282348120396866,0.04304249296380218,Inhibitory
within_layer__clr_true__thickness_relative,Sst,0.003194289849539947,0.04131024586240294,Inhibitory
within_layer__clr_true__thickness_relative,L6 IT,0.0031771604907957552,0.041088719935039215,Excitatory
