branch,normalization,clr,thickness_relative,layer,layer_label,n_roi,n_features,oof_r2,oof_pearson_r,median_alpha
within_layer__clr_false__thickness_absolute,within_layer,False,False,l1,Layer I,105,8,0.28024132837275295,0.5295038694059668,17.78279410038923
within_layer__clr_false__thickness_absolute,within_layer,False,False,l2,Layer II,105,13,0.6578973725360793,0.8117173960731998,1.0
within_layer__clr_false__thickness_absolute,within_layer,False,False,l3,Layer III,105,22,0.6051672478931621,0.7858662449564217,0.31622776601683794
within_layer__clr_false__thickness_absolute,within_layer,False,False,l4,Layer IV,105,18,0.6133990235384131,0.7838485084916769,1.7782794100389228
within_layer__clr_false__thickness_absolute,within_layer,False,False,l5,Layer V,105,19,0.7322309690956035,0.8570969761889795,0.5623413251903491
within_layer__clr_false__thickness_absolute,within_layer,False,False,l6,Layer VI,105,17,0.8162628087405726,0.9042572919606959,0.5623413251903491
within_layer__clr_true__thickness_absolute,within_layer,True,False,l1,Layer I,105,8,0.3604674750055371,0.6005389688282607,10.0
within_layer__clr_true__thickness_absolute,within_layer,True,False,l2,Layer II,105,13,0.626904313159344,0.7924377865514155,3.162277660168379
within_layer__clr_true__thickness_absolute,within_layer,True,False,l3,Layer III,105,22,0.6887870118611641,0.8325331917732699,0.1778279410038923
within_layer__clr_true__thickness_absolute,within_layer,True,False,l4,Layer IV,105,18,0.49423443353852814,0.7058637245054035,5.62341325190349
within_layer__clr_true__thickness_absolute,within_layer,True,False,l5,Layer V,105,19,0.7703672760754,0.8789906014778678,0.1778279410038923
within_layer__clr_true__thickness_absolute,within_layer,True,False,l6,Layer VI,105,17,0.7698327817204109,0.8779095263634302,3.162277660168379
within_layer__clr_false__thickness_relative,within_layer,False,True,l1,Layer I,105,8,0.39548608804351504,0.6313747209940107,1.7782794100389228
within_layer__clr_false__thickness_relative,within_layer,False,True,l2,Layer II,105,13,0.4039954584404085,0.6362609819013297,1.7782794100389228
within_layer__clr_false__thickness_relative,within_layer,False,True,l3,Layer III,105,22,0.5628459274921049,0.7583150127157632,0.1778279410038923
within_layer__clr_false__thickness_relative,within_layer,False,True,l4,Layer IV,105,18,0.7704360412598277,0.8778400241642837,0.5623413251903491
within_layer__clr_false__thickness_relative,within_layer,False,True,l5,Layer V,105,19,0.5321418327429521,0.7491344420754352,0.056234132519034905
within_layer__clr_false__thickness_relative,within_layer,False,True,l6,Layer VI,105,17,0.7853737891114694,0.8871499256759493,1.7782794100389228
within_layer__clr_true__thickness_relative,within_layer,True,True,l1,Layer I,105,8,0.29297475007296336,0.545926565863308,3.162277660168379
within_layer__clr_true__thickness_relative,within_layer,True,True,l2,Layer II,105,13,0.32004153373678024,0.5671952937261105,5.62341325190349
within_layer__clr_true__thickness_relative,within_layer,True,True,l3,Layer III,105,22,0.614473296428198,0.7848709841579921,0.5623413251903491
within_layer__clr_true__thickness_relative,within_layer,True,True,l4,Layer IV,105,18,0.6422985675427008,0.803739554112938,3.162277660168379
within_layer__clr_true__thickness_relative,within_layer,True,True,l5,Layer V,105,19,0.588017185634822,0.7690888918230276,1.0
