branch,layer,ctype,r_obs,p_value,n_perm_used,p_adjusted,reject_H0,p_value_original,unique_mismatch_extreme_count,n_unique_mismatch
within_layer__clr_false__thickness_absolute,l1,Astro,0.0959979531777583,0.6666666666666666,600,0.9509803921568626,False,0.6006655574043261,3,5
within_layer__clr_false__thickness_absolute,l1,Endo,0.1972635526253581,0.5,600,0.9509803921568626,False,0.4009983361064891,2,5
within_layer__clr_false__thickness_absolute,l1,Lamp5,0.2637901284082625,0.5,600,0.9509803921568626,False,0.4009983361064891,2,5
within_layer__clr_false__thickness_absolute,l1,Micro-PVM,0.531068434317811,0.3333333333333333,600,0.9509803921568626,False,0.2013311148086522,1,5
within_layer__clr_false__thickness_absolute,l1,OPC,0.2867633039268756,0.16666666666666666,600,0.9509803921568626,False,0.0016638935108153,0,5
within_layer__clr_false__thickness_absolute,l1,Pax6,0.1587412237308843,0.8333333333333334,600,0.9623015873015874,False,0.800332778702163,4,5
within_layer__clr_false__thickness_absolute,l1,Sncg,0.3569530212317321,0.16666666666666666,600,0.9509803921568626,False,0.0016638935108153,0,5
within_layer__clr_false__thickness_absolute,l1,VLMC,-0.1411417888200422,0.5,600,0.9509803921568626,False,0.4009983361064891,2,5
within_layer__clr_false__thickness_absolute,l2,Astro,0.3631993248402571,0.6666666666666666,600,0.9509803921568626,False,0.6006655574043261,3,5
within_layer__clr_false__thickness_absolute,l2,Chandelier,0.092059715736273,0.6666666666666666,600,0.9509803921568626,False,0.6006655574043261,3,5
within_layer__clr_false__thickness_absolute,l2,Endo,0.1349336403857712,0.6666666666666666,600,0.9509803921568626,False,0.6006655574043261,3,5
within_layer__clr_false__thickness_absolute,l2,L2/3 IT,-0.3481117248930517,0.5,600,0.9509803921568626,False,0.4009983361064891,2,5
within_layer__clr_false__thickness_absolute,l2,Lamp5,0.5534719225738938,0.5,600,0.9509803921568626,False,0.4009983361064891,2,5
within_layer__clr_false__thickness_absolute,l2,Lamp5_Lhx6,0.2097764099425798,0.6666666666666666,600,0.9509803921568626,False,0.6006655574043261,3,5
within_layer__clr_false__thickness_absolute,l2,Micro-PVM,0.3864181763684505,0.6666666666666666,600,0.9509803921568626,False,0.6006655574043261,3,5
within_layer__clr_false__thickness_absolute,l2,OPC,0.3478505269812448,0.6666666666666666,600,0.9509803921568626,False,0.6006655574043261,3,5
within_layer__clr_false__thickness_absolute,l2,Pax6,0.636945231536431,0.6666666666666666,600,0.9509803921568626,False,0.6006655574043261,3,5
within_layer__clr_false__thickness_absolute,l2,Pvalb,-0.083513990196897,0.6666666666666666,600,0.9509803921568626,False,0.6006655574043261,3,5
within_layer__clr_false__thickness_absolute,l2,Sncg,0.6365101608582828,0.6666666666666666,600,0.9509803921568626,False,0.6006655574043261,3,5
within_layer__clr_false__thickness_absolute,l2,Sst,0.1973599256163257,0.6666666666666666,600,0.9509803921568626,False,0.6006655574043261,3,5
within_layer__clr_false__thickness_absolute,l2,Vip,0.4617449183197803,0.6666666666666666,600,0.9509803921568626,False,0.6006655574043261,3,5
within_layer__clr_false__thickness_absolute,l3,Astro,0.3606472363925425,0.8333333333333334,600,0.9623015873015874,False,0.800332778702163,4,5
within_layer__clr_false__thickness_absolute,l3,Chandelier,0.2365747462226871,0.8333333333333334,600,0.9623015873015874,False,0.800332778702163,4,5
within_layer__clr_false__thickness_absolute,l3,Endo,0.2578310221482147,0.3333333333333333,600,0.9509803921568626,False,0.2013311148086522,1,5
within_layer__clr_false__thickness_absolute,l3,L2/3 IT,0.1292789066312127,0.3333333333333333,600,0.9509803921568626,False,0.2013311148086522,1,5
within_layer__clr_false__thickness_absolute,l3,L4 IT,-0.4529707113114614,1.0,600,1.0,False,1.0,5,5
within_layer__clr_false__thickness_absolute,l3,L5 ET,-0.0750128409292125,0.3333333333333333,600,0.9509803921568626,False,0.2013311148086522,1,5
within_layer__clr_false__thickness_absolute,l3,L5 IT,-0.2043031975399119,0.8333333333333334,600,0.9623015873015874,False,0.800332778702163,4,5
within_layer__clr_false__thickness_absolute,l3,L5/6 NP,-0.2615635814400741,0.3333333333333333,600,0.9509803921568626,False,0.2013311148086522,1,5
within_layer__clr_false__thickness_absolute,l3,L6 CT,-0.3226473461091756,0.3333333333333333,600,0.9509803921568626,False,0.2013311148086522,1,5
within_layer__clr_false__thickness_absolute,l3,L6 IT,-0.478265365389483,0.8333333333333334,600,0.9623015873015874,False,0.800332778702163,4,5
within_layer__clr_false__thickness_absolute,l3,L6 IT Car3,0.0185055551869423,0.3333333333333333,600,0.9509803921568626,False,0.2013311148086522,1,5
within_layer__clr_false__thickness_absolute,l3,L6b,-0.1324802933910907,0.3333333333333333,600,0.9509803921568626,False,0.2013311148086522,1,5
within_layer__clr_false__thickness_absolute,l3,Lamp5,0.4061726847690575,0.6666666666666666,600,0.9509803921568626,False,0.6006655574043261,3,5
within_layer__clr_false__thickness_absolute,l3,Lamp5_Lhx6,-0.0165913145132611,0.5,600,0.9509803921568626,False,0.4009983361064891,2,5
within_layer__clr_false__thickness_absolute,l3,Micro-PVM,0.3890524788167769,0.8333333333333334,600,0.9623015873015874,False,0.800332778702163,4,5
within_layer__clr_false__thickness_absolute,l3,OPC,0.1948909516482305,0.8333333333333334,600,0.9623015873015874,False,0.800332778702163,4,5
within_layer__clr_false__thickness_absolute,l3,Oligo,0.0354905362266495,0.6666666666666666,600,0.9509803921568626,False,0.6006655574043261,3,5
within_layer__clr_false__thickness_absolute,l3,Pax6,0.3362290143026407,0.8333333333333334,600,0.9623015873015874,False,0.800332778702163,4,5
