layer,layer_label,fold,ctype,mean_abs_shap,relative_contribution
l1,Layer I,1,Astro,5.0141550431661066e-05,0.006975940459446637
l1,Layer I,1,Endo,0.0006687730273590751,0.093043010827901
l1,Layer I,1,Lamp5,0.0003789735469069412,0.05272467397136586
l1,Layer I,1,Micro-PVM,0.0016329491166012548,0.2271839564722245
l1,Layer I,1,OPC,0.0008190208171300605,0.11394622635639473
l1,Layer I,1,Pax6,0.00021895116703510314,0.030461569130075982
l1,Layer I,1,Sncg,0.0024981416172849416,0.3475538157759389
l1,Layer I,1,VLMC,0.0009208327576342892,0.12811080700665234
l1,Layer I,2,Astro,0.00036062430177909345,0.047144894441892855
l1,Layer I,2,Endo,0.0007811652151510964,0.10212276717983512
l1,Layer I,2,Lamp5,0.00018358910348137894,0.024000847590169613
l1,Layer I,2,Micro-PVM,0.0011555243393947545,0.15106323322374024
l1,Layer I,2,OPC,0.001298627592738939,0.16977131179725735
l1,Layer I,2,Pax6,8.612244992824822e-05,0.01125890238376567
l1,Layer I,2,Sncg,0.0031107149924258113,0.4066679068305386
l1,Layer I,2,VLMC,0.0006729078396997143,0.08797013655280052
l1,Layer I,3,Astro,0.00027916080340793374,0.02681269112960151
l1,Layer I,3,Endo,0.00023788952778121714,0.02284868919095272
l1,Layer I,3,Lamp5,6.587481609349027e-05,0.006327109950865902
l1,Layer I,3,Micro-PVM,0.001717475007638152,0.16495914304745485
l1,Layer I,3,OPC,0.0006900111288213861,0.06627382872960204
l1,Layer I,3,Pax6,0.0016488979624287871,0.15837249080497473
l1,Layer I,3,Sncg,0.005081316287651903,0.4880476144551453
l1,Layer I,3,VLMC,0.0006908919844517908,0.06635843269140286
l1,Layer I,4,Astro,0.0015283396856261447,0.14280928106643384
l1,Layer I,4,Endo,0.00036822372948463864,0.034407119421071906
l1,Layer I,4,Lamp5,0.0018958154338150099,0.17714650851773936
l1,Layer I,4,Micro-PVM,0.00021914690322547893,0.02047726169247792
l1,Layer I,4,OPC,0.00024572270519051566,0.02296052585690739
l1,Layer I,4,Pax6,0.0009518634156803175,0.08894287791202327
l1,Layer I,4,Sncg,0.005042414401240964,0.47116722954507045
l1,Layer I,4,VLMC,0.0004504370310151944,0.042089195988275964
l1,Layer I,5,Astro,0.0009163093812394314,0.042915607453244534
l1,Layer I,5,Endo,0.001605591511390715,0.07519832978235183
l1,Layer I,5,Lamp5,0.0023452632576938543,0.10984106394891043
l1,Layer I,5,Micro-PVM,0.0018916379554508322,0.08859539540016284
l1,Layer I,5,OPC,0.000986864455200873,0.04622007417590124
l1,Layer I,5,Pax6,0.003634026064247444,0.17020063227678678
l1,Layer I,5,Sncg,0.007888809808647616,0.3694746250041528
l1,Layer I,5,VLMC,0.002082922737909158,0.09755427195848954
l2,Layer II,1,Astro,0.0008456546901201242,0.049032184165941434
l2,Layer II,1,Chandelier,0.0013142912425860467,0.07620435504828699
l2,Layer II,1,Endo,0.0004683358162450731,0.027154733796099437
l2,Layer II,1,L2/3 IT,0.0007751142362269998,0.04494215478770259
l2,Layer II,1,Lamp5,0.0009822609977063455,0.05695279964889392
l2,Layer II,1,Lamp5_Lhx6,0.002478365415983002,0.14369892454533292
l2,Layer II,1,Micro-PVM,0.0003067279568901289,0.017784495074394252
l2,Layer II,1,OPC,0.00024128721372817223,0.013990153710051625
l2,Layer II,1,Pax6,0.0031302646093413914,0.1814969071969005
l2,Layer II,1,Pvalb,0.0015495564896909316,0.08984534712065854
l2,Layer II,1,Sncg,8.803194366357153e-05,0.0051042092294017564
l2,Layer II,1,Sst,0.0027137349432546135,0.15734596292052705
l2,Layer II,1,Vip,0.0023533053024291976,0.13644777275580916
l2,Layer II,2,Astro,0.0008185081359693725,0.03939110103595889
l2,Layer II,2,Chandelier,0.0015092704080604442,0.07263437041353549
l2,Layer II,2,Endo,0.00025795841253652325,0.012414373718188642
l2,Layer II,2,L2/3 IT,0.001356312372665559,0.06527319077252193
l2,Layer II,2,Lamp5,0.0019455521310980921,0.09363063993987931
l2,Layer II,2,Lamp5_Lhx6,0.002282645669227621,0.10985342995931291
l2,Layer II,2,Micro-PVM,4.595114171648812e-05,0.00221142098230723
l2,Layer II,2,OPC,0.00037042394850116236,0.01782683218446849
l2,Layer II,2,Pax6,0.0035730733184866875,0.1719558864625197
l2,Layer II,2,Pvalb,0.0024844148100581307,0.1195636677237554
l2,Layer II,2,Sncg,0.00041361216323680325,0.019905285965748896
l2,Layer II,2,Sst,0.003152697604349492,0.15172510132923514
l2,Layer II,2,Vip,0.0025685912456237876,0.123614699512568
l2,Layer II,3,Astro,0.0003565762433366918,0.014703110607247851
l2,Layer II,3,Chandelier,0.0013891104327282946,0.057278757964816955
l2,Layer II,3,Endo,0.0005763870273211409,0.02376681670091923
l2,Layer II,3,L2/3 IT,0.001272207361016646,0.052458361693828115
l2,Layer II,3,Lamp5,0.001981530606975981,0.08170668750499133
l2,Layer II,3,Lamp5_Lhx6,0.0031281809721598643,0.12898781590933264
l2,Layer II,3,Micro-PVM,0.0004854315224555858,0.02001634573330186
l2,Layer II,3,OPC,0.00036151479328024776,0.014906747409801066
l2,Layer II,3,Pax6,0.005184051759521309,0.21375985595868333
l2,Layer II,3,Pvalb,0.002438646347561988,0.10055545665253054
l2,Layer II,3,Sncg,0.0014302372265935389,0.0589745854643265
l2,Layer II,3,Sst,0.0035671868305713604,0.14708983984971952
l2,Layer II,3,Vip,0.0020806943628924914,0.08579561855050091
l2,Layer II,4,Astro,0.0008046256970265743,0.043240015355471784
l2,Layer II,4,Chandelier,0.0006283770617406918,0.033768538463414724
l2,Layer II,4,Endo,0.00035678804013582,0.01917353670300691
l2,Layer II,4,L2/3 IT,0.001221544656201982,0.06564494508037536
l2,Layer II,4,Lamp5,0.0009464959501857329,0.050864022328846
l2,Layer II,4,Lamp5_Lhx6,0.0018234968041243847,0.09799342738166118
l2,Layer II,4,Micro-PVM,0.0007254863561312854,0.038987123199305425
l2,Layer II,4,OPC,0.0015313321051309658,0.0822927032841247
l2,Layer II,4,Pax6,0.0042679681054651865,0.22935758464955347
l2,Layer II,4,Pvalb,0.0015907707104874827,0.08548689185878904
l2,Layer II,4,Sncg,4.842480048383484e-05,0.0026023144975911966
