layer,layer_label,class,n_ctype,relative_contribution,mean_abs_shap
l1,Layer I,Inhibitory,3,0.6113363487882916,0.007006154864912361
l1,Layer I,Non-neuron,5,0.38866365121170837,0.0044542382211506795
l2,Layer II,Excitatory,1,0.05744722324741601,0.0011275208033882994
l2,Layer II,Inhibitory,8,0.8338630757157746,0.01636629086487968
l2,Layer II,Non-neuron,4,0.1086897010368095,0.0021332606191469808
l3,Layer III,Excitatory,9,0.4776475628949273,0.02916189208449529
l3,Layer III,Inhibitory,8,0.41194952587519895,0.025150819455712823
l3,Layer III,Non-neuron,5,0.11040291122987358,0.006740446373444438
l4,Layer IV,Excitatory,5,0.2189764003618621,0.015274705677356443
l4,Layer IV,Inhibitory,8,0.4501652927027207,0.03140129411585967
l4,Layer IV,Non-neuron,5,0.3308583069354173,0.02307903158055175
l5,Layer V,Excitatory,8,0.3598072441080986,0.028984131044921653
l5,Layer V,Inhibitory,6,0.4974053955893354,0.04006829602319254
l5,Layer V,Non-neuron,5,0.14278736030256609,0.011502179654072364
l6,Layer VI,Excitatory,7,0.35723181874796617,0.01981779283333254
l6,Layer VI,Inhibitory,5,0.310228427405884,0.017210232635178315
l6,Layer VI,Non-neuron,5,0.33253975384614987,0.018447975809287892
