layer,layer_label,ctype,fold_mean_relative,fold_sd_relative,fold_min_relative,fold_max_relative
l1,Layer I,Astro,0.05333168291012388,0.052452653256305964,0.006975940459446637,0.14280928106643384
l1,Layer I,Endo,0.06552398328042251,0.03528385176811862,0.02284868919095272,0.10212276717983512
l1,Layer I,Lamp5,0.07400804079581023,0.06974230880184262,0.006327109950865902,0.17714650851773936
l1,Layer I,Micro-PVM,0.13045579796721207,0.0787703237291138,0.02047726169247792,0.2271839564722245
l1,Layer I,OPC,0.08383439338321255,0.058567727076224124,0.02296052585690739,0.16977131179725735
l1,Layer I,Pax6,0.09184729450152529,0.07217336617992619,0.01125890238376567,0.17020063227678678
l1,Layer I,Sncg,0.41658223832216923,0.061581583231714976,0.3475538157759389,0.4880476144551453
l1,Layer I,VLMC,0.08441656883952424,0.032450409509639865,0.042089195988275964,0.12811080700665234
l2,Layer II,Astro,0.04289119445165443,0.019232848442549758,0.014703110607247851,0.06808956109365219
l2,Layer II,Chandelier,0.056246522987076844,0.018676253729138118,0.033768538463414724,0.07620435504828699
l2,Layer II,Endo,0.018948331006124523,0.0066785601248297265,0.012232194112408414,0.027154733796099437
l2,Layer II,L2/3 IT,0.057402468501125015,0.00882124640559768,0.04494215478770259,0.06564494508037536
l2,Layer II,Lamp5,0.06432626392144594,0.022718941155259534,0.03847717018461912,0.09363063993987931
l2,Layer II,Lamp5_Lhx6,0.1314294909775565,0.03074745711535169,0.09799342738166118,0.17661385709214278
l2,Layer II,Micro-PVM,0.018662697547346424,0.013278183784220778,0.00221142098230723,0.038987123199305425
l2,Layer II,OPC,0.031379293539938735,0.028990585964018618,0.013990153710051625,0.0822927032841247
l2,Layer II,Pax6,0.1985161901292186,0.023371692733907552,0.1719558864625197,0.22935758464955347
l2,Layer II,Pvalb,0.0924101797428438,0.019521507949606002,0.06659953535848545,0.1195636677237554
l2,Layer II,Sncg,0.01795189289895923,0.024009181620854903,0.0026023144975911966,0.0589745854643265
l2,Layer II,Sst,0.13107246078160362,0.029100110098698027,0.09554254409530602,0.15734596292052705
l2,Layer II,Vip,0.1387630135151064,0.04178478486433806,0.08579561855050091,0.20102693527202398
l3,Layer III,Astro,0.01648077843370447,0.011859423988699965,0.00676356986490951,0.03650415920584576
l3,Layer III,Chandelier,0.041969130137440615,0.024026237996970866,0.0058558271867739115,0.065893101088625
l3,Layer III,Endo,0.01640663694371114,0.0058071013220666766,0.010121342681330626,0.02569159514484251
l3,Layer III,L2/3 IT,0.01693856703930944,0.009653567595264386,0.005208227082032184,0.030729983517491722
l3,Layer III,L4 IT,0.0585367017688056,0.016463029058189638,0.0402843698947333,0.07842300835971923
l3,Layer III,L5 ET,0.06165110436310824,0.01480340921544038,0.049511809413649986,0.08451560528285423
l3,Layer III,L5 IT,0.04458100433333301,0.012506451001859886,0.030055707119942238,0.05437092565519466
l3,Layer III,L5/6 NP,0.050922591917783366,0.017219279549822636,0.03565428665770082,0.07747759125632038
l3,Layer III,L6 CT,0.05126951105949691,0.02069228113696494,0.019154488891952273,0.0731300792975474
l3,Layer III,L6 IT,0.06155013419158732,0.0182095004446088,0.03916853278031108,0.08074552367792172
l3,Layer III,L6 IT Car3,0.06974698893075965,0.024638552328360153,0.04658601126773661,0.10907710656988473
l3,Layer III,L6b,0.06254268986475349,0.0072208942963859655,0.05660578606221481,0.07511359921089432
l3,Layer III,Lamp5,0.01186540157190529,0.009492443173619618,0.005102344699804711,0.027940416906693476
l3,Layer III,Lamp5_Lhx6,0.04161740777298991,0.01993710057607649,0.01668971548278121,0.0700977229782581
l3,Layer III,Micro-PVM,0.017677589974853317,0.011075711786096431,0.006109109631484864,0.03538852900747807
l3,Layer III,OPC,0.015299265729420627,0.00791465552467329,0.006375483392414624,0.02541872204537974
l3,Layer III,Oligo,0.04185682257930985,0.0057036326763157,0.03305914643102947,0.04786862556500618
l3,Layer III,Pax6,0.07918524894718117,0.009974658970953018,0.06481309243547774,0.09062062243175073
l3,Layer III,Pvalb,0.08851210945466201,0.015038160872545494,0.07101550389817886,0.10678415532487509
l3,Layer III,Sncg,0.05992317058565916,0.027377416231967967,0.0326879323513155,0.09880577929453162
l3,Layer III,Sst,0.06377723114390535,0.012331020071995134,0.046614803613402034,0.07495550178173323
l3,Layer III,Vip,0.027689913256320153,0.014760877245057787,0.00758993577242691,0.04657352166656286
l4,Layer IV,Astro,0.03618367731789184,0.012197822663068661,0.025404881167514316,0.05633655295829584
l4,Layer IV,Chandelier,0.09093114385595553,0.04963646884223649,0.007722144001365291,0.13572262206675126
l4,Layer IV,Endo,0.012130726017969985,0.020534673685565885,0.0006211451429061609,0.0487212934465885
