branch,class,relative_contribution,n_ctype
within_layer__clr_false__thickness_absolute,Excitatory,0.39271805568059487,9
within_layer__clr_false__thickness_absolute,Inhibitory,0.39844926480674675,8
within_layer__clr_false__thickness_absolute,Non-neuron,0.20883267951265858,6
within_layer__clr_true__thickness_absolute,Excitatory,0.4639645210986518,9
within_layer__clr_true__thickness_absolute,Inhibitory,0.37299523990384786,8
within_layer__clr_true__thickness_absolute,Non-neuron,0.16304023899750053,6
within_layer__clr_false__thickness_relative,Excitatory,0.4516201878151208,9
within_layer__clr_false__thickness_relative,Inhibitory,0.36082427562815667,8
within_layer__clr_false__thickness_relative,Non-neuron,0.18755553655672244,6
within_layer__clr_true__thickness_relative,Excitatory,0.41277205749834917,9
within_layer__clr_true__thickness_relative,Inhibitory,0.4027161887447326,8
within_layer__clr_true__thickness_relative,Non-neuron,0.18451175375691836,6
within_region_cross_layer__clr_false__thickness_absolute,Excitatory,0.4327474108825291,9
within_region_cross_layer__clr_false__thickness_absolute,Inhibitory,0.38386827337789176,8
within_region_cross_layer__clr_false__thickness_absolute,Non-neuron,0.18338431573957892,6
within_region_cross_layer__clr_true__thickness_absolute,Excitatory,0.5082204218182466,9
within_region_cross_layer__clr_true__thickness_absolute,Inhibitory,0.3368003183177688,8
within_region_cross_layer__clr_true__thickness_absolute,Non-neuron,0.15497925986398445,6
within_region_cross_layer__clr_false__thickness_relative,Excitatory,0.39851589292996,9
within_region_cross_layer__clr_false__thickness_relative,Inhibitory,0.41545178627213936,8
within_region_cross_layer__clr_false__thickness_relative,Non-neuron,0.18603232079790047,6
within_region_cross_layer__clr_true__thickness_relative,Excitatory,0.40154003344845457,9
within_region_cross_layer__clr_true__thickness_relative,Inhibitory,0.4204861951715957,8
within_region_cross_layer__clr_true__thickness_relative,Non-neuron,0.17797377137994974,6
