branch,ctype,mean_abs_shap,relative_contribution,class
within_layer__clr_false__thickness_absolute,Pvalb,0.02415707696806694,0.08271393874016966,Inhibitory
within_layer__clr_false__thickness_absolute,L5/6 NP,0.023003772310280463,0.0787650184739055,Excitatory
within_layer__clr_false__thickness_absolute,Chandelier,0.022974499176725904,0.07866478713470973,Inhibitory
within_layer__clr_false__thickness_absolute,L6b,0.0204853854188667,0.07014205058189596,Excitatory
within_layer__clr_false__thickness_absolute,Oligo,0.016910682308896884,0.0579022512699514,Non-neuron
within_layer__clr_false__thickness_absolute,L5 ET,0.016237067964038752,0.0555957927638686,Excitatory
within_layer__clr_false__thickness_absolute,Micro-PVM,0.013841163668972476,0.04739220582529209,Non-neuron
within_layer__clr_false__thickness_absolute,L6 IT,0.01382506826475397,0.04733709508982158,Excitatory
within_layer__clr_false__thickness_absolute,Sncg,0.013758856781675889,0.0471103866779365,Inhibitory
within_layer__clr_false__thickness_absolute,Lamp5_Lhx6,0.013753216358997719,0.04709107384565603,Inhibitory
within_layer__clr_false__thickness_absolute,Lamp5,0.013397524666649946,0.04587318391260941,Inhibitory
within_layer__clr_false__thickness_absolute,L6 CT,0.012980481364905474,0.044445225796729354,Excitatory
within_layer__clr_false__thickness_absolute,Pax6,0.012171789660748797,0.041676261812977504,Inhibitory
within_layer__clr_false__thickness_absolute,Astro,0.01192863062877341,0.04084368420843048,Non-neuron
within_layer__clr_false__thickness_absolute,L5 IT,0.010917522845738306,0.037381646672340015,Excitatory
within_layer__clr_false__thickness_absolute,OPC,0.010599168164193038,0.036291598829971086,Non-neuron
within_layer__clr_false__thickness_absolute,Vip,0.010137400430925324,0.03471050406208249,Inhibitory
within_layer__clr_false__thickness_absolute,L4 IT,0.006594489980745984,0.022579562958346348,Excitatory
within_layer__clr_false__thickness_absolute,Endo,0.0064840487043743315,0.022201411537946168,Non-neuron
within_layer__clr_false__thickness_absolute,Sst,0.006019013408328659,0.02060912862060543,Inhibitory
within_layer__clr_false__thickness_absolute,L2/3 IT,0.005877605096443055,0.020124945933183515,Excitatory
within_layer__clr_false__thickness_absolute,L6 IT Car3,0.004774151934672756,0.016346717410503992,Excitatory
within_layer__clr_false__thickness_absolute,VLMC,0.0012270801389228116,0.00420152784106736,Non-neuron
within_layer__clr_true__thickness_absolute,L5/6 NP,0.02901507019561863,0.10035464391146758,Excitatory
within_layer__clr_true__thickness_absolute,L6b,0.024092911875251866,0.08333033750152259,Excitatory
within_layer__clr_true__thickness_absolute,Pvalb,0.021719381801089836,0.07512099098608119,Inhibitory
within_layer__clr_true__thickness_absolute,Sncg,0.018783340391033677,0.0649660822359379,Inhibitory
within_layer__clr_true__thickness_absolute,Chandelier,0.015445776993366212,0.05342242633413542,Inhibitory
within_layer__clr_true__thickness_absolute,L6 CT,0.01417933743682368,0.04904218221012106,Excitatory
within_layer__clr_true__thickness_absolute,Oligo,0.014093154579201657,0.04874410090514332,Non-neuron
within_layer__clr_true__thickness_absolute,L5 IT,0.014087018304115947,0.048722877323845136,Excitatory
within_layer__clr_true__thickness_absolute,L6 IT,0.013799184895930223,0.04772734572631468,Excitatory
within_layer__clr_true__thickness_absolute,Lamp5,0.01311408226371767,0.04535777604287198,Inhibitory
within_layer__clr_true__thickness_absolute,L4 IT,0.012778156829239795,0.044195908188320907,Excitatory
within_layer__clr_true__thickness_absolute,L5 ET,0.012049607850335344,0.04167607029521597,Excitatory
within_layer__clr_true__thickness_absolute,Lamp5_Lhx6,0.011438745678355938,0.03956327665609405,Inhibitory
within_layer__clr_true__thickness_absolute,Endo,0.01033931417966908,0.03576066457168726,Non-neuron
within_layer__clr_true__thickness_absolute,Micro-PVM,0.010098845406077403,0.034928953395980226,Non-neuron
within_layer__clr_true__thickness_absolute,Pax6,0.009403667654393376,0.03252453682021196,Inhibitory
within_layer__clr_true__thickness_absolute,Vip,0.00910949353338394,0.03150707455102438,Inhibitory
