branch,normalization,clr,thickness_relative,layer,layer_label,n_roi,n_features,oof_r2,oof_pearson_r,median_alpha
within_layer__clr_false__thickness_absolute,within_layer,False,False,l1,Layer I,105,8,0.2802413283727673,0.5295038694059805,17.78279410038923
within_layer__clr_false__thickness_absolute,within_layer,False,False,l2,Layer II,105,13,0.6578973725359639,0.8117173960731293,1.0
within_layer__clr_false__thickness_absolute,within_layer,False,False,l3,Layer III,105,22,0.6051672478932492,0.785866244956513,0.31622776601683794
within_layer__clr_false__thickness_absolute,within_layer,False,False,l4,Layer IV,105,18,0.4818141405300713,0.6993267300330449,10.0
within_layer__clr_false__thickness_absolute,within_layer,False,False,l5,Layer V,105,19,0.7322309690956688,0.857096976189023,0.5623413251903491
within_layer__clr_false__thickness_absolute,within_layer,False,False,l6,Layer VI,105,17,0.8162628087405961,0.9042572919607267,0.5623413251903491
within_layer__clr_true__thickness_absolute,within_layer,True,False,l1,Layer I,105,8,0.3604674750055369,0.6005389688282611,10.0
within_layer__clr_true__thickness_absolute,within_layer,True,False,l2,Layer II,105,13,0.6269043131593397,0.7924377865514124,3.162277660168379
within_layer__clr_true__thickness_absolute,within_layer,True,False,l3,Layer III,105,22,0.6887870118613335,0.832533191773354,0.1778279410038923
within_layer__clr_true__thickness_absolute,within_layer,True,False,l4,Layer IV,105,18,0.49423443353852137,0.7058637245053992,5.62341325190349
within_layer__clr_true__thickness_absolute,within_layer,True,False,l5,Layer V,105,19,0.7703672760751561,0.8789906014777242,0.1778279410038923
within_layer__clr_true__thickness_absolute,within_layer,True,False,l6,Layer VI,105,17,0.7698327817203685,0.8779095263634168,3.162277660168379
within_layer__clr_false__thickness_relative,within_layer,False,True,l1,Layer I,105,8,0.39548608804350716,0.6313747209940048,1.7782794100389228
within_layer__clr_false__thickness_relative,within_layer,False,True,l2,Layer II,105,13,0.4039954584403589,0.6362609819012897,1.7782794100389228
within_layer__clr_false__thickness_relative,within_layer,False,True,l3,Layer III,105,22,0.5628459274919213,0.7583150127156588,0.1778279410038923
within_layer__clr_false__thickness_relative,within_layer,False,True,l4,Layer IV,105,18,0.6697787521216207,0.8207343186492482,1.7782794100389228
within_layer__clr_false__thickness_relative,within_layer,False,True,l5,Layer V,105,19,0.5321418327641537,0.7491344420731317,0.056234132519034905
within_layer__clr_false__thickness_relative,within_layer,False,True,l6,Layer VI,105,17,0.7853737891115437,0.8871499256759877,1.7782794100389228
within_layer__clr_true__thickness_relative,within_layer,True,True,l1,Layer I,105,8,0.2929747500729598,0.5459265658633055,3.162277660168379
within_layer__clr_true__thickness_relative,within_layer,True,True,l2,Layer II,105,13,0.3200415337367801,0.5671952937261107,5.62341325190349
within_layer__clr_true__thickness_relative,within_layer,True,True,l3,Layer III,105,22,0.6144732964281387,0.7848709841579558,0.5623413251903491
within_layer__clr_true__thickness_relative,within_layer,True,True,l4,Layer IV,105,18,0.6422985675427035,0.8037395541129395,3.162277660168379
within_layer__clr_true__thickness_relative,within_layer,True,True,l5,Layer V,105,19,0.5880171856347276,0.7690888918229741,1.0
within_layer__clr_true__thickness_relative,within_layer,True,True,l6,Layer VI,105,17,0.7828610976030237,0.8850876224118296,3.162277660168379
within_region_cross_layer__clr_false__thickness_absolute,within_region_cross_layer,False,False,l1,Layer I,105,8,0.3798999341174809,0.6170180791686783,1.7782794100389228
within_region_cross_layer__clr_false__thickness_absolute,within_region_cross_layer,False,False,l2,Layer II,105,13,0.6248705960445802,0.7910983366939178,1.7782794100389228
within_region_cross_layer__clr_false__thickness_absolute,within_region_cross_layer,False,False,l3,Layer III,105,22,0.6152900087023018,0.7936087531749368,0.31622776601683794
within_region_cross_layer__clr_false__thickness_absolute,within_region_cross_layer,False,False,l4,Layer IV,105,18,0.59028139038111,0.7684205847887654,0.5623413251903491
within_region_cross_layer__clr_false__thickness_absolute,within_region_cross_layer,False,False,l5,Layer V,105,19,0.6970477340576233,0.835917092632845,0.5623413251903491
within_region_cross_layer__clr_false__thickness_absolute,within_region_cross_layer,False,False,l6,Layer VI,105,17,0.7431071138053742,0.862192389773074,1.0
within_region_cross_layer__clr_true__thickness_absolute,within_region_cross_layer,True,False,l1,Layer I,105,8,0.4218384955716439,0.6500063241860226,1.7782794100389228
within_region_cross_layer__clr_true__thickness_absolute,within_region_cross_layer,True,False,l2,Layer II,105,13,0.6497111946576111,0.8064372932681529,1.7782794100389228
within_region_cross_layer__clr_true__thickness_absolute,within_region_cross_layer,True,False,l3,Layer III,105,22,0.6210051938652916,0.794483864421678,0.31622776601683794
within_region_cross_layer__clr_true__thickness_absolute,within_region_cross_layer,True,False,l4,Layer IV,105,18,0.4446155898810381,0.6824497302281061,3.162277660168379
within_region_cross_layer__clr_true__thickness_absolute,within_region_cross_layer,True,False,l5,Layer V,105,19,0.6933162563296364,0.833091012349038,3.162277660168379
within_region_cross_layer__clr_true__thickness_absolute,within_region_cross_layer,True,False,l6,Layer VI,105,17,0.7590799494233688,0.8712802823635577,1.7782794100389228
