branch,layer,ctype,r_obs,p_value,n_perm_used,p_adjusted,reject_H0
within_layer__clr_false__thickness_absolute,l1,Astro,0.09599795317775836,0.6006655574043261,600,0.85683175100323,False
within_layer__clr_false__thickness_absolute,l1,Endo,0.19726355262535814,0.40099833610648916,600,0.8103508042151968,False
within_layer__clr_false__thickness_absolute,l1,Lamp5,0.2637901284082625,0.40099833610648916,600,0.8103508042151968,False
within_layer__clr_false__thickness_absolute,l1,Micro-PVM,0.531068434317811,0.20133111480865223,600,0.610284941763727,False
within_layer__clr_false__thickness_absolute,l1,OPC,0.2867633039268756,0.0016638935108153079,600,0.010087354409317803,True
within_layer__clr_false__thickness_absolute,l1,Pax6,0.15874122373088437,0.800332778702163,600,0.9241938039774977,False
within_layer__clr_false__thickness_absolute,l1,Sncg,0.3569530212317321,0.0016638935108153079,600,0.010087354409317803,True
within_layer__clr_false__thickness_absolute,l1,VLMC,-0.14114178882004222,0.40099833610648916,600,0.8103508042151968,False
within_layer__clr_false__thickness_absolute,l2,Astro,0.3631993248402571,0.6006655574043261,600,0.85683175100323,False
within_layer__clr_false__thickness_absolute,l2,Chandelier,0.09205971573627308,0.6006655574043261,600,0.85683175100323,False
within_layer__clr_false__thickness_absolute,l2,Endo,0.13493364038577124,0.6006655574043261,600,0.85683175100323,False
within_layer__clr_false__thickness_absolute,l2,L2/3 IT,-0.3481117248930517,0.40099833610648916,600,0.8103508042151968,False
within_layer__clr_false__thickness_absolute,l2,Lamp5,0.5534719225738938,0.40099833610648916,600,0.8103508042151968,False
within_layer__clr_false__thickness_absolute,l2,Lamp5_Lhx6,0.20977640994257984,0.6006655574043261,600,0.85683175100323,False
within_layer__clr_false__thickness_absolute,l2,Micro-PVM,0.38641817636845055,0.6006655574043261,600,0.85683175100323,False
within_layer__clr_false__thickness_absolute,l2,OPC,0.34785052698124486,0.6006655574043261,600,0.85683175100323,False
within_layer__clr_false__thickness_absolute,l2,Pax6,0.636945231536431,0.6006655574043261,600,0.85683175100323,False
within_layer__clr_false__thickness_absolute,l2,Pvalb,-0.08351399019689701,0.6006655574043261,600,0.85683175100323,False
within_layer__clr_false__thickness_absolute,l2,Sncg,0.6365101608582828,0.6006655574043261,600,0.85683175100323,False
within_layer__clr_false__thickness_absolute,l2,Sst,0.19735992561632573,0.6006655574043261,600,0.85683175100323,False
within_layer__clr_false__thickness_absolute,l2,Vip,0.4617449183197803,0.6006655574043261,600,0.85683175100323,False
within_layer__clr_false__thickness_absolute,l3,Astro,0.3606472363925425,0.800332778702163,600,0.9241938039774977,False
within_layer__clr_false__thickness_absolute,l3,Chandelier,0.23657474622268712,0.800332778702163,600,0.9241938039774977,False
within_layer__clr_false__thickness_absolute,l3,Endo,0.2578310221482147,0.20133111480865223,600,0.610284941763727,False
within_layer__clr_false__thickness_absolute,l3,L2/3 IT,0.12927890663121278,0.20133111480865223,600,0.610284941763727,False
within_layer__clr_false__thickness_absolute,l3,L4 IT,-0.4529707113114614,1.0,600,1.0,False
within_layer__clr_false__thickness_absolute,l3,L5 ET,-0.07501284092921255,0.20133111480865223,600,0.610284941763727,False
within_layer__clr_false__thickness_absolute,l3,L5 IT,-0.20430319753991194,0.800332778702163,600,0.9241938039774977,False
within_layer__clr_false__thickness_absolute,l3,L5/6 NP,-0.2615635814400741,0.20133111480865223,600,0.610284941763727,False
within_layer__clr_false__thickness_absolute,l3,L6 CT,-0.32264734610917567,0.20133111480865223,600,0.610284941763727,False
within_layer__clr_false__thickness_absolute,l3,L6 IT,-0.478265365389483,0.800332778702163,600,0.9241938039774977,False
