branch,layer,ctype,correlation,p_value,reject_H0,p_adjusted
within_layer__clr_false__thickness_absolute,l1,Astro,0.09599795317775836,0.6773226773226774,False,0.8111148111148111
within_layer__clr_false__thickness_absolute,l1,Endo,0.19726355262535814,0.5694305694305695,False,0.7566406196543184
within_layer__clr_false__thickness_absolute,l1,Lamp5,0.2637901284082625,0.6283716283716284,False,0.7715449107854172
within_layer__clr_false__thickness_absolute,l1,Micro-PVM,0.531068434317811,0.1958041958041958,False,0.4213178126221605
within_layer__clr_false__thickness_absolute,l1,OPC,0.2867633039268756,0.4695304695304695,False,0.7003451094360186
within_layer__clr_false__thickness_absolute,l1,Pax6,0.15874122373088437,0.34265734265734266,False,0.5935314685314685
within_layer__clr_false__thickness_absolute,l1,Sncg,0.3569530212317321,0.4695304695304695,False,0.7003451094360186
within_layer__clr_false__thickness_absolute,l1,VLMC,-0.14114178882004222,0.6213786213786214,False,0.7715449107854172
within_layer__clr_false__thickness_absolute,l2,Astro,0.3631993248402571,0.2907092907092907,False,0.5422846384384846
within_layer__clr_false__thickness_absolute,l2,Chandelier,0.09205971573627308,0.8221778221778222,False,0.8947385947385946
within_layer__clr_false__thickness_absolute,l2,Endo,0.13493364038577124,0.6023976023976024,False,0.7688495714811505
within_layer__clr_false__thickness_absolute,l2,L2/3 IT,-0.3481117248930517,0.1998001998001998,False,0.4213178126221605
within_layer__clr_false__thickness_absolute,l2,Lamp5,0.5534719225738938,0.02197802197802198,False,0.13110418992771936
within_layer__clr_false__thickness_absolute,l2,Lamp5_Lhx6,0.20977640994257984,0.5634365634365635,False,0.7566406196543184
within_layer__clr_false__thickness_absolute,l2,Micro-PVM,0.38641817636845055,0.23176823176823177,False,0.45880649962282616
within_layer__clr_false__thickness_absolute,l2,OPC,0.34785052698124486,0.26573426573426573,False,0.5155244755244756
within_layer__clr_false__thickness_absolute,l2,Pax6,0.636945231536431,0.002997002997002997,False,0.05537319823034109
within_layer__clr_false__thickness_absolute,l2,Pvalb,-0.08351399019689701,0.8501498501498501,False,0.9062036864234666
within_layer__clr_false__thickness_absolute,l2,Sncg,0.6365101608582828,0.005994005994005994,False,0.07267732267732267
within_layer__clr_false__thickness_absolute,l2,Sst,0.19735992561632573,0.37362637362637363,False,0.6306913425557494
within_layer__clr_false__thickness_absolute,l2,Vip,0.4617449183197803,0.0939060939060939,False,0.28768106893106893
within_layer__clr_false__thickness_absolute,l3,Astro,0.3606472363925425,0.15084915084915085,False,0.3751889136504521
within_layer__clr_false__thickness_absolute,l3,Chandelier,0.23657474622268712,0.4155844155844156,False,0.6718614718614718
