,Layer I,Layer II,Layer III,Layer IV,Layer V,Layer VI
1,0.27442545389309886,0.23525524129238104,0.585634574084562,0.15807810862185742,0.44188596641404776,0.5962343448424426
3,0.2528396019253809,0.24502509789371815,0.6237288222177323,0.16732548510741546,0.4456219217638494,0.5932940370699517
5,0.2878105783008041,0.2437142355493581,0.6102678921918726,0.16238588098010318,0.466883282143531,0.5482570254062158
7,0.26254039590033773,0.24001138758399088,0.6310240043714636,0.15369263933182337,0.4655646947338621,0.5976215245186856
9,0.27147399835955316,0.220701618975278,0.5984041760606742,0.14897379344494383,0.4568668818561818,0.5960824926966224
11,0.2941126550397766,0.2418368044786067,0.5872309742313392,0.18069192646097426,0.4392764884411895,0.6001848097527431
13,0.2903532695203145,0.21511855044430622,0.5898546000144052,0.11429889862018097,0.4652713502490339,0.5122657718138919
15,0.2751055934399382,0.23754424784430359,0.5816354444402985,0.17067874317714246,0.4336951049435869,0.5259281462315571
17,0.26889514101062323,0.23383690101688553,0.59913145876292,0.1900099314448582,0.4328320607153919,0.5610955759231122
19,0.2796389999410943,0.18885732445610598,0.5806831265871323,0.11923604394237643,0.47586341849835534,0.5181743153829724
21,0.27095319757243186,0.21386400658355958,0.5533851368160219,0.16232527632546967,0.4509345568177185,0.5236040484804464
23,0.26346142570898046,0.23771085984707155,0.6073008038515447,0.18398196636525407,0.4239619570452761,0.5590090599079333
25,0.25017637223216704,0.2409906635156846,0.6796441917214459,0.1608454153205009,0.5132047375193078,0.6247727899939329
27,0.2829942528414716,0.18275628808131206,0.5489530462723236,0.11824189370530663,0.4777563951357316,0.5224152848895719
29,0.2577853983385424,0.22364298025817012,0.5537480855548573,0.1914994600687127,0.4197946118842444,0.5549941351676123
31,0.26269451261028387,0.22232516982963013,0.5412253294158877,0.19702522169151399,0.43525618542439753,0.5441166515698226
33,0.2713793387683533,0.22512600220228418,0.5242426665497494,0.20598778986134175,0.43065002859299145,0.5676198130872874
35,0.25747716016574196,0.19829206365524277,0.5056966018917206,0.18122778287293123,0.44925289031603943,0.539807407071829
37,0.2657254370440658,0.2199626245220302,0.5206352515254258,0.19550319184745585,0.4640929563355965,0.5887800802271167
39,0.2820005270296099,0.2517463555065796,0.6102937436743419,0.21016927767434526,0.456413377003287,0.6308276011019676
41,0.28658149890375967,0.19288291604631963,0.5506817252602432,0.11167478717760757,0.45016880032930023,0.5145526768430024
43,0.2599842124180292,0.20292432311475125,0.4832300088871302,0.1914964395050508,0.45637943712484397,0.5662726275283763
45,0.25725286466485886,0.20313233256600602,0.5030661098081594,0.17792429272625004,0.41027865907470623,0.5210939157661988
47,0.2668664719826427,0.19013602576356547,0.5090559097136688,0.1468061352516269,0.4035760221366619,0.49881613429718047
49,0.24084797604695687,0.19785090005043998,0.5362964547791376,0.15309860856174,0.3547727514626099,0.48111436500347177
51,0.25742236219068315,0.20265003585140146,0.4727404489827772,0.19418817840880348,0.45381128795600123,0.5711828214189987
53,0.27464621540830525,0.23719753810507338,0.6587173886709804,0.1756155405198167,0.45685141022858256,0.5978316041363999
55,0.25029179308092275,0.22658433897358415,0.6878764755483312,0.15710287875627066,0.5478914016064859,0.6897278020946221
57,0.24137038246400783,0.2037553278516063,0.5978916382096581,0.16673898548542287,0.4823761928940511,0.6191627923255746
59,0.23541401502111928,0.19493210534054903,0.5521158332365497,0.1633945845538584,0.45303613165788165,0.5905131563146907
61,0.28817363585119815,0.2653698102299163,0.6651163072022733,0.20758735045982685,0.4940374230922217,0.6720233821105706
63,0.2766336148464324,0.24685707322729825,0.6573231097279356,0.18383764170029912,0.4704099464523882,0.6419818949012468
65,0.241103442208434,0.2035378767135351,0.5563919351254488,0.1753046218003877,0.37969968382410313,0.46044070359525857
67,0.2380182953482005,0.1905040097965569,0.51830535631847,0.16636755717918503,0.43090196431925415,0.5554762118857592
69,0.25036900436613196,0.24671195183236425,0.7064945657706486,0.17893170275644318,0.4393176500017706,0.527146290347174
71,0.2786083758866293,0.24437690664140924,0.6371730938375396,0.21281450370112318,0.48228046763867366,0.5861618904940744
73,0.304786907429416,0.25331938587523656,0.6623980565850951,0.2083492624710947,0.4936279480559276,0.6216894433799357
75,0.2753133349364056,0.2533189492824619,0.6618495596760308,0.22875242135348942,0.5035527251068127,0.6232139559851263
77,0.28067835088069665,0.2659941713711008,0.7571854151741257,0.18045665543635211,0.4718916321056929,0.5619323097317791
79,0.28462596755722236,0.2621451174013507,0.6779155783977786,0.20165595714877374,0.4620931852643952,0.6039435869435644
81,0.28190655049695057,0.263707805113824,0.6867496656556549,0.2107725976050009,0.4527494910868895,0.590573995646046
83,0.24656958780335,0.24922177323492337,0.6537689797572988,0.2065049600600451,0.4708792014636104,0.6010667213285086
85,0.24525152509412593,0.24791231605205316,0.6678705264091982,0.21584162704318452,0.4660791284745403,0.5807872916638931
87,0.2877030957088208,0.2692645211388497,0.6981705440943647,0.2163950821191753,0.4788911468494824,0.6150706445080165
89,0.2588851517356761,0.2440799176217249,0.6507631663994861,0.19181650949983625,0.4428741179396992,0.5402104162471
91,0.24909356535096358,0.24085603345371254,0.6497457484282557,0.20859135788402772,0.4359471176373394,0.540543363074765
93,0.26734558343526493,0.24985354728319603,0.6513656082341792,0.20133154932551928,0.4354355405132056,0.5604961364976804
95,0.23911532160538312,0.2343646797130089,0.6122858803990803,0.20181818197533496,0.43786671276680633,0.5980990524663723
97,0.24216558922447243,0.24087590849971535,0.661221363835304,0.2061793755188952,0.4412646683135949,0.5655291202086794
99,0.27208359424201056,0.25220790135962107,0.6715474284523065,0.20855949427600412,0.43698371103783795,0.5667050328461508
101,0.2680823088610643,0.25035631122374624,0.6463474203513714,0.20843729865509228,0.4502745994588128,0.5899574466922536
103,0.256913121021763,0.23535765926963662,0.688001656927345,0.18908342797491806,0.43748736248616144,0.5403794693139098
105,0.2310956467505945,0.22438978894528322,0.5915758408762806,0.22400346629658852,0.436603005820775,0.48535062818596153
107,0.2593623495471609,0.2411840460496658,0.6467661618218011,0.200488141840562,0.44531708380424323,0.5335883062020103
109,0.24939951886111972,0.23457794222859107,0.6952134133223998,0.19424337927488666,0.42844434301515333,0.5355118128553812
111,0.24445897532733085,0.21101160105705774,0.6097761104264275,0.15494505022222352,0.364803193525525,0.46750655803603713
113,0.2597726960845894,0.22935139672205526,0.6343083945770264,0.17311537704229438,0.3937088842658625,0.47354079823565864
115,0.25447935758446233,0.22524162741554202,0.7419062210641866,0.22924018059966236,0.4495107241469567,0.5786867346030392
117,0.22935213139662936,0.2242555337232664,0.692674047005835,0.17606441685677574,0.419748630748536,0.5086666053953338
119,0.24099020403524007,0.207009684662048,0.5652487095696173,0.1780553567388811,0.377861390441942,0.43037113703061725
121,0.277147368390583,0.2532960842899701,0.6850439145496522,0.2135828136624266,0.4619401147606165,0.5737511837543946
123,0.25829445336468076,0.24835015794844786,0.6739828674346877,0.21572426018461002,0.468336415842897,0.5668601696795463
125,0.23380914369576428,0.22455777557310708,0.586001687841464,0.21625021376271503,0.4295045530878355,0.4800833113819068
127,0.2355396136080202,0.22993360737092777,0.6022269894618821,0.2107492908637819,0.41402168928315514,0.4490394251965932
129,0.23355998201051908,0.22288855514024158,0.6479573461529308,0.181525982106257,0.4221196021089362,0.4978626436596697
131,0.23491915911455066,0.2177740135014683,0.6007791306097447,0.19164286241650125,0.3964555616610639,0.47938144542928185
133,0.2296855634683946,0.2172634841077278,0.6205173791733,0.20177931434660487,0.42695476316861186,0.47698481455269987
135,0.22997180629550146,0.22011513605842364,0.6414470884322541,0.20205539231875388,0.40863220141479434,0.4584507631982208
137,0.2348121049364338,0.2394688710954815,0.6396857873262078,0.21627815369759998,0.4287872873694668,0.4961973678522995
