,Layer I,Layer II,Layer III,Layer IV,Layer V,Layer VI
1,0.11975728322839974,0.10266368575777983,0.25556669238236374,0.0689841432632266,0.1928358396926133,0.2601923556756168
3,0.10861577629887928,0.10525879260120573,0.2679437465858627,0.07188030403912808,0.19143192205492962,0.2548694584199946
5,0.12409271488038737,0.10508008886563419,0.2631237531070603,0.07001446905820058,0.2013018922219885,0.23638708186672913
7,0.11169770763199509,0.10211274995137455,0.26846891316416976,0.06538847263638788,0.1980743152985208,0.2542578413175519
9,0.11841816692553656,0.0962710289548102,0.26102656621956905,0.06498303206308881,0.19928736823900284,0.26001383759799257
11,0.12551036169557356,0.10320203595899877,0.25059639805247935,0.07710891951425798,0.187457934923469,0.25612434985522137
13,0.1327534087648351,0.09835508622724069,0.26968943369191867,0.052258989316577055,0.21272830110788643,0.23421478089154213
15,0.12366590239176291,0.10678126678675423,0.2614576868479674,0.07672377915028267,0.1949553109593475,0.23641605386388528
17,0.11763715778779787,0.10229976011521266,0.2621100615103442,0.08312618890255206,0.18935683713222132,0.24546999455187177
19,0.1293156292195202,0.08733475570253411,0.2685297970154064,0.055139247570270174,0.22005720732311768,0.2396233631691515
21,0.12457238991513822,0.09832528516227969,0.25442220152526274,0.0746300386807333,0.20731992071468472,0.24073016400190136
23,0.11578553523092144,0.10446872464737275,0.2668954228532557,0.08085605090427553,0.18632200893143108,0.2456722574327435
25,0.10130098426742648,0.09758152296949858,0.27520035149094546,0.06512924758437569,0.20780597535072753,0.2529819183370262
27,0.1326669992747419,0.08567569162586484,0.2573478177045335,0.055431504593958986,0.22397100538462586,0.244906981416275
29,0.11709722245489337,0.10158826674649096,0.25153621258653597,0.0869872964884114,0.19068877977572163,0.2521022219479467
31,0.1192633142080975,0.10093563174308122,0.24571631085140977,0.08944945476030935,0.1976063172674575,0.24702897116964462
33,0.1219679330263443,0.10117996927737687,0.2356140844527269,0.09257854732816756,0.19355008411328792,0.2551093818020965
35,0.12078184045740507,0.09301827152730795,0.23722091019731703,0.0850134634983442,0.21074331753640194,0.2532221967832239
37,0.11785403427504382,0.09755739976579281,0.2309111444528297,0.08670919927417267,0.20583361454293733,0.26113460768922375
39,0.11550530428846441,0.10311342217188918,0.24997174760971036,0.08608376241549749,0.18694350165719692,0.2583822618572416
41,0.13604354618419712,0.09156374712835956,0.2614149727383271,0.05301331078636468,0.213700326826926,0.24426409633582563
43,0.12034706803854649,0.09393396273347483,0.22368787018612812,0.08864397887821733,0.21125870167356484,0.26212841849006835
45,0.12411197260551765,0.09800145288011217,0.2427048861850965,0.08583980191421735,0.19793946225650824,0.25140242415854797
