outcome,branch,oof_r2,total_q_family,n_pairwise_fdr
Alpha,Ratio · cluster,0.6387294773433263,0.05274725274725267,3
Alpha,Ratio–CLR · cluster,0.5771603968103731,0.04795204795204785,0
Alpha,Density · cluster,0.172334659156095,0.13636363636363635,16
Theta,Ratio · cluster,0.3050653042591524,0.0239760239760234,0
Theta,Ratio–CLR · cluster,0.3217032589103817,0.0239760239760234,0
Theta,Density · cluster,0.1037191606550439,0.08691308691308669,6
ADHD,Ratio · cluster,0.4058954935243899,0.0032467532467529247,21
ADHD,Ratio–CLR · cluster,0.5333686318152849,0.0032467532467529247,20
ADHD,Density · cluster,0.4347443063767606,0.0032467532467529247,28
ASD,Ratio · cluster,0.3554646773674088,0.0032467532467529247,0
ASD,Ratio–CLR · cluster,0.4641162794551602,0.0032467532467529247,0
ASD,Density · cluster,0.0345787104460937,0.0032467532467529247,0
Right temporal lobe epilepsy,Ratio · cluster,0.6175990309690256,0.00519480519480494,0
Right temporal lobe epilepsy,Ratio–CLR · cluster,0.5247362740533368,0.009740259740259587,0
Right temporal lobe epilepsy,Density · cluster,0.425302342751516,0.00519480519480507,0
Parkinson disease,Ratio · cluster,0.4275117106520182,0.008658008658008523,0
Parkinson disease,Ratio–CLR · cluster,0.3636575791389633,0.01154401154401141,0
Parkinson disease,Density · cluster,0.7166444978150276,0.0032467532467529247,0
