,Astro_1,Astro_2,Chandelier_1,Endo_1,L2/3 IT_1,L2/3 IT_2,L2/3 IT_3,L2/3 IT_4,L2/3 IT_5,L2/3 IT_6,L2/3 IT_7,L2/3 IT_8,L4 IT_1,L4 IT_2,L4 IT_3,L5 ET_1,L5 IT_1,L5 IT_2,L5 IT_3,L5 IT_4,L5 IT_5,L5/6 NP_1,L5/6 NP_2,L6 CT_1,L6 CT_2,L6 IT Car3_1,L6 IT_1,L6 IT_2,L6 IT_3,L6b_1,L6b_2,L6b_3,Lamp5_1,Lamp5_2,Lamp5_Lhx6_1,Micro-PVM_1,Micro-PVM_2,OPC_1,Oligo_1,Oligo_2,Pax6_1,Pax6_2,Pvalb_1,Pvalb_2,Pvalb_3,Pvalb_4,Pvalb_5,Sncg_1,Sncg_2,Sncg_3,Sncg_4,Sst Chodl_1,Sst_1,Sst_10,Sst_2,Sst_3,Sst_4,Sst_5,Sst_6,Sst_7,Sst_8,Sst_9,VLMC_1,Vip_1,Vip_2,Vip_3,Vip_4,Vip_5,Vip_6,Vip_7,Vip_8,Vip_9
1,8.026473951181524,38.00079406012075,1.5175589771704867,0.0946979349775125,2.004607687556725,3.6656275988080855,7.076028601313932,36.433079792516196,11.73657720028605,66.82946749969014,9.969046206268843,5.349819724663385,21.684506293654774,45.97857896299705,17.855236190554283,12.679976186595264,10.197838472713913,22.46449608467179,29.654102922729923,7.480281566437162,8.060113199812958,0.656066831035963,30.371759729420592,16.945258372718712,9.382598609379164,8.865835856832797,1.4284250453864578,17.7921122689035,16.560650007034923,8.694812385092023,11.812445517134607,3.9639147034990514,5.3259813464311145,3.174276428601117,4.412405577059602,2.9349076121856443,0.018153481580437284,8.039145799388292,0.07105851628770547,57.836942808572,0.8693807958591816,1.4623840928015024,0.7916525996858313,0.30538657114237,2.9540603278731137,4.687210337020705,3.5294719209580143,0.1964384354257992,2.326866990958008,1.0283738023405926,0.0030416183346339163,0.013274664628234904,2.6922730029869584,0.8755503683202974,1.3471310932463434,1.7765963004920726,2.231210391625069,1.690723897632816,6.256715073904558,0.14962252003179288,0.8894727179811435,7.145724554223423,5.026942199449925,0.16122155015780945,1.2919211075191848,0.8759084706266509,0.6620125695356028,0.4825786896000398,1.3695726976873195,1.1811933955545901,3.1888064436805656,0.6762542067250423
3,7.011359916375829,37.72478519025523,1.6457113111022694,0.0669195299989707,1.365151801865917,2.9734175614644727,6.446087663790294,45.143582933300685,8.753501862735678,64.87798530548288,10.436040723736674,3.830249358304157,17.822435567929443,46.165118588699016,21.342597809130876,11.538044567589639,11.240997896448954,17.66442601067696,27.118093769035724,8.180529040178202,5.779445510469663,0.5861250797665152,27.369254654894792,17.57786194098769,8.222451220248237,7.272830421116185,0.895550860115058,18.81659316888049,15.143076558360605,7.412612920672722,9.602707923113867,4.131213276672574,4.629062328179769,3.565365692318185,4.009996924295324,2.7312571907113568,0.02742531566790418,7.857435512071945,0.08063025190526932,64.69147470340575,0.7540342576101274,1.2431165459124158,0.7793376532808765,0.2371620272914749,2.760809462077288,5.008626898465751,3.0710723555381696,0.16722359328819655,2.249080072913699,0.8542493104894476,0.007768706521947229,0.010442178543499835,2.3941290414559915,0.846329620291476,1.2316235303597833,1.5573475260364233,2.2795901849312163,1.6866495650750342,5.176980819821343,0.10726118971652095,0.7421341302062274,6.706087424445587,3.6007575924843045,0.15143787816705406,1.154211942130327,0.623066038379604,0.627301006929404,0.5581541078657971,1.2406264576230759,1.2646626991427994,2.968732125173209,0.742590174691889
5,7.444866315668834,32.52031730018298,1.7641012155501257,0.11993605771113987,2.0039488899414017,4.498067679131744,7.528026960437094,38.95993491932474,12.731253376255191,65.15965535306255,10.773146835030289,5.99261131015538,23.236697129302847,49.55594868860809,20.967096384379115,11.48168812206517,12.17157978021447,20.082502659742108,29.489806646848283,7.765871903498144,6.600287572838378,0.8618584079603517,30.331970694299155,17.8189413592273,8.338169937494165,7.9734841677652035,1.6613419260392226,18.526832904182143,16.654628726201103,8.783956766813263,11.252660568835049,3.756838662694046,4.686544366518927,3.2162708717988036,3.7502224862399935,1.9861093947260011,0.038852917688389346,7.336238199638773,0.05573681436365954,44.978731663303776,0.8511886124337373,1.2778009278158535,0.7331664617971574,0.22895164681440414,2.94245046690146,4.682282496184249,2.8249980529631755,0.2632804770284467,2.535555542530238,1.0784240224838886,0.009200952541917237,0.006659976144037864,2.5533359198593364,0.7595942759662009,1.1198527620854848,1.6284362883384405,2.9650854021671247,1.9000215224202766,5.688283609056752,0.12507616299246915,0.8934291404452984,7.237892738556944,5.407699539761383,0.15250959863011337,1.0690461945980523,0.5150323233940384,0.7210382713208864,0.5467087340779531,1.3115115488602156,1.2568453270789464,3.4285920519029944,0.8578415672319687
7,7.374848028324126,40.02030234331412,1.6302997158846522,0.07866544779846808,1.4106995865310377,2.8304822518556083,6.316355879331567,46.43712118665211,8.511873370230363,66.21851142708806,10.318752440572913,3.6974165233691476,16.977733657734642,46.11937858644016,21.243915991204346,12.029227759739832,10.821143979685697,17.841938666441767,27.385095790258205,8.02633834551807,5.994656974817487,0.5861441812821161,28.039573045995997,17.61808531075779,8.442983931314084,7.446240188778702,0.8729435120000326,18.872543388123663,15.26132773445118,7.191959710969055,9.805814063206967,4.038993832058491,4.848160599218925,3.5774729258642304,4.176618258984617,3.1903305413558947,0.026924457511936048,8.194305759387843,0.09339960453458522,71.79553557487286,0.7424111194336885,1.2980207193571194,0.8012088400655535,0.25854497614293215,2.7704944476979896,5.050494547769115,3.271976734324055,0.16147339751018502,2.1654542859963586,0.8556803725959814,0.002583378395795944,0.013736657299504853,2.3978868599034096,0.8701775320436023,1.295354623220652,1.5523627362913182,2.17706150937015,1.6336559107747048,5.273920786966406,0.12421816228061645,0.7285175477572803,6.769517215257752,4.31795539486982,0.1539296985199704,1.2551375358464119,0.7147551201781217,0.6293036005407703,0.5235126399173756,1.2542117325906763,1.27548877235153,2.972332587906243,0.6706970200534446
9,9.110215340942448,41.3482624600374,1.4388109236569226,0.18007649139786328,1.7656837540161043,3.3257682453353077,7.336639407701234,42.38466162446092,10.19670097528034,70.06394132697359,9.741015226239124,4.284934077507524,18.632268260648303,44.05099688228837,19.553667360139716,13.862567798647666,10.717046472688091,20.515467369567727,28.280179974584918,8.064213566722744,7.1341531518227495,0.714082610454977,30.29235270800456,18.15823661410307,8.990190423073397,8.58451478856717,1.135899579116628,19.756012156627115,16.017947023783893,8.11007937959672,11.309427463006566,4.0611814826444235,5.3484924408627545,3.4787247597647637,4.388816909799509,2.7429023464325955,0.041280663826266356,8.093798129486073,0.09740291826058758,75.55849187394678,0.8017308616595527,1.4992081677937668,0.9672470645331611,0.2872134139077075,2.7481441202290404,5.315733858804952,3.556965241204757,0.19333875228481046,2.1367616457525758,0.9251700871647132,0.003028122777022204,0.012988777917091862,2.6034036874496866,0.8695620634876929,1.4256510710541912,1.6800549769247046,2.238988373984698,1.9391495996616013,6.019308932925098,0.1599881167184292,0.8569773462816519,6.614583719380084,4.970490679910556,0.1603486700170552,1.377783013618337,0.8982830207716502,0.6470069152625163,0.4498096692234156,1.2803649085036672,1.2559633402278454,2.983064546414474,0.7462236098776195
11,7.668935898260628,35.681453356185145,1.5876003796826594,0.0871794070938044,2.1139571590311235,4.264727747022634,6.946744535592204,33.04498785099507,14.347167896007301,63.266537545756705,9.481049625862155,6.3866728023637735,23.041859613342805,45.57127099325552,17.206489937179807,11.666423958636724,10.405440028372427,22.080935591766835,28.053858850921213,7.2076103486999274,7.789323651412501,0.715563577391382,30.18168154602229,16.639134025143,9.815826453668208,8.58524848446332,2.1028726780484854,16.878420526770157,17.612222350043055,9.870997679962967,12.264265824972897,3.7854342564579713,5.104420879695447,3.1013406771194405,4.22717014400531,2.6350435780140087,0.020121279780979974,8.005385060609635,0.06130484561571962,48.47825834623563,0.8806817396539967,1.358644186303645,0.7456742285195805,0.2821783234079983,3.041836261701982,4.389245915795776,3.274479934900992,0.2229058980552438,2.4518050993455396,1.1118162158664298,0.0064633648043092625,0.010224074705814016,2.7395321776148083,0.8293593196245831,1.2153639973082824,1.7452523587541848,2.506115534735829,1.7253476588030603,6.3740650045266,0.14656975722235058,0.9560319736907246,7.150127768151804,4.368912871076944,0.1678492055420679,1.1945509868418456,0.7842880081625666,0.674848868292091,0.501267984226446,1.344147614813246,1.1508223282255945,3.339731099495728,0.7372414254950801
13,8.723962586950847,33.795014614639676,1.7193246308025758,0.12886727654471414,2.9690058293058046,6.174283378899904,8.310485118479892,31.76150192214771,20.55273628108021,70.10892154078356,9.345295212156534,9.277762069174376,28.92383026467398,55.29714674615392,18.83800604646751,10.832067233646367,13.514058793527376,22.90024718354491,31.81647403265857,8.120614231981904,7.427816159237755,1.157882189177849,35.7037412904224,17.062352437571192,10.193712756548564,9.546567173176905,3.255559387262018,17.183323995237302,19.371093961818982,11.858537098441678,13.915185895424955,3.2870754395058803,5.1262885648102525,3.120247869653306,3.967806778822229,2.2851528273134725,0.0398315638375527,8.288479794337006,0.06935707645382214,37.83622291840673,0.946062010618974,1.5307735732505063,0.7024303021704387,0.292699565781161,3.4126718587891713,4.418587769986889,3.162084334590981,0.37333466833701223,2.943396688165262,1.4655222336298068,0.022271296782673637,0.01139014322674612,2.930507289839384,0.6337939678920281,1.0056537479899166,1.9985545323372214,3.7864936127803803,2.4767061151284526,6.932244074181983,0.16873952947463672,1.2544078816672006,7.5762417967082385,7.516883743364843,0.22248381197120606,1.2543580237652114,0.5811039204053571,0.821519311807143,0.5800143595952598,1.6176038517714015,1.245108304592983,4.182843182233692,0.8063384141902644
15,8.227915349369459,35.33302955719774,1.9539386490907027,0.1266668313105509,1.8618581090294821,4.339343844028763,8.966870198717094,46.75016252140708,10.878668123076892,80.90755178028812,11.606408466601534,5.48495049161973,24.09965902995436,63.58863303387549,25.04158801123029,10.432466327190802,15.284501342390596,19.488979379607002,36.292306597249485,10.804892713209437,5.322253563642827,0.9631851782527231,32.704615680069246,19.517793500635566,8.007580266908535,8.53229875995756,1.1007637376076744,21.186661129172645,15.564132757488977,8.980766469497553,11.311312006297946,4.386795675733029,4.603537375087306,3.5743615074841744,3.7536324554635185,2.321218440172438,0.03866951592103747,7.838884909940951,0.07066505128514611,51.70746925406968,0.8638991606194711,1.4115847538301831,0.7301333760151602,0.23284367369856618,2.9971079285034214,5.385889633477654,2.8716090960145753,0.28417927225257045,2.7460218868250967,1.1188373843921042,0.016883964949452466,0.010002714563946642,2.6027912470404435,0.7667621516370333,1.2330417628765826,1.8778618646070386,3.704368780816804,2.6996950133697037,5.727520946641296,0.11740991871524416,0.9508690324062958,7.34893199132934,5.37393852268203,0.19201440706477238,1.2115199570222297,0.45483553109569747,0.8319573211035461,0.6328879714929334,1.5468236625479461,1.4577456321248556,3.769636324957387,0.9194029622494244
17,7.794140477385423,40.11377019138907,1.7685002001919277,0.07004515060268701,1.2188080499900145,3.1414504961922405,7.755379572845825,48.06648112464349,8.8376223853399,77.7804469074473,10.60834839028757,3.7183877493405517,18.492502000802727,50.557323476620105,22.517209716058485,10.882864406966911,11.824673084845077,17.264076766641466,28.33147836503877,9.14051994361427,5.149186468012379,0.5663495285105007,26.462585572908942,18.005306623579145,7.90437260254518,8.657467349117676,0.7415757408871078,18.934707700781896,14.987060206079212,7.093589956761729,9.505326734065811,4.277279648422366,4.891844164357045,3.5952244588983198,3.9980166381981364,2.755939489926391,0.039189080556270656,8.312239171137165,0.09036527363418766,62.729950929606105,0.7472308880720641,1.332000777058502,0.7133487629763543,0.2293710735155257,2.6526995271471434,5.349996965608232,3.012989591175702,0.18429885350637326,2.5345878399390283,0.9609516410117295,0.009047264297250047,0.010473221487580836,2.2866822985655357,0.9074238841919375,1.2043613447462915,1.6934816455299284,2.5172950058283767,2.11857147267985,5.114245731401867,0.11247174711135154,0.8104232535057678,6.807751533410676,3.5132396330335287,0.15767632223527484,1.302293656487478,0.5933782633853067,0.6996871154874036,0.6041424256854151,1.3525521164311352,1.4117644091906774,3.1561628571820104,0.7944790758863852
19,9.541330802006538,38.55643649773125,2.254603483781146,0.1513565648379154,1.9471289856942438,4.984995417260183,10.975360375919475,48.01856097209598,12.063068112541513,97.81855440179064,12.320982878633405,6.046653550764133,30.20991961686518,78.00346319773087,28.031210275754205,8.48656768521151,17.966919021061376,21.054784864410628,41.32081467074854,14.89303214196562,4.993009821558384,0.937006693506367,35.41495198012924,20.029026991369346,7.591769510613256,10.095258338096924,1.060124681747952,21.26523731673426,15.064616340496858,9.445996146446419,12.228444564862352,4.620609219046375,5.394755684506961,3.9292653611736545,3.92928822498668,2.8973091084556257,0.04397838694409379,9.019648736710307,0.057926335377209814,48.13784478259564,0.9211356878317706,1.7202151893898112,0.6854053236400067,0.21464445620455377,3.1895445652520213,6.20177783061118,2.9288311990029214,0.39190003801155415,3.429448261342779,1.3636200788657231,0.031099195615149122,0.009696709695607795,2.540608596115505,0.7768197100640891,1.196372385793331,2.210601705640421,4.734345604350718,3.704050223886643,5.757237480412536,0.11570106160574264,1.1195966107335333,7.464499874706577,7.685121898817251,0.22552781205062294,1.4833185246907514,0.49733981304165764,1.0456503943578042,0.7610218285272634,1.9669441789687023,1.7539520196817466,4.434673594136178,0.9491925822422449
