phenotype,outcome,n,oof_r2,oof_pearson,oof_mae
meg,delta,103,0.11634413914302488,0.5166654510171182,0.02681688923001016
meg,theta,102,0.10371916065504394,0.6089397029865762,0.019023504433469045
meg,alpha,103,0.17233465915609503,0.49193507776436596,0.044345249999433525
meg,beta,102,0.20162189421667842,0.7740626107916632,0.010541372195151737
meg,gamma1,103,0.27368439276289935,0.6084173602494958,0.0024378548338335696
meg,gamma2,103,0.4036371260277516,0.6412278564912767,0.002034530632948733
enigma,22q,105,-0.6852300182873485,-0.6259586815971299,0.26874189672602783
enigma,adhd,105,0.43474430637676065,0.6970677690076619,0.032012669169990106
enigma,asd,105,0.03457871044609373,0.30869412458809303,0.06727764027826788
enigma,epilepsy_gge,105,-0.11976409233674867,-0.09186760579040888,0.05925602399814604
enigma,epilepsy_rtle,105,0.425302342751516,0.6716443164741145,0.08087248206219737
enigma,epilepsy_ltle,105,-0.3736566932842953,0.38267170593813643,0.13789901004341737
enigma,depression,105,0.01838777549004733,0.4723214769597753,0.02613241657126382
enigma,ocd,105,-0.060982061061272796,0.4123662568796902,0.021287307476390974
enigma,schizophrenia,105,-0.40604434719010185,0.24449346076713055,0.06693827653044991
enigma,bipolar,105,-0.37404917246164104,0.15504992070312262,0.05101537929895168
enigma,obesity,105,-0.44260501321798107,0.11852278367080954,0.05498382302508211
enigma,schizotypy,105,0.10518261476634538,0.34199308459483335,0.010015366858226309
enigma,parkinson,105,0.7166444978150276,0.8465925846200103,0.019240869101760413
