,Astro_1,Astro_2,Chandelier_1,Endo_1,L2/3 IT_1,L2/3 IT_2,L2/3 IT_3,L2/3 IT_4,L2/3 IT_5,L2/3 IT_6,L2/3 IT_7,L2/3 IT_8,L4 IT_1,L4 IT_2,L4 IT_3,L5 ET_1,L5 IT_1,L5 IT_2,L5 IT_3,L5 IT_4,L5 IT_5,L5/6 NP_1,L5/6 NP_2,L6 CT_1,L6 CT_2,L6 IT Car3_1,L6 IT_1,L6 IT_2,L6 IT_3,L6b_1,L6b_2,L6b_3,Lamp5_1,Lamp5_2,Lamp5_Lhx6_1,Micro-PVM_1,Micro-PVM_2,OPC_1,Oligo_1,Oligo_2,Pax6_1,Pax6_2,Pvalb_1,Pvalb_2,Pvalb_3,Pvalb_4,Pvalb_5,Sncg_1,Sncg_2,Sncg_3,Sncg_4,Sst_1,Sst_10,Sst_2,Sst_3,Sst_4,Sst_5,Sst_6,Sst_7,Sst_8,Sst_9,VLMC_1,Vip_1,Vip_2,Vip_3,Vip_4,Vip_5,Vip_6,Vip_7,Vip_8,Vip_9
1,0.95559708763267,2.495033523070547,-0.7227904935144913,-3.140499585043643,-0.3419331970297801,0.27456364884453066,0.8656493402866383,2.5607430876426815,1.3742626450386388,3.085274392402365,1.2324919556636083,0.6371386017658409,1.9525655379452855,2.661986893353606,1.789939717256292,1.3105822408602075,1.278800857976747,2.0086038350791036,2.218532240024683,0.9503900594857262,1.0728499952438861,-1.348836544031684,2.3156467167337533,1.7074802438444459,1.2036965411966998,1.0099595046495624,-0.569866328348847,1.770036737709931,1.7245698188596155,1.0837057773043064,1.3171652455813545,0.105736839810322,0.5820618118619292,0.17507566900972993,0.28118468843499667,-0.2429110393911822,-4.135665776577459,0.8864457532046455,-2.583853778173146,3.006439844865352,-1.161212286681348,-0.7876897418731721,-1.4779989943792753,-2.189597888469435,-0.15723794794614765,0.45304439639942107,0.10522045259724333,-2.895097175697587,-0.39576902199685815,-1.0691113521644064,-6.7485701242003,-0.056799860346103515,-1.3020105385418752,-0.8287882621756104,-0.6039414577546189,-0.33044015796980464,-0.37966061290894704,0.7025364011960127,-2.9181652782012995,-1.0033766436880862,0.7213150179060976,0.3337660846088557,-2.670725182448238,-0.7742329130465366,-1.1961354841349143,-1.3391381192912775,-1.6604467103020797,-0.7867517601224296,-0.8389273416894811,0.02953660889940224,-1.5814482161067351
3,0.9757393443124363,2.5331028631949537,-0.5903736937728157,-3.281679210348316,-0.6929561867672804,0.12975563785072364,0.8292255904686776,2.8352270531898847,1.1060878921881958,3.1257743975723495,1.3387195189944165,0.308233267519026,1.7781641981716665,2.7231499489265945,2.0375417003515484,1.2880348561223576,1.3960907318386808,1.7997749191067935,2.2176462820318252,1.0521229981719395,0.7339247291704796,-1.3963889323298755,2.27811240224412,1.780726313133988,1.0938072789624673,0.8654460746422812,-1.1093299480320198,1.8689066507819385,1.663040963835321,1.0114654491992106,1.1807049631369715,0.24263678562871505,0.5353710487969883,0.33876921692369955,0.21492257984641672,-0.3643106612649163,-3.749678420636342,0.935203344911038,-2.265561412010345,3.189587723126928,-1.3220533223349857,-0.837037907833813,-1.4357094284377885,-2.2558620944358276,-0.15385632376057767,0.5828122372611251,-0.009102952938983222,-2.9642245774594693,-0.28062521380321304,-1.218793018030925,-5.674358755402099,-0.17134029584737753,-1.216674620437927,-0.7864774300931874,-0.6068463503561325,-0.234717713918549,-0.34424693999559786,0.5352888429925411,-3.119013128325798,-1.0737054664435526,0.7473182026961664,0.3216257501159179,-2.62870199648206,-0.7509194098910781,-1.381304446873595,-1.367066913659115,-1.4236157862056844,-0.8148881259657967,-0.6839639814173717,0.016179723235906884,-1.4048568151418088
5,0.94957222069967,2.3145104172589686,-0.5645555073826518,-2.433884489941975,-0.5000463234460355,0.3987191825700398,0.8954454760761221,2.6446532611494913,1.3313455144883832,3.076503085791769,1.2735340751034059,0.6106691289225576,1.9483588591381382,2.743626236484601,1.9597315031739537,1.2339225625111503,1.3659722995310024,1.822766819804071,2.270379985696917,0.9092774324137887,0.7342979256878372,-1.1881419329227505,2.270361744532095,1.738398917093778,0.9746909504347974,0.8848452062822085,-0.7120116655252824,1.8298604000094327,1.6429533147450281,1.051521486534476,1.2216747896598177,0.10463029592435635,0.4119562128269987,0.1891723118034525,0.07732122154438148,-0.43221839302565535,-3.320607866269082,0.7642894779219969,-2.4891747811231992,2.782824415140142,-1.3728287935906565,-0.9095354474133526,-1.524049281252629,-2.369458475091249,-0.19345864337222274,0.4207161523800842,-0.12706001114255994,-2.7019416046895124,-0.28457801355838086,-1.2016152698320264,-5.5127379716674465,-0.22738205335665995,-1.3490025764562263,-0.9085930869433181,-0.693187354249563,-0.06112589433874405,-0.34867966327558175,0.5349691034993267,-3.143194341007991,-1.0821943765089648,0.7180911532392793,0.5695337855733076,-2.5779430377907486,-0.9076961630622487,-1.7499252316035792,-1.2703896113583237,-1.5680543709368902,-0.8960451237005156,-0.8799530224196266,0.07580935867309968,-1.2456359060643312
7,1.0383244425706861,2.5713371894923402,-0.5983180814453561,-3.1889385330682245,-0.5992341648669148,0.11650910963050531,0.8066492282427005,2.844659122098856,1.1067927630296568,3.1388098720280224,1.316764118125735,0.28377004303563513,1.7247660031959877,2.7045662956037018,2.013124975044741,1.2885747857019894,1.341828728291656,1.800920547501967,2.1986036011822234,1.0352542680675665,0.7790549737069332,-1.4285577458723964,2.279480769195438,1.749006469559487,1.10798845307451,0.8783649358230523,-1.109135373364019,1.8401930977433985,1.6525467399891074,0.9517506353007068,1.1872508129859014,0.18618185368652362,0.590984724244696,0.3598588406644758,0.25809630376204407,-0.2668884919314847,-3.5719255065017474,0.9646200780006211,-2.0323004876548714,3.24225697988967,-1.3120184724794877,-0.7833660847447295,-1.4413943010273513,-2.1697569889010886,-0.1809900728661491,0.6055652068138659,0.050841987373186015,-2.9851970642135814,-0.3043329737441667,-1.1963950991806076,-7.12002424341639,-0.17829152469230625,-1.190688374516351,-0.7755895808115847,-0.6085911356235467,-0.2657316305875801,-0.34857887766374684,0.5400495088548176,-3.0082226235692495,-1.0526342348433637,0.7642238434823438,0.504288229825347,-2.5481208332848864,-0.6833964543042192,-1.2275100598572024,-1.3431551017821768,-1.4356675207460228,-0.7811496289216882,-0.6351545130088505,0.011177759048960567,-1.4637815163777432
9,1.0608135752099557,2.5485393749570755,-0.73627715426524,-2.120039286570255,-0.5630803688784951,0.1372270914964293,0.8800173163138831,2.6971047129805616,1.1936499881493683,3.109909020179417,1.152478684850447,0.3445926702087396,1.7634600318923654,2.571292622658691,1.8430251511901248,1.392045464127742,1.280752328463353,1.8703005515568845,2.157448127281378,0.9856571249630379,0.9103818097039742,-1.335463340213237,2.2428938067994255,1.751834964199051,1.093588963277778,0.9889968136731904,-0.8997274521368093,1.8651341272127806,1.6629891164862776,0.9841651914908942,1.2412661510932796,0.1715922676602748,0.5456344527890922,0.24614869937127004,0.23831883658424413,-0.3316102696135763,-3.4588792400632613,0.9355903991971681,-2.240027644082252,3.2350670709437397,-1.306187573593073,-0.7746702532206298,-1.2430656122254913,-2.2670702364264095,-0.24681969459494812,0.62740113639875,0.06558138063578234,-2.840250579653116,-0.4567189508509637,-1.2278572448686482,-7.31963158909098,-0.1558601330761178,-1.3044733910023458,-0.7105619506242382,-0.6583901987099106,-0.3095559763634821,-0.326869791295322,0.6360689022834158,-2.8990556495161233,-1.0553893846136155,0.6340814532486343,0.407986369892245,-2.653747933910317,-0.7232281098064357,-1.2493598151871472,-1.333669785106184,-1.6815232343725013,-0.8567738102861711,-0.7583067819802034,-0.042305644034010825,-1.3865876691892236
11,0.896275649114143,2.4200920953221026,-0.6946681281599689,-3.0954138165653573,-0.34980760815532186,0.3722018198822239,0.8215537755130189,2.47245308649387,1.5132974669140968,3.026162557933512,1.1752442609131295,0.773012754180856,1.9847975819207955,2.661888661083922,1.75957054282701,1.2480007815689662,1.2732801916854388,1.985126229534508,2.198929390520294,0.8895377445722579,1.0052356552193453,-1.2497129099614686,2.3133385933051636,1.6894217666004017,1.2032843688009436,0.9728500563453908,-0.26918119271109475,1.7331763079976783,1.7553184984032844,1.195766278026067,1.3415058679192757,0.06639715235888488,0.5248385240043643,0.12083751235098195,0.22031303045610695,-0.31129358156961384,-4.287110772490169,0.8519395684011686,-2.6927797129145246,2.8408695410661737,-1.2194048610497052,-0.8651333677605999,-1.503181321431545,-2.2043942709328723,-0.11001880246956386,0.3543385596090811,0.0350738625369349,-2.756126368671821,-0.3324612528542765,-1.0370942009465134,-5.995869843831525,-0.08381359930268406,-1.3384536766895616,-0.8696460302964137,-0.6141728290491626,-0.23708140934879207,-0.39497412554637545,0.7040736155157035,-2.977715366238516,-0.9979778806213666,0.7330563970727377,0.3638156134924726,-2.614479370052581,-0.8533335988751798,-1.2965647629458736,-1.3730215187709183,-1.653621894444968,-0.8225410294707727,-0.9022225003714066,0.06519853104332451,-1.5588022860052817
13,0.8645380448474969,2.187046768380831,-0.6680867301468103,-2.7387742984824097,-0.11446882403315506,0.5501162086306266,0.8083173289990411,2.257604110714042,1.7447201931051293,2.986974741338546,0.9659161167111732,0.996344698520419,2.066104778368068,2.785456987870099,1.6989690357793212,1.0811808369109261,1.345949123823099,1.8595998011715529,2.253512276791908,0.805659336310188,0.7124549171391621,-0.9688265200201274,2.3641222467847443,1.5645893771003716,1.0708401082765073,0.9311374225306865,-0.03596511436899519,1.6132471921579086,1.6829844909489027,1.2384684555988725,1.3430787608534631,-0.1867206313555334,0.33266429374723483,-0.01747955664846046,0.03198303115891221,-0.2252740406254592,-3.5924907604956404,0.7050794319011287,-2.8782187872379312,2.517264186462058,-1.3840509582142646,-0.9400655382636414,-1.6596309013973922,-2.194841525535262,-0.09377704648965324,0.19698985958791582,-0.0875713836955736,-2.388578478686494,-0.2795809585834501,-0.9743672187468277,-4.754888868990437,-0.17339756385015725,-1.7146641853100615,-1.2025260779931175,-0.5907314663434526,0.10019864634800246,-0.25577052575863757,0.6487261792644947,-3.0789987500107854,-0.9334393116580619,0.6870078041204861,0.6405018036424952,-2.4554111366566955,-0.9382406950389326,-1.6802877258681495,-1.4033405658150224,-1.7431564415501049,-0.9008129478769114,-1.0721934480572832,0.16149197720897313,-1.4742115892999186
15,0.9573498220579832,2.2941486991688,-0.5071054939702835,-2.5227622061415858,-0.5430860344729389,0.313127588813356,1.0028475624369415,2.7412965721437845,1.185027737062164,3.2262724340064013,1.2805013712298674,0.5278753535289189,1.9097320395723454,2.9522191951515526,2.0727752328760087,1.0763161488284902,1.4771006719824085,1.709226211556914,2.4147804997725015,1.0963673841955313,0.41923804157225053,-1.1687367673737032,2.289705261139164,1.705139317732956,0.8317368821541766,0.834467829135396,-1.1104660937790527,1.8327234398147083,1.4811358341024854,0.977944909533849,1.1666230328651812,0.16166898716615474,0.3437851183539449,0.22542378870082747,0.01450940361499331,-0.2503838075275988,-3.539506192994936,0.7312897385680035,-2.5041260876984035,2.848564990978166,-1.440631917049032,-0.8828013864171842,-1.58738305674831,-2.4890886216201364,-0.23406744559566306,0.4880307032890485,-0.18144320879689335,-2.6580118597342954,-0.2869376559904184,-1.188916995534706,-4.919213386650241,-0.27947954285272125,-1.460642834200561,-0.9511674577233791,-0.594159766649109,0.07655764361517292,-0.09280009022416369,0.47542806466924326,-3.2016330774051402,-1.0807647244082776,0.6995497539960791,0.494683430087715,-2.464940934959823,-0.823943473317641,-1.8771345406279396,-1.2101625549934578,-1.4883642686557268,-0.8561831356890304,-0.8296608696422139,0.13121486115005876,-1.2406800671789773
17,1.0832995405849246,2.544411430232242,-0.5697849524926664,-3.3291314894042863,-0.7548792933692905,0.17522101941232204,1.0218094415478003,2.8730655699045897,1.111964928360063,3.3181338796262514,1.326056881796105,0.2719457228418696,1.7612658839783122,2.7846181810405235,2.0533305650180176,1.1993483679254124,1.3801296007434631,1.7306764692019656,2.232176612684238,1.0820246891005887,0.5703850825267089,-1.4416279448842824,2.2183673396080437,1.740915640577457,1.0008583276732628,0.9835113830764772,-1.3537978265482042,1.8337857309830428,1.6078460203418188,0.9488627851434286,1.1419173157543954,0.2316556966877643,0.5760839188809115,0.3181914521436342,0.1578540225720495,-0.3978856787054079,-3.6237757202283696,0.9589234653561514,-2.1664405966381235,3.1280566224131308,-1.4438337506278973,-0.822288552947013,-1.5883222560256325,-2.337090138210897,-0.24627364202270208,0.5887212847889227,-0.07025113341451839,-2.9022627373388428,-0.19795596799158321,-1.08285385558594,-5.828062614125825,-0.30484256098005513,-1.23878249515034,-0.8792078666337853,-0.5670319683315279,-0.2089459071157087,-0.12232056321794982,0.4760745864693563,-3.041624066398688,-1.0387881231616838,0.6968030816977286,0.5553302248662968,-2.547771061693764,-0.6904579762837821,-1.4303635871386602,-1.22136169157758,-1.4451952913876376,-0.7800746194647274,-0.6589784001020362,0.04630247320925651,-1.3976609095690309
19,0.9233490724446254,2.2079553782506434,-0.47515936277786697,-3.019201378970667,-0.4701954332323357,0.3833957493268674,1.1221825225262476,2.6379183973716893,1.2890524506002752,3.2949349038724614,1.1814576377065462,0.63030443712191,2.0595755543744145,3.062447948610984,2.0371988496121696,0.8161128765816086,1.5564187453139056,1.7366932041477674,2.450166942076316,1.3114328239431696,0.33362994809121105,-1.1238449885634454,2.3083646143885805,1.6161880369563861,0.7301147492510784,0.9167934585034274,-1.079893082784638,1.7477887638861223,1.4094803613582698,0.9676497045648471,1.1795524909383364,0.11862739516665677,0.362988412940358,0.1929066150646408,0.03293026625262119,-0.18531090406280537,-4.175020029736347,0.7307654592396995,-2.9942784173493724,2.673743338790303,-1.439439572381021,-0.8243962757819672,-1.692572741865499,-2.697343041461183,-0.22991405563544287,0.4770920090567836,-0.20342606899074944,-2.312045897373941,-0.17897895707397282,-1.0486756827421333,-4.504229097524076,-0.3590362545897898,-1.6035142422804638,-1.1479029258964335,-0.5233560577329568,0.23355775615785124,0.13524078642306048,0.4367781996647073,-3.274363257214599,-1.0568529679100251,0.6730398540370333,0.5641195852141516,-2.389609439593773,-0.7320370856679626,-1.7273428860040978,-1.1115052177357354,-1.4241936057081785,-0.6708799678682356,-0.7272489544730432,0.23684143973146732,-1.3770228885763984
