,delta,theta,alpha,beta,gamma1,gamma2
1,0.3312916154744195,0.3099467358628257,0.2159518640549456,0.1079102963941996,0.0248076506447596,0.0100918413277287
3,0.3474726275951033,0.3164290766936439,0.1948020516955939,0.103601349241252,0.0257071818195627,0.0119877111964344
5,0.3684006973515825,0.3118081570932152,0.1788149490457287,0.0960881000784228,0.0289152691146398,0.0159728293169256
7,0.3182067388416367,0.3074202339140757,0.2253735953947309,0.1136112702897715,0.0252454318642959,0.0101427274141514
9,0.315159804163835,0.2949260397599293,0.2422702985696303,0.1134318438860086,0.0246719162624615,0.0095400969115778
11,0.3557986833198726,0.3145563038643341,0.1914889438633333,0.1004683822393417,0.0255845384999063,0.0121031459747699
13,0.3777055015326828,0.2982031907285413,0.1802050909928737,0.0955868171507953,0.0306226584850059,0.0176767422542256
15,0.3709044175747349,0.3014770204520357,0.187447729031684,0.0978362031527975,0.0275251829780597,0.0148094482308263
17,0.3487081979329769,0.2956741031163778,0.2110146957330214,0.1083411146815006,0.0246464254286808,0.0116154610107724
19,0.3787669936033684,0.2885732921793705,0.1886883100538741,0.0958125487439275,0.0303651515878443,0.0177937059069243
21,0.3703134693102163,0.2853635014589473,0.1970342203685781,0.1007840482523236,0.0296222830082901,0.0168824780144189
23,0.3564299208803411,0.3076505228602813,0.1930902217246272,0.1047884869657776,0.02570648259409,0.0123343635379033
25,0.3300296043648439,0.3043166658457588,0.2182320142493528,0.1128857079089856,0.0244524603161741,0.010083543198804
27,0.3879905657126353,0.273238978936122,0.1893096155845202,0.0933348072836032,0.0341073646854895,0.0220186670382435
29,0.3509188285447601,0.2852055771010263,0.2187257894223794,0.1072182087297726,0.0251122643064735,0.0128193340243253
31,0.3667995685531247,0.2785361761046994,0.207223101585142,0.1014805280873852,0.0290625683482616,0.0168980611428137
33,0.3559415842572304,0.2738624496819222,0.2210097636466157,0.1037196196003319,0.0285923025022222,0.0168742804902873
35,0.3735224713172231,0.2713185657347952,0.2082231933517115,0.0964901590985911,0.0309070175247533,0.0195385948488754
37,0.3650270022904675,0.2766510975953624,0.2203059699489266,0.0979905628203028,0.0256767017324326,0.0143486622190977
39,0.343929482055894,0.269666333359184,0.2407941772794047,0.1042645016671918,0.0260960368954754,0.0152494625538481
41,0.3896590704443278,0.280861123016587,0.1916950257426058,0.0918142736234046,0.0289491604651427,0.0170213477427346
43,0.3845199593726326,0.2681180573561612,0.2105430878260556,0.0898152602946057,0.028687884034041,0.018315753740642
45,0.3916300362048868,0.265390057304052,0.213232844027394,0.0853934934643726,0.027033221559318,0.0173203468052202
47,0.3988013029398031,0.2655311322691452,0.1986806671224047,0.0866353792611079,0.0304528651899428,0.0198986545560797
49,0.2926410560200854,0.1989334711305252,0.1794861549647843,0.0656735855041117,0.0192469362589735,0.0123114760130325
51,0.3749839792036897,0.2699746394891874,0.2170243912963505,0.09337683841233,0.0276238494045079,0.0170163018099292
53,0.3068494006603179,0.2705152182875272,0.271499562179875,0.1181783204177816,0.022703576385079,0.0102539255520802
55,0.3004796670108545,0.2888439235140065,0.2534737207850472,0.1231834289724709,0.0245900436136566,0.0094292172948356
57,0.2742923192617272,0.2661460608410902,0.2983023389046933,0.1285863257005435,0.0242286196463749,0.0084443335403122
59,0.290942380459685,0.2851060454782687,0.2654434399385201,0.1224756267509962,0.0259426043908062,0.0100899029376083
61,0.3304006175389365,0.2540826942712542,0.280858484147087,0.0971248581295921,0.0231254507329255,0.0144079019921639
63,0.3354861549148459,0.2834996597590736,0.2342648410624124,0.1104070884925079,0.0241896546983939,0.0121526003503154
65,0.2747198615696831,0.2586258863358153,0.3190328388689309,0.1167575881858052,0.0226236491550489,0.0082401760783417
67,0.2937715676888613,0.2773593902378015,0.27053252093389,0.1241564968941916,0.0251241336432351,0.0090558860372279
69,0.2534230885931024,,0.1628306265308263,,0.0178849677262311,0.0132901436373801
71,0.2952363053011516,0.2469640828314281,0.3412296061477964,0.09029567163615,0.0167874649019231,0.0094868689139802
73,0.3239434494882448,0.2445483857056586,0.312624937133809,0.0875563066780068,0.0193839565515674,0.0119429636672606
75,0.3022195824980735,0.2464528449624776,0.3342733033001422,0.0871679445728659,0.0182777983509004,0.011608533123508
77,0.3519408268806261,0.2425159309154901,0.247096650646283,0.0790571399988272,0.0227052601293111,0.0156585519416974
79,0.3485582078496615,0.2469056118031342,0.2831732389330864,0.0830339855452378,0.0225660092197358,0.0157629477170606
81,0.323961194493983,0.248061980351363,0.3106800483004882,0.0813692073420722,0.0209452820628291,0.0149822861952061
83,0.3614415369058018,0.2456697195314514,0.2648308929906884,0.0817433831655434,0.0263223888229597,0.0199920773543984
85,0.3008723246251664,0.2438253096145827,0.3380413635111436,0.086211536306797,0.0187947355755945,0.0122547275329962
87,0.3268921210075155,0.2473038681951405,0.3137009975637898,0.0808218275521127,0.0186964415641589,0.0125847462341604
89,0.3481399723842962,0.2417777242945201,0.2949227757418333,0.0788339335304587,0.0212429226167611,0.0150826663307067
91,0.3098150319778002,0.2460288829528368,0.330039504246834,0.0836355909705162,0.0183936630447323,0.0120873283236645
93,0.3648597479394052,0.2406260754946058,0.2640165246165959,0.0816401371122461,0.0275541625389483,0.021303352677321
95,0.349924834253632,0.2460502514215273,0.283885407670636,0.0791057722173004,0.0234857857854009,0.0175479472849831
97,0.3039292583938773,0.2436310548818748,0.3379494702543011,0.0841673000054505,0.0183606230803118,0.0119622979483759
99,0.3213188887986922,0.2486805264887056,0.3118588626384735,0.0825384897284938,0.020804024378496,0.0147992043048703
101,0.3354593215303288,0.2440516958013177,0.3036262699299388,0.0798287376657956,0.021491422641298,0.0155425531621504
103,0.3419125774327446,0.2405030586701982,0.2967344760018237,0.0818241792566636,0.0227933992522166,0.0162323092055671
105,0.304538010122677,0.2305851239270676,0.3532360884518669,0.082353566068049,0.018131387119476,0.0111558255308066
107,0.3146443436683064,0.2430181023940234,0.3288743381768885,0.0820700144054184,0.0188985700653472,0.01249463257288
109,0.3337153325110306,0.2242968908430617,0.2681730040061621,0.0757035506360324,0.0212811542973842,0.0151016667692197
111,0.3299388984839121,0.2380492535599491,0.3132988674598828,0.0829380601644516,0.0213269162923097,0.0144479988273559
113,0.3202541866085746,0.2411684136499058,0.3200935753909024,0.084935504401272,0.0202390346506779,0.0133092802441255
115,0.3388395187182304,0.2380934670949593,0.3038238905943357,0.0819280235431133,0.0221252812980077,0.015189807742643
117,,,,,,
119,0.3141647052764892,0.2402609618504842,0.3222100234031677,0.0872281367580096,0.0217468022803465,0.014389365799725
121,0.3002410697631347,0.2476593238420975,0.3377944088899172,0.0870544669337761,0.0169375808384173,0.0103131529087057
123,0.2953240187307404,0.2443457255556001,0.3428476751874812,0.0899242252060228,0.0172214578145865,0.010336902270996
125,0.2510429917205691,0.2372242205274042,0.3704884468884992,0.1126490761940391,0.019985635642996,0.008609628290211
127,0.2489283233880996,0.2260079325461874,0.3895298609928209,0.1080814429995965,0.0188507481345108,0.00860169374441
129,0.2637118275121132,0.2433757906930047,0.3460304502004422,0.1199308084034771,0.0192520613637492,0.007699064355089
131,0.2573943099667949,0.2476335115490421,0.3433725557980999,0.121049870839042,0.0218465954786346,0.0087031511079159
133,0.2587473253050004,0.2402234623231083,0.3598399921114665,0.1144268479811618,0.0188650121934801,0.0078973573460486
135,0.2681629652754542,0.2242416473880909,0.3876675084304581,0.094245592747151,0.0170283870187779,0.0086538989673943
137,0.2715111245729805,0.2402424027486082,0.3509315971482606,0.1106175275236858,0.0180931406425928,0.0086042086476327
139,0.2777935496127385,0.248114009698232,0.3255053637814482,0.1187903864100151,0.0200403954715185,0.0097562948747271
141,0.2804742403539437,0.2489585702130997,0.3317971216567461,0.1085510622864195,0.0195093719625524,0.0107096368933912
143,0.2827162044768286,0.238432154004084,0.3575201884354695,0.095489415054274,0.0168070100008113,0.0090350278683172
145,0.2964197648583718,0.2525103712419294,0.3226028397960483,0.1006942669738013,0.018246253340874,0.0095265030078941
147,0.2558715104504868,0.232388105822934,0.378540731911306,0.1056536824338966,0.019275206092883,0.0082707665981379
149,0.2654093284553019,0.2482799279255483,0.3463829029445073,0.1119513388479774,0.0203223435264361,0.0076541620477491
151,0.2721725658458822,0.2234108882726927,0.3825214652584009,0.0946352527779171,0.0181685026231869,0.009091322403604
153,0.2787284243960595,0.243420972155323,0.3469339115075787,0.1026713058589624,0.0196432511344433,0.0086021346857756
155,0.2889064519493668,0.2573265456711804,0.2980559621475361,0.1231866762925077,0.0223760837150944,0.0101482813281041
157,0.3089090347290039,0.2523745768948605,0.3071830094644898,0.0997959609094419,0.0203225749348731,0.0114148386705078
159,0.2661181280452214,0.2428971214240856,0.3326052837827232,0.1285470210936632,0.021133347801613,0.0086990981153474
161,0.2641820545096534,0.259176943311365,0.3175219407934226,0.1258999861891959,0.0241832637308251,0.0090358125839472
163,0.3149499800913503,0.2470535332313641,0.3120534420013428,0.09254080275362,0.0209953221317115,0.0124069232275421
165,0.3621949767166713,0.2600573858000197,0.2390310259641341,0.0902831375880061,0.0288615979359678,0.0195718746685053
167,0.3529400797990652,0.2698074576946405,0.2368508885686214,0.0986039891265905,0.0260375082636108,0.0157600785533969
169,0.3461492644703906,0.2484461483748062,0.2795509888750055,0.0862534562854663,0.0236082670845739,0.0159918739328808
171,0.3270654591985724,0.2511900433931838,0.2894992824982513,0.093843861313706,0.0236564760350368,0.0147448779634115
173,0.3423168601261245,0.2615581390758355,0.2600550531513161,0.0960587844321573,0.024719165103441,0.0152919989044743
175,0.3019506811321555,0.2582719169911884,0.2958166934711077,0.1083772132794062,0.0239520732361774,0.0116314174913805
177,,,,,,
179,0.3645754058635672,0.3015251872739242,0.2017396144685945,0.0973811072360782,0.0236370825155087,0.0111416052510054
181,0.2297153693009046,0.1790479007694456,0.2347940221136691,0.06880895362473,0.0164744807102906,0.0097213652824946
183,0.32922376304244,0.28783053252846,0.2397555938611427,0.1060019367141649,0.0251959257972581,0.0119922471349127
