phenotype,outcome,feature,mean_abs_shap,relative_shap,total_mean_abs_shap
meg,delta,Astro_1,0.004103641509560573,0.021255785105688305,0.1930599829249492
meg,delta,Astro_2,0.0019569834318476633,0.010136660131211282,0.1930599829249492
meg,delta,Chandelier_1,0.005671327485015975,0.029375986670529576,0.1930599829249492
meg,delta,Endo_1,0.0018644974865237862,0.009657607227949448,0.1930599829249492
meg,delta,L2/3 IT_1,0.002213029996593247,0.01146291408019832,0.1930599829249492
meg,delta,L2/3 IT_2,0.0025682759697895825,0.013302994908002156,0.1930599829249492
meg,delta,L2/3 IT_3,0.002619738716097179,0.01356955841602651,0.1930599829249492
meg,delta,L2/3 IT_4,0.001171310432483314,0.006067080369206565,0.1930599829249492
meg,delta,L2/3 IT_5,0.0008043921080291626,0.0041665398278931,0.1930599829249492
meg,delta,L2/3 IT_6,0.0016458629283664747,0.008525137645983803,0.1930599829249492
meg,delta,L2/3 IT_7,0.0010940517276613012,0.0056669005719668306,0.1930599829249492
meg,delta,L2/3 IT_8,0.0006042270847273628,0.0031297375850398374,0.1930599829249492
meg,delta,L4 IT_1,0.0033929946148047547,0.017574820858260197,0.1930599829249492
meg,delta,L4 IT_2,0.002766252605985431,0.014328461880475736,0.1930599829249492
meg,delta,L4 IT_3,0.001674126629748639,0.008671536195045893,0.1930599829249492
meg,delta,L5 ET_1,0.004357612218327587,0.02257128666597666,0.1930599829249492
meg,delta,L5 IT_1,0.0049595653790360985,0.025689245921896187,0.1930599829249492
meg,delta,L5 IT_2,0.0017728896040692934,0.009183102459708041,0.1930599829249492
meg,delta,L5 IT_3,0.0012833184055392208,0.006647252248220194,0.1930599829249492
meg,delta,L5 IT_4,0.0018467352060016406,0.009565603280507628,0.1930599829249492
meg,delta,L5 IT_5,0.001421129813441763,0.0073610791418862705,0.1930599829249492
meg,delta,L5/6 NP_1,0.004133631972874387,0.02141112782798344,0.1930599829249492
meg,delta,L5/6 NP_2,0.0030870163544224932,0.015989933841559237,0.1930599829249492
meg,delta,L6 CT_1,0.0014819889945307343,0.007676313713892991,0.1930599829249492
meg,delta,L6 CT_2,0.0034564910206156766,0.017903715561600173,0.1930599829249492
meg,delta,L6 IT Car3_1,0.002173358182053406,0.011257424501577237,0.1930599829249492
meg,delta,L6 IT_1,0.00038334338292338654,0.001985618029772689,0.1930599829249492
meg,delta,L6 IT_2,0.001172511591692867,0.00607330205840054,0.1930599829249492
meg,delta,L6 IT_3,0.005866350804398411,0.030386156237664833,0.1930599829249492
meg,delta,L6b_1,0.0054863191398175195,0.028417692039008884,0.1930599829249492
meg,delta,L6b_2,0.00353416141743386,0.0183060278152399,0.1930599829249492
meg,delta,L6b_3,0.009235095418408988,0.047835368461619884,0.1930599829249492
meg,delta,Lamp5_1,0.0034728680906966993,0.017988544482813687,0.1930599829249492
meg,delta,Lamp5_2,0.003544430071028645,0.018359216743567823,0.1930599829249492
meg,delta,Lamp5_Lhx6_1,0.0028181211603675793,0.014597127367731642,0.1930599829249492
meg,delta,Micro-PVM_1,0.0015135651274859807,0.007839869788418915,0.1930599829249492
meg,delta,Micro-PVM_2,0.0020396008311882514,0.010564596558475471,0.1930599829249492
meg,delta,OPC_1,0.0015448340260656658,0.008001834469581456,0.1930599829249492
meg,delta,Oligo_1,0.0039016905549587684,0.02020973220781608,0.1930599829249492
meg,delta,Oligo_2,0.001633939818844798,0.008463379070534682,0.1930599829249492
meg,delta,Pax6_1,0.0007422754605226538,0.0038447919101454,0.1930599829249492
meg,delta,Pax6_2,0.0013441877421262562,0.006962539423039317,0.1930599829249492
meg,delta,Pvalb_1,0.0029495588254550256,0.015277939947822576,0.1930599829249492
meg,delta,Pvalb_2,0.003145857719762558,0.016294716658011358,0.1930599829249492
meg,delta,Pvalb_3,0.000533338694795512,0.0027625543456245094,0.1930599829249492
meg,delta,Pvalb_4,0.0008568909579672963,0.004438470080567691,0.1930599829249492
meg,delta,Pvalb_5,0.006107601112324871,0.0316357694628988,0.1930599829249492
meg,delta,Sncg_1,0.0019966222149241032,0.010341978615528404,0.1930599829249492
meg,delta,Sncg_2,0.0012917655704991484,0.006691006343874556,0.1930599829249492
meg,delta,Sncg_3,0.0028235655336550126,0.014625327791273323,0.1930599829249492
meg,delta,Sncg_4,0.0028965385549294316,0.015003308873467796,0.1930599829249492
meg,delta,Sst_1,0.000747635367225122,0.0038725548189640128,0.1930599829249492
meg,delta,Sst_10,0.004966021896417219,0.025722688985980735,0.1930599829249492
meg,delta,Sst_2,0.004151220470424158,0.021502231625276366,0.1930599829249492
meg,delta,Sst_3,0.00368457708726101,0.01908514147488227,0.1930599829249492
meg,delta,Sst_4,0.0063899748525414165,0.033098391265400026,0.1930599829249492
meg,delta,Sst_5,0.0014330460740171044,0.007422802241592406,0.1930599829249492
meg,delta,Sst_6,0.0021192845671782826,0.010977337380176505,0.1930599829249492
meg,delta,Sst_7,0.0026720601910735393,0.013840569912990644,0.1930599829249492
meg,delta,Sst_8,0.0005047418715176409,0.002614430312644625,0.1930599829249492
