phenotype,outcome,n,oof_r2,oof_pearson,oof_mae
meg,delta,103,-0.10750447593047929,0.3751569177267191,0.028065396917775057
meg,theta,102,0.32170325891038176,0.6391876672056955,0.016837208775771786
meg,alpha,103,0.5771603968103731,0.7826336716426822,0.035729425300560745
meg,beta,102,0.11840404252216852,0.7041875768941673,0.010537068831748703
meg,gamma1,103,-0.12430631272277481,0.2884762054382614,0.002904050756806152
meg,gamma2,103,0.09369394811144471,0.4513518299319251,0.0022915429796364455
enigma,22q,105,-0.8061853824526508,-0.6228498160379604,0.2798999595575197
enigma,adhd,105,0.5333686318152849,0.7449434618949826,0.028857763959268447
enigma,asd,105,0.4641162794551602,0.7294113028359084,0.05020855068274591
enigma,epilepsy_gge,105,-0.07974064318582474,0.048283866359524925,0.05861561533281617
enigma,epilepsy_rtle,105,0.5247362740533368,0.727866898858515,0.07587273998133347
enigma,epilepsy_ltle,105,-0.06209810235302249,0.21572868445279178,0.11192666872280702
enigma,depression,105,-0.12053568628571876,0.3805199711932506,0.02929842949685428
enigma,ocd,105,-0.04871939196106956,0.2745455922533534,0.021223068558874743
enigma,schizophrenia,105,-0.33452205398505286,0.30660721850276484,0.06407859778363778
enigma,bipolar,105,-0.45902753491396253,0.1277804010685198,0.05319595739568128
enigma,obesity,105,-0.5651412090259527,0.15344260569937052,0.05729656839527518
enigma,schizotypy,105,0.1561867811357498,0.4151835396309468,0.010037185046232024
enigma,parkinson,105,0.36365757913896335,0.6182958545286873,0.02838743673136591
