phenotype,outcome,feature,mean_abs_shap,relative_shap,total_mean_abs_shap
meg,delta,Astro_1,0.002945677301638384,0.01357215774666504,0.21703824525339
meg,delta,Astro_2,0.0016308132370003736,0.007513944075139454,0.21703824525339
meg,delta,Chandelier_1,0.005009101735148303,0.02307935050479341,0.21703824525339
meg,delta,Endo_1,0.0015271069091770263,0.007036118944816127,0.21703824525339
meg,delta,L2/3 IT_1,0.0006842368620634196,0.0031526096299966853,0.21703824525339
meg,delta,L2/3 IT_2,0.002467008703365762,0.011366700373409092,0.21703824525339
meg,delta,L2/3 IT_3,0.0030805719174302392,0.014193682379958897,0.21703824525339
meg,delta,L2/3 IT_4,0.0031568330856884975,0.014545054407359984,0.21703824525339
meg,delta,L2/3 IT_5,0.00194916563353378,0.008980747292985845,0.21703824525339
meg,delta,L2/3 IT_6,0.002868457576655859,0.013216369185564339,0.21703824525339
meg,delta,L2/3 IT_7,0.002662364295521825,0.012266797920401269,0.21703824525339
meg,delta,L2/3 IT_8,0.0036035931430644414,0.0166034937246073,0.21703824525339
meg,delta,L4 IT_1,0.0038615567279411244,0.017792056526409875,0.21703824525339
meg,delta,L4 IT_2,0.0022498165567336422,0.010365991275440897,0.21703824525339
meg,delta,L4 IT_3,0.0015928205630800728,0.0073388934803655026,0.21703824525339
meg,delta,L5 ET_1,0.0033843551121634356,0.015593358249889252,0.21703824525339
meg,delta,L5 IT_1,0.005088853086464486,0.023446803490893047,0.21703824525339
meg,delta,L5 IT_2,0.0036774537918236945,0.01694380539950599,0.21703824525339
meg,delta,L5 IT_3,0.0009446497499850934,0.004352457553654768,0.21703824525339
meg,delta,L5 IT_4,0.002524574430843598,0.011631933477420916,0.21703824525339
meg,delta,L5 IT_5,0.001354803022237101,0.006242231735035371,0.21703824525339
meg,delta,L5/6 NP_1,0.004251836942349942,0.019590265933941572,0.21703824525339
meg,delta,L5/6 NP_2,0.002606512712425362,0.012009462707285918,0.21703824525339
meg,delta,L6 CT_1,0.003430288493336079,0.0158049955174087,0.21703824525339
meg,delta,L6 CT_2,0.0024781333489496153,0.011417956987518118,0.21703824525339
meg,delta,L6 IT Car3_1,0.001882045091916841,0.008671490546376157,0.21703824525339
meg,delta,L6 IT_1,0.0020429461015259373,0.009412839194036139,0.21703824525339
meg,delta,L6 IT_2,0.0023515539403064687,0.010834744528832017,0.21703824525339
meg,delta,L6 IT_3,0.00602481602561638,0.027759236712324446,0.21703824525339
meg,delta,L6b_1,0.005006725936369581,0.023068404052586575,0.21703824525339
meg,delta,L6b_2,0.005677954635384617,0.026161078793996245,0.21703824525339
meg,delta,L6b_3,0.006132372573497716,0.02825480166566142,0.21703824525339
meg,delta,Lamp5_1,0.002346500771197353,0.010811462138655963,0.21703824525339
meg,delta,Lamp5_2,0.004175570565903976,0.01923886990990477,0.21703824525339
meg,delta,Lamp5_Lhx6_1,0.003343642734687589,0.015405776667535804,0.21703824525339
meg,delta,Micro-PVM_1,0.0011331365569841312,0.005220907290607725,0.21703824525339
meg,delta,Micro-PVM_2,0.0025870861121760616,0.011919954979158922,0.21703824525339
meg,delta,OPC_1,0.0015387253815509984,0.007089650857407881,0.21703824525339
