phenotype,outcome,n,oof_r2,oof_pearson,oof_mae
meg,delta,103,-0.1058822987631749,0.4345783887215563,0.028358163068490132
meg,theta,102,0.30506530425915246,0.7010548792190568,0.01662039884065416
meg,alpha,103,0.6387294773433263,0.83330429888605,0.03200757360282153
meg,beta,102,0.13260982048105963,0.7506464676586558,0.010742185906542776
meg,gamma1,103,0.060452272030470544,0.42792623539536057,0.002632175185872298
meg,gamma2,103,0.3168502982522936,0.5862829192162197,0.0019818547041632107
enigma,22q,105,-0.7893402709228605,-0.6051706956686751,0.2774948409660901
enigma,adhd,105,0.4058954935243899,0.7097449769453534,0.03081826380844701
enigma,asd,105,0.35546467736740883,0.6294929540516052,0.05231067950935471
enigma,epilepsy_gge,105,-0.18833976317860013,-0.11348222181740493,0.06183012061889951
enigma,epilepsy_rtle,105,0.6175990309690256,0.7887291581068733,0.06717384194897262
enigma,epilepsy_ltle,105,-0.05681790388771746,0.23461946057156563,0.11469109767584106
enigma,depression,105,-0.03986816939767057,0.46569710484949534,0.028322022446509602
enigma,ocd,105,0.05615394501085891,0.42080466556713725,0.01951931700796075
enigma,schizophrenia,105,-0.2346700416185632,0.35861954100779764,0.06269355257080608
enigma,bipolar,105,-0.33877327279538405,0.20004642552996557,0.04968655195783958
enigma,obesity,105,-0.9017401294991698,0.12401669999061295,0.06074267896465757
enigma,schizotypy,105,0.14537247169077117,0.3903027166477071,0.010020477792631901
enigma,parkinson,105,0.4275117106520182,0.6612153118921014,0.0270149842582465
