phenotype,outcome,full_r2,alpha,spin_p,n_spin,spin_q_bh_across_outcomes
meg,delta,0.910370417206418,3.162277660168379,0.02197802197802198,1000,0.0347985347985348
meg,theta,0.9568281632677461,1.0,0.003996003996003996,1000,0.008436008436008436
meg,alpha,0.9629859007994309,0.5623413251903491,0.04395604395604396,1000,0.05965463108320252
meg,beta,0.9503938200016566,1.0,0.014985014985014986,1000,0.02588320770138952
meg,gamma1,0.9282898128460902,0.5623413251903491,0.024975024975024976,1000,0.03650195957888266
meg,gamma2,0.8170332552641084,17.78279410038923,0.1918081918081918,1000,0.20246420246420246
enigma,22q,0.5939489451544845,31.622776601683796,0.2547452547452547,1000,0.2547452547452547
enigma,adhd,0.798367354245547,316.2277660168379,0.000999000999000999,1000,0.004745254745254746
enigma,asd,0.9673349662017047,3.162277660168379,0.000999000999000999,1000,0.004745254745254746
enigma,epilepsy_gge,0.35860707150548876,1000.0,0.17882117882117882,1000,0.19985896456484692
enigma,epilepsy_rtle,0.9246336036758815,3.162277660168379,0.001998001998001998,1000,0.007592407592407592
enigma,epilepsy_ltle,0.8600537593883351,10.0,0.000999000999000999,1000,0.004745254745254746
enigma,depression,0.8947138135407969,0.5623413251903491,0.000999000999000999,1000,0.004745254745254746
enigma,ocd,0.7609603418432116,10.0,0.002997002997002997,1000,0.008134722420436707
enigma,schizophrenia,0.8988058557445358,1.0,0.002997002997002997,1000,0.008134722420436707
enigma,bipolar,0.8125851207196618,1.7782794100389228,0.05094905094905095,1000,0.06453546453546453
enigma,obesity,0.830422903365641,17.78279410038923,0.003996003996003996,1000,0.008436008436008436
enigma,schizotypy,0.38407182920215954,1000.0,0.058941058941058944,1000,0.0699925074925075
enigma,parkinson,0.8079711757083448,31.622776601683796,0.005994005994005994,1000,0.01138861138861139
