level,outcome,n,n_features,r2,adjusted_r2,spin_p,n_spins,null_mean,null_sd,spin_q_bh_six_bands
subclass,delta,103,23,0.8281182633048811,0.7780767450265554,0.09090909090909091,1000,0.672746136307039,0.08976864577560549,0.18181818181818182
subclass,theta,102,23,0.8489368929669793,0.8043926434572424,0.0899100899100899,1000,0.6667037593840399,0.10770604621397072,0.18181818181818182
subclass,alpha,103,23,0.9119944547575757,0.8863725871553508,0.07692307692307693,1000,0.7975984243584602,0.0739301331484495,0.18181818181818182
subclass,beta,102,23,0.8630091564940781,0.8226144205884857,0.22877122877122877,1000,0.763686023186281,0.07403924515152724,0.28171828171828167
subclass,gamma1,103,23,0.7766195179524524,0.7115846940651918,0.33766233766233766,1000,0.6662115692076659,0.08804099856503805,0.33766233766233766
subclass,gamma2,103,23,0.8001707254831143,0.7419925822693374,0.23476523476523475,1000,0.678291814522307,0.08227761502235599,0.28171828171828167
cluster,delta,103,71,0.9850171214851853,0.9507014964996419,0.00999000999000999,1000,0.7827196041516911,0.11241398951193424,0.025474525474525476
cluster,theta,102,71,0.9865810405794615,0.9548228366175204,0.016983016983016984,1000,0.7996101097050113,0.11103999059197515,0.025474525474525476
cluster,alpha,103,71,0.9889809606370163,0.963743805966957,0.014985014985014986,1000,0.8867540654695005,0.054553045791059386,0.025474525474525476
cluster,beta,102,71,0.9810863537548581,0.9363240576413556,0.06793206793206794,1000,0.8646895816565828,0.05721652084126912,0.07292707292707293
cluster,gamma1,103,71,0.9779938392074216,0.927592632230871,0.00999000999000999,1000,0.7840165003552181,0.09449903116366347,0.025474525474525476
cluster,gamma2,103,71,0.9673863431635541,0.8926905484736296,0.07292707292707293,1000,0.7914251451104731,0.08143194318596196,0.07292707292707293
