,Astro,Chandelier,Endo,L2/3 IT,L4 IT,L5 ET,L5 IT,L5/6 NP,L6 CT,L6 IT,L6 IT Car3,L6b,Lamp5,Lamp5_Lhx6,Micro-PVM,OPC,Oligo,Pax6,Pvalb,Sncg,Sst,Sst Chodl,VLMC,Vip
1,46.027268011312486,1.5175589771704867,0.0946979349775125,143.06425431108156,85.51832144720862,12.679976186595264,77.85683224636614,31.02782656046127,26.32785698209071,35.78118732131956,8.865835856832797,24.471172605727713,8.50025777503089,4.412405577059602,2.9530610937655664,8.039145799388292,57.90800132486115,2.3317648886604814,12.267781756680634,3.5547208470585123,25.055019920446217,0.013274664628234904,5.026942199449925,9.889469131090012
3,44.73614510662984,1.6457113111022694,0.0669195299989707,143.82601721067297,85.33015196574844,11.538044567589639,69.98349222681105,27.955379734668117,25.800313161231625,34.85522058735371,7.272830421116185,21.146534120463123,8.194428020495819,4.009996924295324,2.7586825063784026,7.857435512071945,64.77210495531331,1.9971508035227392,11.857008396652416,3.2783216832139055,22.72813303233943,0.010442178543499835,3.6007575924843045,9.330782430104566
5,39.96518361584662,1.7641012155501257,0.11993605771113987,147.64664532335098,93.75974220227921,11.48168812206517,76.110048563142,31.19382910226035,26.157111296720895,36.842803556419426,7.9734841677652035,23.793455998346353,7.90281523831749,3.7502224862399935,2.024962312414634,7.336238199638773,45.03446847767409,2.128989540249505,11.411849124659458,3.8864609945851147,24.871007821888174,0.006659976144037864,5.407699539761383,9.8591256170959
7,47.39515037164802,1.6302997158846522,0.07866544779846808,145.74121266561713,84.34102823536335,12.029227759739832,70.0691737567389,28.625717227280933,26.06106924206314,35.00681463457052,7.446240188778702,21.036767606241618,8.425633525082524,4.176618258984617,3.2172549988659767,8.194305759387843,71.88893517942937,2.0404318387913976,12.152719545998707,3.1851914344980097,22.8226728838651,0.013736657299504853,4.31795539486982,9.449368707907599
9,50.45847780098449,1.4388109236569226,0.18007649139786328,149.0993446374987,82.23693250307956,13.862567798647666,74.71106053538854,31.006435318461154,27.14842703717123,36.90985875952107,8.58451478856717,23.480688325250156,8.827217200626789,4.388816909799509,2.7841830102583844,8.093798129486073,75.6558947922229,2.300939029453358,12.87530369867879,3.2582986079790457,24.407667887869287,0.012988777917091862,4.970490679910556,9.798847693917583
11,43.35038925444422,1.5876003796826594,0.0871794070938044,139.85184516262473,85.81962054377603,11.666423958636724,75.53716847117543,30.89724512341482,26.454960478809756,36.59351555485002,8.58524848446332,25.920697761394145,8.205761556814476,4.22717014400531,2.6551648577950906,8.005385060609635,48.53956319185902,2.239325925957395,11.733414664326288,3.7929905780719624,25.387765550430732,0.010224074705814016,4.368912871076944,9.894747521095738
13,42.51897720158878,1.7193246308025758,0.12886727654471414,158.4999913520287,103.05898305728398,10.832067233646367,83.77921040094537,36.861623479600766,27.2560651941171,39.80997734431601,9.546567173176905,29.06079843336957,8.246536434464247,3.967806778822229,2.3249843911508394,8.288479794337006,37.90557999486583,2.476835583869412,11.988473831317048,4.804524886914915,28.763342547998665,0.01139014322674612,7.516883743364843,11.31137318033316
15,43.560944906555434,1.9539386490907027,0.1266668313105509,170.795813534806,112.7298800750561,10.432466327190802,87.19293359610009,33.66780085832621,27.52537376753791,37.85155762427477,8.53229875995756,24.678874151527808,8.177898882571395,3.7536324554635185,2.3598879560929964,7.838884909940951,51.77813430536131,2.2754839144492385,12.217583707707961,4.165922508419493,27.029252709441774,0.010002714563946642,5.37393852268203,11.016823769660057
17,47.90791066877922,1.7685002001919277,0.07004515060268701,161.12692467609045,91.56703519347599,10.882864406966911,71.70993462815753,27.028935101418135,25.909679226119923,34.66334364774994,8.657467349117676,20.87619633925248,8.487068623254189,3.9980166381981364,2.7951285704816753,8.312239171137165,62.82031620325315,2.079231665130835,11.958405920423223,3.6888855987536373,23.572707916969875,0.010473221487580836,3.5132396330335287,10.072136241970743
19,48.09776729972894,2.254603483781146,0.1513565648379154,194.17530469471853,136.24459309034108,8.48656768521151,100.22856051972835,36.351958673643225,27.6207965019816,37.389978338976604,10.095258338096924,26.295049930361504,9.324021045681913,3.92928822498668,2.941287495399373,9.019648736710307,48.19577111798119,2.641350877221128,13.220203374710808,5.21606757383379,29.619833253309082,0.009696709695607795,7.685121898817251,13.117620747700045
