phenotype,outcome,feature,mean_abs_shap,relative_shap,total_mean_abs_shap
meg,delta,Astro,0.0011280263885674472,0.010893205880035395,0.10355320563938354
meg,delta,Chandelier,0.017801978358392073,0.17191141740590976,0.10355320563938354
meg,delta,Endo,0.002562056760478629,0.024741452904903823,0.10355320563938354
meg,delta,L2/3 IT,0.0027796625150310157,0.026842843713703917,0.10355320563938354
meg,delta,L4 IT,0.00063830678409118,0.006164046589866436,0.10355320563938354
meg,delta,L5 ET,0.008894469379618417,0.08589274783624522,0.10355320563938354
meg,delta,L5 IT,0.0033746295790085894,0.03258836419570139,0.10355320563938354
meg,delta,L5/6 NP,0.004612741088894849,0.04454464794608466,0.10355320563938354
meg,delta,L6 CT,0.0010618820967184315,0.010254458953365077,0.10355320563938354
meg,delta,L6 IT,0.004389641724563694,0.04239020605359432,0.10355320563938354
meg,delta,L6 IT Car3,0.002585114856411694,0.024964121974303408,0.10355320563938354
meg,delta,L6b,0.007379904587840126,0.07126679026760507,0.10355320563938354
meg,delta,Lamp5,0.0062040582212409875,0.0599117930047107,0.10355320563938354
meg,delta,Lamp5_Lhx6,0.0017297781784063218,0.01670424558782031,0.10355320563938354
meg,delta,Micro-PVM,0.004069473979673438,0.03929838728358718,0.10355320563938354
meg,delta,OPC,0.004363599306210955,0.04213871776608124,0.10355320563938354
meg,delta,Oligo,0.004184798056665685,0.040412057075653825,0.10355320563938354
meg,delta,Pax6,0.002440475878378004,0.0235673619499215,0.10355320563938354
meg,delta,Pvalb,0.002383137007171831,0.023013647838879377,0.10355320563938354
meg,delta,Sncg,0.00603914674176358,0.05831926403895661,0.10355320563938354
meg,delta,Sst,0.0033605220631283423,0.032452129727698766,0.10355320563938354
meg,delta,Sst Chodl,0.0020586398580248024,0.019880020568304423,0.10355320563938354
meg,delta,VLMC,0.005277648437554755,0.05096557276974872,0.10355320563938354
meg,delta,Vip,0.004233513791548692,0.04088249866731885,0.10355320563938354
meg,theta,Astro,0.006373697085897342,0.0598878624754821,0.10642719279731705
meg,theta,Chandelier,0.010986679439121376,0.10323188228824863,0.10642719279731705
meg,theta,Endo,0.006066672616655631,0.05700303143585844,0.10642719279731705
meg,theta,L2/3 IT,0.006515992112708616,0.06122488004656719,0.10642719279731705
meg,theta,L4 IT,0.0030934724136279282,0.029066560268288053,0.10642719279731705
meg,theta,L5 ET,0.002380477234140996,0.02236718992179418,0.10642719279731705
meg,theta,L5 IT,0.0025837942366360384,0.0242775757654032,0.10642719279731705
meg,theta,L5/6 NP,0.00392496562856631,0.03687934939749022,0.10642719279731705
meg,theta,L6 CT,0.0030025646341652673,0.028212382148267653,0.10642719279731705
meg,theta,L6 IT,0.008342784652997537,0.07838959605827217,0.10642719279731705
meg,theta,L6 IT Car3,0.002928947498146031,0.027520668554360923,0.10642719279731705
meg,theta,L6b,0.005722315918725624,0.05376742323386621,0.10642719279731705
meg,theta,Lamp5,0.0010881479231410946,0.010224341115652597,0.10642719279731705
meg,theta,Lamp5_Lhx6,0.0056539166890543675,0.05312473758301458,0.10642719279731705
meg,theta,Micro-PVM,0.0037632512353695975,0.035359865617581775,0.10642719279731705
meg,theta,OPC,0.005284858626412051,0.04965703301483,0.10642719279731705
meg,theta,Oligo,0.003278105748057579,0.030801392594282703,0.10642719279731705
meg,theta,Pax6,0.0011629286961621,0.01092698835321922,0.10642719279731705
meg,theta,Pvalb,0.002756401531114851,0.025899410279140028,0.10642719279731705
meg,theta,Sncg,0.0022194866559420313,0.02085450717627105,0.10642719279731705
meg,theta,Sst,0.006979294285135955,0.06557811121099022,0.10642719279731705
meg,theta,Sst Chodl,0.0014946992534863673,0.01404433598406485,0.10642719279731705
meg,theta,VLMC,0.003956159445032176,0.03717244945628133,0.10642719279731705
meg,theta,Vip,0.006867579237020197,0.0645284260207728,0.10642719279731705
meg,alpha,Astro,0.006465723479007441,0.045102806471523774,0.14335523628866992
meg,alpha,Chandelier,0.004886180431423253,0.03408442243144928,0.14335523628866992
meg,alpha,Endo,0.0034855167734692263,0.024313843454246423,0.14335523628866992
meg,alpha,L2/3 IT,0.00595897317794547,0.04156787943166634,0.14335523628866992
meg,alpha,L4 IT,0.006638770788732926,0.04630992882160678,0.14335523628866992
meg,alpha,L5 ET,0.003663306725091974,0.025554048948133914,0.14335523628866992
meg,alpha,L5 IT,0.006226293733426401,0.043432621609221934,0.14335523628866992
meg,alpha,L5/6 NP,0.0048018773929246125,0.033496351561621535,0.14335523628866992
meg,alpha,L6 CT,0.011090859237416956,0.07736626526207695,0.14335523628866992
meg,alpha,L6 IT,0.006763849712181393,0.047182439144121964,0.14335523628866992
meg,alpha,L6 IT Car3,0.005575415364706458,0.03889230354641124,0.14335523628866992
meg,alpha,L6b,0.00284081556930573,0.01981661530371496,0.14335523628866992
meg,alpha,Lamp5,0.0025702579541225716,0.017929292439286447,0.14335523628866992
meg,alpha,Lamp5_Lhx6,0.0028090918625734806,0.019595320933494895,0.14335523628866992
meg,alpha,Micro-PVM,0.005607852794474688,0.039118576618870984,0.14335523628866992
meg,alpha,OPC,0.009252017014310547,0.06453909360994706,0.14335523628866992
meg,alpha,Oligo,0.01180585146701402,0.08235382098803108,0.14335523628866992
meg,alpha,Pax6,0.0049866034008371855,0.03478494075232676,0.14335523628866992
meg,alpha,Pvalb,0.007680747351832759,0.0535784220421937,0.14335523628866992
meg,alpha,Sncg,0.005281310463816934,0.03684072239385888,0.14335523628866992
meg,alpha,Sst,0.0048864598662066,0.034086371678582354,0.14335523628866992
meg,alpha,Sst Chodl,0.003150203814355228,0.021974808147305912,0.14335523628866992
meg,alpha,VLMC,0.0029668852947171984,0.02069603714190722,0.14335523628866992
meg,alpha,Vip,0.013960372618776862,0.0973830672683996,0.14335523628866992
meg,beta,Astro,0.004060354274309158,0.07294237381161191,0.0556652335554067
meg,beta,Chandelier,0.0014885952659607715,0.026741920780393204,0.0556652335554067
meg,beta,Endo,0.000783165061405687,0.01406919564302482,0.0556652335554067
meg,beta,L2/3 IT,0.0017548625252978894,0.03152528810556732,0.0556652335554067
meg,beta,L4 IT,0.003992540883539165,0.07172413782410823,0.0556652335554067
meg,beta,L5 ET,0.003168217241520891,0.05691554744609826,0.0556652335554067
meg,beta,L5 IT,0.001376350209460035,0.024725490607886827,0.0556652335554067
meg,beta,L5/6 NP,0.001290889683438559,0.023190232053076083,0.0556652335554067
meg,beta,L6 CT,0.0019214599343490258,0.03451813298216902,0.0556652335554067
meg,beta,L6 IT,0.003880068832082455,0.06970362979291925,0.0556652335554067
meg,beta,L6 IT Car3,0.0007792875879287608,0.013999538637578742,0.0556652335554067
meg,beta,L6b,0.0025383550261505396,0.045600366045782846,0.0556652335554067
meg,beta,Lamp5,0.006267195412482669,0.11258724723115697,0.0556652335554067
meg,beta,Lamp5_Lhx6,0.0008765149992284755,0.01574618380709804,0.0556652335554067
meg,beta,Micro-PVM,0.0016672919746889704,0.029952123941587742,0.0556652335554067
meg,beta,OPC,0.003996826181175108,0.0718011212006655,0.0556652335554067
meg,beta,Oligo,0.0018127522547774439,0.03256525013899584,0.0556652335554067
meg,beta,Pax6,0.001633993206230078,0.029353927071978845,0.0556652335554067
meg,beta,Pvalb,0.001021796798587061,0.018356103681304234,0.0556652335554067
meg,beta,Sncg,0.0015285513425952414,0.027459713091364097,0.0556652335554067
meg,beta,Sst,0.004650088268906894,0.08353667041167451,0.0556652335554067
meg,beta,Sst Chodl,0.0008924666784172673,0.01603274829573733,0.0556652335554067
meg,beta,VLMC,0.0005102662414229409,0.009166695418874772,0.0556652335554067
meg,beta,Vip,0.00377334367145162,0.06778636197934572,0.0556652335554067
meg,gamma1,Astro,0.0001989873132249525,0.029203051097610882,0.006813922030264563
meg,gamma1,Chandelier,0.0008209924088492915,0.12048749680474624,0.006813922030264563
meg,gamma1,Endo,0.00014258990707833441,0.020926260448095868,0.006813922030264563
meg,gamma1,L2/3 IT,0.00029654030487867166,0.0435197678461193,0.006813922030264563
meg,gamma1,L4 IT,0.00010643975613198485,0.015620923699922663,0.006813922030264563
meg,gamma1,L5 ET,0.0002549489811405838,0.0374158935203849,0.006813922030264563
meg,gamma1,L5 IT,0.0001438634249305991,0.021113159835351586,0.006813922030264563
meg,gamma1,L5/6 NP,7.746256042922115e-05,0.011368278076145454,0.006813922030264563
meg,gamma1,L6 CT,0.0003738477894646939,0.05486528724634945,0.006813922030264563
meg,gamma1,L6 IT,8.305008058500263e-05,0.01218829335236436,0.006813922030264563
meg,gamma1,L6 IT Car3,0.00018882655760614638,0.027711875299931316,0.006813922030264563
meg,gamma1,L6b,0.00018082523333072195,0.0265376140976625,0.006813922030264563
meg,gamma1,Lamp5,0.000274630995161984,0.040304393555163846,0.006813922030264563
meg,gamma1,Lamp5_Lhx6,0.00031585749259946535,0.04635472657253192,0.006813922030264563
meg,gamma1,Micro-PVM,0.0002136758799619534,0.03135872101454866,0.006813922030264563
meg,gamma1,OPC,0.0002433557086871086,0.03571448390607133,0.006813922030264563
meg,gamma1,Oligo,0.00018324500717809168,0.026892736131143676,0.006813922030264563
meg,gamma1,Pax6,0.00035930673402907064,0.05273126584559993,0.006813922030264563
meg,gamma1,Pvalb,0.00029431806405882195,0.043193635435155475,0.006813922030264563
meg,gamma1,Sncg,0.000350424076314766,0.05142766159611605,0.006813922030264563
meg,gamma1,Sst,0.0005097222825620778,0.07480600457388664,0.006813922030264563
meg,gamma1,Sst Chodl,0.0003817323857815313,0.056022417645232414,0.006813922030264563
meg,gamma1,VLMC,0.00031014826943935684,0.04551685036338973,0.006813922030264563
meg,gamma1,Vip,0.000509130816840131,0.07471920203647577,0.006813922030264563
meg,gamma2,Astro,0.00016329565667984225,0.026783469573928794,0.006096882117124785
meg,gamma2,Chandelier,0.000655275138263629,0.10747708839951275,0.006096882117124785
meg,gamma2,Endo,9.96188705999348e-05,0.01633931387981532,0.006096882117124785
meg,gamma2,L2/3 IT,8.764437269675477e-05,0.014375277562047858,0.006096882117124785
meg,gamma2,L4 IT,0.0002169101550000073,0.03557722633192381,0.006096882117124785
meg,gamma2,L5 ET,0.00092275637212532,0.15134889512354235,0.006096882117124785
meg,gamma2,L5 IT,3.7164359742420286e-05,0.00609563364166643,0.006096882117124785
meg,gamma2,L5/6 NP,0.00014083744313966593,0.023099912452642785,0.006096882117124785
meg,gamma2,L6 CT,9.990176674566807e-05,0.016385714013571993,0.006096882117124785
meg,gamma2,L6 IT,8.829441079198869e-05,0.014481895679758895,0.006096882117124785
meg,gamma2,L6 IT Car3,0.00047992580547503435,0.07871659583626023,0.006096882117124785
meg,gamma2,L6b,7.200271687828581e-05,0.011809760381629522,0.006096882117124785
meg,gamma2,Lamp5,0.00039091735311851746,0.0641175843010836,0.006096882117124785
meg,gamma2,Lamp5_Lhx6,0.0003590717253652062,0.058894319828925935,0.006096882117124785
meg,gamma2,Micro-PVM,0.00022660388954265807,0.03716717581043238,0.006096882117124785
meg,gamma2,OPC,0.00019458152445390976,0.03191492318793134,0.006096882117124785
meg,gamma2,Oligo,0.0003032828379151311,0.049743923547952006,0.006096882117124785
meg,gamma2,Pax6,0.00024646131657720343,0.040424156452844716,0.006096882117124785
meg,gamma2,Pvalb,0.00023109674158068762,0.03790408558689175,0.006096882117124785
meg,gamma2,Sncg,0.0004401162328020206,0.07218709897077262,0.006096882117124785
meg,gamma2,Sst,5.631173386302455e-05,0.009236152640192504,0.006096882117124785
meg,gamma2,Sst Chodl,9.554368911477574e-05,0.015670909700946124,0.006096882117124785
meg,gamma2,VLMC,0.0002508813457897845,0.04114912195614126,0.006096882117124785
meg,gamma2,Vip,0.00023838665886331546,0.039099765139585095,0.006096882117124785
enigma,22q,Astro,0.017499979943699395,0.04551902736806421,0.38445417126766734
enigma,22q,Chandelier,0.05287482306510628,0.13753218723251517,0.38445417126766734
enigma,22q,Endo,0.018377702153019808,0.04780206205702671,0.38445417126766734
enigma,22q,L2/3 IT,0.005734513178079333,0.01491598636885854,0.38445417126766734
enigma,22q,L4 IT,0.0025148821972044567,0.006541435586228893,0.38445417126766734
enigma,22q,L5 ET,0.023155463224575897,0.06022944984112148,0.38445417126766734
enigma,22q,L5 IT,0.005981149620018519,0.015557510015554707,0.38445417126766734
enigma,22q,L5/6 NP,0.004584492031606459,0.011924677566873404,0.38445417126766734
enigma,22q,L6 CT,0.04156884991459508,0.10812433059974196,0.38445417126766734
enigma,22q,L6 IT,0.0027316075520754206,0.007105157795709288,0.38445417126766734
enigma,22q,L6 IT Car3,0.016883472082917017,0.04391543477665193,0.38445417126766734
enigma,22q,L6b,0.008431074069812562,0.02192998463773364,0.38445417126766734
enigma,22q,Lamp5,0.009715054993838113,0.025269734912238034,0.38445417126766734
enigma,22q,Lamp5_Lhx6,0.032975883366796896,0.08577324901447927,0.38445417126766734
enigma,22q,Micro-PVM,0.01450541861222322,0.037729903058131106,0.38445417126766734
enigma,22q,OPC,0.009624041417850282,0.0250330003862795,0.38445417126766734
enigma,22q,Oligo,0.004930615243307386,0.012824975281317883,0.38445417126766734
enigma,22q,Pax6,0.028990821994009326,0.07540774469533622,0.38445417126766734
enigma,22q,Pvalb,0.007965236043715134,0.02071829788567835,0.38445417126766734
enigma,22q,Sncg,0.009805131330044355,0.025504031592930118,0.38445417126766734
enigma,22q,Sst,0.01161655047741708,0.030215696292522014,0.38445417126766734
enigma,22q,Sst Chodl,0.016220458321190394,0.04219087613929743,0.38445417126766734
enigma,22q,VLMC,0.012421392027784642,0.03230916180939687,0.38445417126766734
enigma,22q,Vip,0.02534555840678026,0.06592608508631319,0.38445417126766734
enigma,adhd,Astro,0.0015240165441312995,0.0188239387458773,0.08096161832576511
enigma,adhd,Chandelier,0.0019604717134992845,0.024214828631647877,0.08096161832576511
enigma,adhd,Endo,0.005259726325745706,0.06496567675539976,0.08096161832576511
enigma,adhd,L2/3 IT,0.005746624265883002,0.07097961212633276,0.08096161832576511
enigma,adhd,L4 IT,0.004757408881818513,0.058761286893699874,0.08096161832576511
enigma,adhd,L5 ET,0.004885549952014228,0.06034402539183753,0.08096161832576511
enigma,adhd,L5 IT,0.0024373150765809736,0.030104574574756567,0.08096161832576511
enigma,adhd,L5/6 NP,0.003195352263999585,0.039467494969560174,0.08096161832576511
enigma,adhd,L6 CT,0.0007643048549272407,0.009440335689090461,0.08096161832576511
enigma,adhd,L6 IT,0.0012370866037412177,0.015279914474579234,0.08096161832576511
enigma,adhd,L6 IT Car3,0.004454223487890791,0.05501648287177686,0.08096161832576511
enigma,adhd,L6b,0.005047591593878106,0.06234548787757826,0.08096161832576511
enigma,adhd,Lamp5,0.001230412742219243,0.01519748206203628,0.08096161832576511
enigma,adhd,Lamp5_Lhx6,0.0008010413234507028,0.00989408734676664,0.08096161832576511
enigma,adhd,Micro-PVM,0.004513059458038409,0.05574319722561894,0.08096161832576511
enigma,adhd,OPC,0.004869362274461974,0.06014408277844856,0.08096161832576511
enigma,adhd,Oligo,0.005546431661005001,0.06850692680929171,0.08096161832576511
enigma,adhd,Pax6,0.0023532324656248714,0.029066025535163766,0.08096161832576511
enigma,adhd,Pvalb,0.0022117899248772868,0.027318993501065057,0.08096161832576511
enigma,adhd,Sncg,0.0016732084419981894,0.020666687210545914,0.08096161832576511
enigma,adhd,Sst,0.0024897574796749135,0.0307523185820827,0.08096161832576511
enigma,adhd,Sst Chodl,0.004598022538638169,0.056792621413978096,0.08096161832576511
enigma,adhd,VLMC,0.0015702658722941143,0.019395188791506594,0.08096161832576511
enigma,adhd,Vip,0.00783536257937229,0.09677872974135913,0.08096161832576511
enigma,asd,Astro,0.012677296385906894,0.038107048931230965,0.33267588914546214
enigma,asd,Chandelier,0.024000536340248433,0.0721439007855307,0.33267588914546214
enigma,asd,Endo,0.008651165182205397,0.026004785632128227,0.33267588914546214
enigma,asd,L2/3 IT,0.014982772380882558,0.04503714537103517,0.33267588914546214
enigma,asd,L4 IT,0.021438560164327464,0.06444278309256575,0.33267588914546214
enigma,asd,L5 ET,0.011167414326771668,0.03356845112958796,0.33267588914546214
enigma,asd,L5 IT,0.026596424382189083,0.07994695512953097,0.33267588914546214
enigma,asd,L5/6 NP,0.007768261236844546,0.023350839331334538,0.33267588914546214
enigma,asd,L6 CT,0.022438040010724483,0.06744714823896804,0.33267588914546214
enigma,asd,L6 IT,0.0059603899302163995,0.017916507101030776,0.33267588914546214
enigma,asd,L6 IT Car3,0.022606092988539522,0.06795230350659719,0.33267588914546214
enigma,asd,L6b,0.03303557879928412,0.09930259413792189,0.33267588914546214
enigma,asd,Lamp5,0.008108999901432466,0.024375075459366444,0.33267588914546214
enigma,asd,Lamp5_Lhx6,0.008900307049406076,0.026753688318886335,0.33267588914546214
enigma,asd,Micro-PVM,0.004400301320234399,0.01322699198771923,0.33267588914546214
enigma,asd,OPC,0.007493283564515837,0.022524276056685933,0.33267588914546214
enigma,asd,Oligo,0.005754076354479319,0.017296343204371373,0.33267588914546214
enigma,asd,Pax6,0.008564800813643662,0.02574518049878485,0.33267588914546214
enigma,asd,Pvalb,0.008505707374040713,0.025567549833230032,0.33267588914546214
enigma,asd,Sncg,0.006342313133088012,0.01906454101431692,0.33267588914546214
enigma,asd,Sst,0.018031102422460688,0.05420020810277781,0.33267588914546214
enigma,asd,Sst Chodl,0.006897358861371681,0.02073296889380468,0.33267588914546214
enigma,asd,VLMC,0.0038218972896672987,0.01148835071722369,0.33267588914546214
enigma,asd,Vip,0.03453320893298142,0.10380436352537052,0.33267588914546214
enigma,epilepsy_gge,Astro,0.0034339087937964932,0.05681280847945876,0.06044251086509933
enigma,epilepsy_gge,Chandelier,0.0017337112473758529,0.02868364041403401,0.06044251086509933
enigma,epilepsy_gge,Endo,0.0022625381662596212,0.037432895058071694,0.06044251086509933
enigma,epilepsy_gge,L2/3 IT,0.001914096674148023,0.031668053605848116,0.06044251086509933
enigma,epilepsy_gge,L4 IT,0.001878634624090498,0.031081346509303567,0.06044251086509933
