phenotype,outcome,n,oof_r2,oof_pearson,oof_mae
meg,delta,103,0.3111512664686462,0.6130668878907929,0.02410155967165379
meg,theta,102,-0.11002498805760563,0.561747969170872,0.022361146615475364
meg,alpha,103,0.34455363120806237,0.596644934497382,0.040903026889159144
meg,beta,102,0.12306525238225274,0.7804004944519559,0.010673735163298828
meg,gamma1,103,-0.0508375760472739,0.31271788770948966,0.003327894259753607
meg,gamma2,103,0.39957748813414873,0.6387574939858174,0.002136279597961679
enigma,22q,105,-0.8000032519701328,-0.4731626757041375,0.28478181218060483
enigma,adhd,105,0.5461607982063008,0.7416097136180543,0.027338594628551784
enigma,asd,105,-0.6991142443581606,-0.15631806175568466,0.09127672968909062
enigma,epilepsy_gge,105,-0.1455245786556818,-0.11666897204747315,0.06283257430350689
enigma,epilepsy_rtle,105,0.391634024629436,0.6737882504301407,0.07978190955967965
enigma,epilepsy_ltle,105,-0.05723677073754119,0.3366142073060402,0.11575375689629847
enigma,depression,105,-0.36693345459152615,0.4054136943065734,0.030383826782707995
enigma,ocd,105,-0.11019827658818881,0.163788256044497,0.02088292473928775
enigma,schizophrenia,105,-0.6747122947552173,0.1439713593132943,0.07321750029820738
enigma,bipolar,105,-0.7985997503626523,0.09472181760262226,0.05497640477700652
enigma,obesity,105,-0.6702060094383027,0.14662394580951363,0.057356773973959524
enigma,schizotypy,105,-0.057553221446904335,-0.06973196751494161,0.01093179377628624
enigma,parkinson,105,0.6032192356943278,0.8026431096417996,0.021464019805142013
