phenotype,outcome,feature,pearson_r,spin_p,spin_q_bh,n_valid_spins
meg,delta,Astro,-0.32564240825544877,0.22577422577422576,0.3386613386613387,1000
meg,delta,Chandelier,0.731305703860116,0.000999000999000999,0.023976023976023976,1000
meg,delta,Endo,0.26766365867584313,0.24275724275724275,0.34271610742198977,1000
meg,delta,L2/3 IT,-0.5585483604945051,0.16783216783216784,0.3386613386613387,1000
meg,delta,L4 IT,-0.4361978964122177,0.3016983016983017,0.3810925916189074,1000
meg,delta,L5 ET,-0.491036222776055,0.2647352647352647,0.35298035298035296,1000
meg,delta,L5 IT,-0.5524294571624333,0.21978021978021978,0.3386613386613387,1000
meg,delta,L5/6 NP,-0.5839416682212353,0.07792207792207792,0.26716141001855287,1000
meg,delta,L6 CT,-0.39361584881022754,0.15184815184815184,0.3386613386613387,1000
meg,delta,L6 IT,-0.5929090810732438,0.11588411588411589,0.30902430902430905,1000
meg,delta,L6 IT Car3,-0.264707624179757,0.44555444555444557,0.5092050806336521,1000
meg,delta,L6b,-0.39313371289287175,0.2077922077922078,0.3386613386613387,1000
meg,delta,Lamp5,-0.5565058909231215,0.016983016983016984,0.2037962037962038,1000
meg,delta,Lamp5_Lhx6,-0.6704565836672869,0.03696303696303696,0.2577422577422578,1000
meg,delta,Micro-PVM,0.5799493676120525,0.06993006993006994,0.26716141001855287,1000
meg,delta,OPC,0.462085944077356,0.06893106893106893,0.26716141001855287,1000
meg,delta,Oligo,-0.6475394091838352,0.04295704295704296,0.2577422577422578,1000
meg,delta,Pax6,-0.0700821265950818,0.7852147852147852,0.7882117882117882,1000
meg,delta,Pvalb,-0.6208619942205237,0.0939060939060939,0.2817182817182817,1000
meg,delta,Sncg,0.32366654052197064,0.17382617382617382,0.3386613386613387,1000
meg,delta,Sst,-0.5311922639021203,0.1978021978021978,0.3386613386613387,1000
meg,delta,Sst Chodl,0.3418182266373025,0.42157842157842157,0.5058941058941059,1000
meg,delta,VLMC,0.05874957509257132,0.7882117882117882,0.7882117882117882,1000
meg,delta,Vip,-0.3674253661340173,0.5064935064935064,0.5525383707201889,1000
meg,theta,Astro,-0.1165657546194372,0.6583416583416584,0.7519752974298429,1000
meg,theta,Chandelier,0.42571241808399324,0.2707292707292707,0.43316683316683313,1000
meg,theta,Endo,0.10771851676069447,0.6443556443556444,0.7519752974298429,1000
meg,theta,L2/3 IT,-0.7423444459956218,0.013986013986013986,0.06713286713286713,1000
meg,theta,L4 IT,-0.7164229549987449,0.004995004995004995,0.029970029970029972,1000
meg,theta,L5 ET,0.14140103225277798,0.7752247752247752,0.808930200234548,1000
meg,theta,L5 IT,-0.7658901150679773,0.000999000999000999,0.011988011988011988,1000
meg,theta,L5/6 NP,-0.6393288177265032,0.030969030969030968,0.09290709290709291,1000
meg,theta,L6 CT,-0.46914343383621154,0.06893106893106893,0.13786213786213786,1000
meg,theta,L6 IT,-0.6753190760001018,0.030969030969030968,0.09290709290709291,1000
meg,theta,L6 IT Car3,-0.6125933862862457,0.003996003996003996,0.029970029970029972,1000
meg,theta,L6b,-0.5341287649960548,0.058941058941058944,0.1285986740532195,1000
meg,theta,Lamp5,-0.343626548592056,0.2897102897102897,0.4345654345654346,1000
meg,theta,Lamp5_Lhx6,-0.5604650722322276,0.11688311688311688,0.2157842157842158,1000
meg,theta,Micro-PVM,0.49755654703306096,0.14185814185814186,0.24318538604252887,1000
meg,theta,OPC,0.140990664517873,0.6893106893106893,0.7519752974298429,1000
meg,theta,Oligo,-0.2185977473483595,0.6443556443556444,0.7519752974298429,1000
meg,theta,Pax6,-0.1662731155114507,0.43456543456543456,0.5794205794205795,1000
meg,theta,Pvalb,-0.6279133706675655,0.056943056943056944,0.1285986740532195,1000
meg,theta,Sncg,-0.041899212882310306,0.8901098901098901,0.8901098901098901,1000
meg,theta,Sst,-0.7628503210883935,0.000999000999000999,0.011988011988011988,1000
meg,theta,Sst Chodl,0.578382780778575,0.03696303696303696,0.09856809856809856,1000
meg,theta,VLMC,-0.17415956222986465,0.36363636363636365,0.5133689839572192,1000
meg,theta,Vip,-0.6785564968892608,0.01998001998001998,0.07992007992007992,1000
meg,alpha,Astro,0.38942463594400145,0.1838161838161838,0.2450882450882451,1000
meg,alpha,Chandelier,-0.588987200059773,0.15484515484515485,0.2450882450882451,1000
meg,alpha,Endo,-0.2701356390848935,0.26173826173826176,0.3306167516693833,1000
meg,alpha,L2/3 IT,0.8180074284802243,0.002997002997002997,0.023976023976023976,1000
meg,alpha,L4 IT,0.7174350863503893,0.007992007992007992,0.03836163836163836,1000
meg,alpha,L5 ET,0.22566255753957318,0.7102897102897103,0.7102897102897103,1000
meg,alpha,L5 IT,0.7940193030464856,0.012987012987012988,0.04452690166975881,1000
meg,alpha,L5/6 NP,0.7152781311990792,0.01098901098901099,0.04395604395604396,1000
meg,alpha,L6 CT,0.5176199167824888,0.017982017982017984,0.050616050616050616,1000
meg,alpha,L6 IT,0.7690436077553436,0.007992007992007992,0.03836163836163836,1000
meg,alpha,L6 IT Car3,0.509849124651336,0.06493506493506493,0.14167650531286893,1000
meg,alpha,L6b,0.510151580840053,0.09490509490509491,0.18981018981018982,1000
meg,alpha,Lamp5,0.6183692908727094,0.01898101898101898,0.050616050616050616,1000
meg,alpha,Lamp5_Lhx6,0.7465036637862841,0.024975024975024976,0.05994005994005994,1000
meg,alpha,Micro-PVM,-0.5582551849997472,0.16583416583416583,0.2450882450882451,1000
meg,alpha,OPC,-0.33311186700364764,0.3836163836163836,0.43841872413300986,1000
meg,alpha,Oligo,0.6655638895611572,0.11488511488511488,0.21064649636078206,1000
meg,alpha,Pax6,0.17099978878294203,0.46053946053946054,0.5024066842248661,1000
meg,alpha,Pvalb,0.8311209777859071,0.001998001998001998,0.023976023976023976,1000
meg,alpha,Sncg,-0.2906956433102632,0.27672327672327673,0.33206793206793206,1000
meg,alpha,Sst,0.7806159863135639,0.002997002997002997,0.023976023976023976,1000
meg,alpha,Sst Chodl,-0.5157003930451811,0.17482517482517482,0.2450882450882451,1000
meg,alpha,VLMC,0.15458087258528175,0.5114885114885115,0.5337271424227946,1000
meg,alpha,Vip,0.6894425831898937,0.12287712287712288,0.21064649636078206,1000
meg,beta,Astro,0.2974403908793679,0.32367632367632365,0.9056398147307239,1000
meg,beta,Chandelier,-0.20258151155859433,0.6943056943056943,0.9056398147307239,1000
meg,beta,Endo,-0.05912942325789744,0.8131868131868132,0.9056398147307239,1000
meg,beta,L2/3 IT,-0.2739806761255894,0.6213786213786214,0.9056398147307239,1000
meg,beta,L4 IT,-0.38168745682350325,0.4175824175824176,0.9056398147307239,1000
meg,beta,L5 ET,0.6498727991090447,0.15184815184815184,0.9056398147307239,1000
meg,beta,L5 IT,-0.3258064436011067,0.5654345654345654,0.9056398147307239,1000
meg,beta,L5/6 NP,-0.16870921804116853,0.7582417582417582,0.9056398147307239,1000
meg,beta,L6 CT,-0.14793169882863164,0.6823176823176823,0.9056398147307239,1000
meg,beta,L6 IT,-0.2178822762359705,0.7072927072927073,0.9056398147307239,1000
meg,beta,L6 IT Car3,-0.3498868154903294,0.30569430569430567,0.9056398147307239,1000
meg,beta,L6b,-0.25790254715164523,0.5314685314685315,0.9056398147307239,1000
meg,beta,Lamp5,0.27564704552934316,0.5184815184815185,0.9056398147307239,1000
meg,beta,Lamp5_Lhx6,-0.01227723954660212,0.9690309690309691,0.9690309690309691,1000
meg,beta,Micro-PVM,-0.054741047879626074,0.9250749250749251,0.9652955739912261,1000
meg,beta,OPC,-0.346565260631968,0.36563436563436563,0.9056398147307239,1000
meg,beta,Oligo,0.40791295370861896,0.45454545454545453,0.9056398147307239,1000
meg,beta,Pax6,-0.06684373523730493,0.7972027972027972,0.9056398147307239,1000
meg,beta,Pvalb,-0.13320172267516772,0.8301698301698301,0.9056398147307239,1000
meg,beta,Sncg,-0.2506274878505622,0.3986013986013986,0.9056398147307239,1000
meg,beta,Sst,-0.3467831483024739,0.5134865134865135,0.9056398147307239,1000
meg,beta,Sst Chodl,0.341269160313119,0.4095904095904096,0.9056398147307239,1000
meg,beta,VLMC,-0.1843240283820995,0.4355644355644356,0.9056398147307239,1000
meg,beta,Vip,-0.40933611272933634,0.45254745254745254,0.9056398147307239,1000
meg,gamma1,Astro,-0.2443475255965284,0.3996003996003996,0.4795204795204795,1000
meg,gamma1,Chandelier,0.5786947113235763,0.0919080919080919,0.20706566161111617,1000
meg,gamma1,Endo,0.2810682416658207,0.2097902097902098,0.3018158312275959,1000
meg,gamma1,L2/3 IT,-0.6875939027581538,0.022977022977022976,0.14985014985014986,1000
meg,gamma1,L4 IT,-0.6093200724734085,0.04995004995004995,0.14985014985014986,1000
meg,gamma1,L5 ET,-0.16107916232393582,0.7622377622377622,0.7942057942057942,1000
meg,gamma1,L5 IT,-0.6750377672033802,0.04495504495504495,0.14985014985014986,1000
meg,gamma1,L5/6 NP,-0.6181025744192334,0.04895104895104895,0.14985014985014986,1000
meg,gamma1,L6 CT,-0.43317989882506724,0.08891108891108891,0.20706566161111617,1000
meg,gamma1,L6 IT,-0.6711312109115861,0.03396603396603397,0.14985014985014986,1000
meg,gamma1,L6 IT Car3,-0.44247724350594336,0.09490509490509491,0.20706566161111617,1000
meg,gamma1,L6b,-0.4664753468629835,0.12087912087912088,0.23791593022362253,1000
meg,gamma1,Lamp5,-0.41416327081134446,0.2007992007992008,0.3018158312275959,1000
