phenotype,outcome,full_r2,alpha,spin_p,n_spin,spin_q_bh_across_outcomes
meg,delta,0.8204024562618183,1.7782794100389228,0.06593406593406594,1000,0.1043956043956044
meg,theta,0.8194380120445262,3.162277660168379,0.07792207792207792,1000,0.11388611388611387
meg,alpha,0.895558669103158,1.7782794100389228,0.10589410589410589,1000,0.1284010107539519
meg,beta,0.852270948261111,5.62341325190349,0.1048951048951049,1000,0.1284010107539519
meg,gamma1,0.7647343713007001,3.162277660168379,0.21078921078921078,1000,0.2224997224997225
meg,gamma2,0.7513667584525769,17.78279410038923,0.11488511488511488,1000,0.1284010107539519
enigma,22q,0.6242003140305896,3.162277660168379,0.056943056943056944,1000,0.09835618926528017
enigma,adhd,0.7702617000909441,56.23413251903491,0.000999000999000999,1000,0.003796203796203796
enigma,asd,0.9377147193253298,0.31622776601683794,0.000999000999000999,1000,0.003796203796203796
enigma,epilepsy_gge,0.22763359065372357,562.341325190349,0.37462537462537465,1000,0.37462537462537465
enigma,epilepsy_rtle,0.8849240988376885,3.162277660168379,0.000999000999000999,1000,0.003796203796203796
enigma,epilepsy_ltle,0.7290116077148456,17.78279410038923,0.004995004995004995,1000,0.011863136863136864
enigma,depression,0.4141425724275398,316.2277660168379,0.03796203796203796,1000,0.07212787212787213
enigma,ocd,0.7812891637028069,0.31622776601683794,0.000999000999000999,1000,0.003796203796203796
enigma,schizophrenia,0.7904829518746829,1.0,0.001998001998001998,1000,0.006327006327006327
enigma,bipolar,0.7050394986414364,1.7782794100389228,0.007992007992007992,1000,0.016872016872016872
enigma,obesity,0.8107634699423796,1.7782794100389228,0.002997002997002997,1000,0.008134722420436707
enigma,schizotypy,0.43307056945563194,100.0,0.11488511488511488,1000,0.1284010107539519
enigma,parkinson,0.8795459200671788,0.03162277660168379,0.000999000999000999,1000,0.003796203796203796
