,Astro,Chandelier,Endo,L2/3 IT,L4 IT,L5 ET,L5 IT,L5/6 NP,L6 CT,L6 IT,L6 IT Car3,L6b,Lamp5,Lamp5_Lhx6,Micro-PVM,OPC,Oligo,Pax6,Pvalb,Sncg,Sst,VLMC,Vip
1,1.3628243928424055,-2.0493337013276776,-4.467042792856829,2.554913188512204,1.9825592447958158,-0.015960966952978772,1.9218711960770185,1.014398286887996,0.8535872002671163,1.1622539668721013,-0.31658370316362383,0.7275761891174213,-0.23426390848561063,-1.0453585193781896,-1.5492702201137751,-0.4400974546085408,1.683623614570759,-1.5905076051889102,0.02893250968509431,-1.2561389516251849,0.7652436608806541,-0.9927771232043296,-0.10044850360292124
3,1.4034162540465833,-1.9112514268510532,-4.602556943426554,2.6292051094939928,2.040154446465816,-0.03284287695587906,1.8663139689148904,0.9822804384597181,0.8673940499167578,1.1711960645441728,-0.45543165843595546,0.6643770656770185,-0.18583664587254933,-1.10595515323182,-1.6518840079796702,-0.3856743881671987,1.872975120728535,-1.6781549506195308,0.06093949228353779,-1.2201898411792458,0.7388739945231544,-0.9992519829623188,-0.06809612937241027
5,1.2344356272013957,-1.872081724423647,-3.741410706982969,2.5945901059848553,2.082199943096772,-0.07360365452984396,1.8853389098159319,0.9938271147309954,0.8133663369965873,1.168515378263888,-0.4226810107587857,0.6892355984979561,-0.30762347876922647,-1.2302049954966128,-1.6855729600030562,-0.5432367391189983,1.4804184051958416,-1.7289676390818212,-0.043626619025459945,-1.1904990643189883,0.7395750790279689,-0.7379924314676867,-0.10400147483509237
7,1.4211236192193462,-1.9440032678008237,-4.534623719423693,2.610725318043467,1.9881507324345065,-0.057110400653478166,1.8277290012070928,0.9580252421216393,0.8264664438809586,1.1264617202718075,-0.4673202505324161,0.6105908202744934,-0.1704536364102225,-1.0875888825934235,-1.5765331574966632,-0.3810651083548464,1.9016789518425568,-1.6656954926390988,0.05788184290295284,-1.2583746844719155,0.7185678459953309,-0.8413969565301205,-0.06323598128742347
9,1.3828646961709357,-2.105615502558192,-3.489377634863207,2.527768897915068,1.8587319998942249,0.02270711583478935,1.8046854958508276,0.9010942914664342,0.7997313143715012,1.1270469524365088,-0.38034153461976183,0.6216493127132297,-0.2691297772298671,-1.131019511708708,-1.6580449307813656,-0.43374794909578496,1.8699098014375806,-1.6817142723380551,0.04503609656966523,-1.384095385545892,0.6807334131952918,-0.9613519784007072,-0.14752091071450613
11,1.3142074766662302,-1.997663383707124,-4.398409072112513,2.5438730017134032,2.0079429833297473,-0.054994473978189795,1.9172568256268212,1.038301029604923,0.8657597972820645,1.1990875125342502,-0.3301451992017652,0.8010828053567969,-0.26674521194059064,-1.082682225091049,-1.5956987471088828,-0.4510556871459874,1.5418180412444196,-1.6365100164118198,0.0024929534343129944,-1.1740163514818924,0.7922709863949913,-0.9391796420546834,-0.09699340295346204
13,1.154276671151731,-1.9370871507384058,-4.007774719074005,2.544638793188197,2.1177444841002333,-0.1878195836806693,1.9116034087093028,1.130187491201648,0.7720304392444595,1.1615688335600836,-0.3378629980609089,0.8241985675614449,-0.4030134341414051,-1.2370173894326832,-1.4603702724366379,-0.5639209886904668,1.2527905331857228,-1.7134708689742038,-0.06124788376651047,-1.058819600968274,0.8222411486363264,-0.6284986169491003,-0.09437686362589037
15,1.2220992564807784,-1.8123955104555671,-3.8280522226268694,2.6824322786205963,2.216546378613828,-0.2289738676567934,1.9375484788631825,1.015408713245662,0.7487641746690996,1.0906242935114823,-0.4708221873498877,0.647111542441877,-0.325788228104801,-1.2907806128702903,-1.5190655990267068,-0.574000277917281,1.5479991883302766,-1.7354567258652498,-0.040619804510543034,-1.1808609039930529,0.7639876517649422,-0.8106065863975678,-0.055099429767103025
17,1.4277027246073644,-1.8951148259324446,-4.654461362844065,2.732674820252851,2.0694217563236266,-0.1259815055143667,1.8384396634823097,0.9184445883809502,0.8056573820503301,1.1176982911158735,-0.3418184903633019,0.6171781431159218,-0.176754378637896,-1.1674758508677296,-1.684263708766716,-0.3664064080836278,1.8077333323606162,-1.7177118923717618,0.013984892769584256,-1.1290426590689506,0.7190422153927374,-0.7699996485734824,-0.038947078827820114
19,1.168113628401783,-1.7593263562061496,-4.30336837239895,2.721165299479239,2.323815994899668,-0.4680541168466741,2.0160358641689204,1.0560019171793567,0.6772204090644607,1.0358012656192552,-0.36737353492485525,0.6632591863059139,-0.3094606716633521,-1.2512367271756615,-1.4511419373878889,-0.5534015341885841,1.3930250843647394,-1.6763799669787618,-0.03904922076999995,-1.0243864686030806,0.8089991944950792,-0.720047408214131,0.05978847137969012
