,22q,adhd,asd,epilepsy_gge,epilepsy_rtle,epilepsy_ltle,depression,ocd,schizophrenia,bipolar,obesity,schizotypy,parkinson
1,0.44637533124590056,-0.04441071178032765,0.10507979740983586,-0.007647625901967214,-0.33399233721311405,-0.37569409255737735,-0.0647953138491802,-0.06482510091803269,-0.4068707255081954,-0.2247327639016388,-0.14494321629508142,-0.0016499596078688524,-0.09593758573442596
3,0.5006282794160579,-0.03532796459367405,0.10576521691970786,-0.02848548926593677,-0.3415064647445254,-0.40147315656934357,-0.06036203235523127,-0.07188476931873473,-0.417068562798054,-0.23762437299270017,-0.1492992039172747,-0.0018552311955596097,-0.10594485139902651
5,0.5181688733836879,-0.030610375040181173,0.10999999640483338,-0.009600825769969765,-0.32785386151057355,-0.3830994013595173,-0.0621100125287008,-0.07248757533232598,-0.4165493418428998,-0.23876791202416894,-0.14282364319637433,-0.002061037489957706,-0.10185380028700879
7,0.4818936991930848,-0.0414314963948125,0.10415516188472607,-0.07596386261095096,-0.3734211543515852,-0.42136176985590745,-0.05687982156772314,-0.06597004222190175,-0.406630926772335,-0.22773644521613917,-0.15770319729106566,-0.007098477128789649,-0.09894417116714685
9,0.4406077087948714,-0.042733627597435854,0.08222873874948713,-0.03909727914794881,-0.3558191923846155,-0.3903287612820511,-0.058189004423076875,-0.058992777212820424,-0.38700515766666704,-0.2119541885641031,-0.15596191615384614,-0.00844533756735897,-0.10648218915384623
11,0.4311931250292391,-0.04582446769590613,0.10323586852631546,-0.005440765296783618,-0.3262072991228061,-0.36074028374269085,-0.06395329267543846,-0.06296319020467826,-0.3990765347368426,-0.22140336435672509,-0.14194747327485327,-0.0011289257059064327,-0.0915653807204676
13,0.47986236919354747,-0.035885940154301056,0.10052413267473104,-0.012057006912096765,-0.2861799686290317,-0.33225898946236593,-0.06922397083602141,-0.07105770084139784,-0.3887023700268817,-0.22557701298387167,-0.1372539776532258,0.004798528073091391,-0.09331365184408608
15,0.6700507615745832,0.02002217432513813,0.10998030142541394,0.013796367780442012,-0.18389968712707147,-0.23266865759668548,-0.04111644877071847,-0.09129929628176778,-0.3709627061602201,-0.26987892345303893,-0.10413925935635351,0.0030053692347292837,-0.09029465890331495
17,0.540096957051281,-0.013895003477384617,0.06587114008717959,-0.167430780503077,-0.28434039635897435,-0.36182555705128167,-0.02199660260641022,-0.08576207268717957,-0.35952208958974363,-0.26183939605128265,-0.15640806683333314,0.0012585207778205154,-0.111807819851282
19,0.6806114444881893,0.023655097170866165,0.10994300782677131,0.015535770594488147,-0.17356006039370062,-0.22178562397637752,-0.039634270767716535,-0.0926045361062993,-0.3676364852362202,-0.2720260053149607,-0.10133940487401588,0.0033840545844488184,-0.08942876337795276
21,0.6783666494182794,0.024201233280886397,0.10088040270914114,0.014295903522160713,-0.15620195509695273,-0.20753002047091454,-0.039397206421052766,-0.0898208923296399,-0.36023784684210397,-0.27550855595567825,-0.09413020967035994,0.002658340552077564,-0.0843023364432135
23,0.5689762763496928,-0.006716758617208591,0.08390818698773006,-0.10140109226840506,-0.2613988051533741,-0.33893852021472404,-0.029399529495398733,-0.08844440989570547,-0.3720842915644171,-0.264254885398773,-0.1422448896411041,0.004503014194110423,-0.11495486384662562
25,0.49137513501960844,-0.029840646247058785,0.07230370755686265,-0.20851087029803936,-0.34660622360784304,-0.4197612188235287,-0.022719978886274538,-0.0777347935803921,-0.3636396642745098,-0.24607356137254877,-0.1713244638039217,-0.0023124329829411717,-0.11605762560000013
27,0.6069856156923068,0.027084446168076853,0.08929252271923073,0.021322575815000033,-0.14239171420000013,-0.18131977102307692,-0.04034133110769234,-0.08820916732307701,-0.3542369553461535,-0.2533327118461539,-0.10020175664230771,0.007973121046538453,-0.08814216942692306
29,0.5539323496240598,-0.014569232172180452,0.009457768969172933,-0.09156581342105265,-0.2214031967669175,-0.263722332406015,-0.04951974106015037,-0.07829612821804513,-0.36428676887218026,-0.27237100218045107,-0.14681723413533837,-0.012175957652631578,-0.043175499105263145
31,0.5860230946451606,-0.004470828800322579,0.04494970160903228,-0.007167243058064512,-0.15344636238709697,-0.23158745470967762,-0.05118818175483871,-0.06806609740645161,-0.35821289877419304,-0.2789522933548388,-0.0896679187354839,-0.0067849697078709624,-0.05366368993548388
33,0.5502455011643835,-0.0156365314452055,-0.006180121533561645,-0.021532292845890418,-0.15290613219178095,-0.22390804746575346,-0.06025605469863012,-0.06828455539041091,-0.3650774480821918,-0.2861983950684934,-0.11094138571917808,-0.011946979568493148,-0.029281876582191804
35,0.5062568326428565,-0.018493850164285706,0.05203877615000004,-0.004922383945714276,-0.15515759121428574,-0.24134669692857144,-0.05598968732857142,-0.043583637292857184,-0.3403188017857142,-0.2642419709285713,-0.05758905803571425,-0.005541347535799998,-0.0684288083071428
37,0.5625338670718234,-0.015093219422928166,0.0016492009806077287,-0.015535794993646388,-0.12816742193922662,-0.18042407591436446,-0.06352828280386744,-0.05952694388121536,-0.3646646912707184,-0.26359831837016595,-0.10048767430939208,-0.008694414997237575,-0.04687662045856355
39,0.5337116597163123,-0.022196234723404235,-0.000776700289361704,-0.11358658980141852,-0.2425088352482273,-0.2708603739716314,-0.05304936260283683,-0.07175044128368786,-0.3608815814893619,-0.2651025394326242,-0.15363706234042565,-0.01832862176595744,-0.027828724978723428
41,0.48947598560185196,-0.05882782252499991,0.06944533959259254,-0.0016718280212963006,0.03141449279166666,0.00165320218106481,-0.11445043149074074,-0.08020159603703707,-0.24577541606481457,-0.19250847069444457,-0.09267801760185176,0.04802462197685182,-0.08386899530092584
43,0.48381813335294116,0.015879227554058822,0.013624030014117628,0.056175861176470554,-0.07505124689411771,-0.08875179009294118,-0.05578614008823533,-0.080330098464706,-0.3730479017647054,-0.22738809082352962,-0.10969575111176458,0.0064336996958823615,-0.11478882361176469
45,0.4884938248044696,0.022186124151396654,0.010022102519385479,0.0787420999245812,-0.023434861487742993,-0.06104517506983249,-0.05207864851955306,-0.09341517149720653,-0.3839100362290502,-0.21818156625698307,-0.118943452142458,0.009001743625418999,-0.11989390468435744
47,0.5060746701507541,-0.02556509887286434,0.05239477628140697,0.029948492666934688,0.021684514732160813,-0.01666023721165831,-0.09007189718090451,-0.0861036834170854,-0.2944272298994975,-0.203807350603015,-0.09985844255276365,0.035754007145728656,-0.10050679636683413
49,0.5141439601020409,-0.03775712974557823,0.04482484572244889,0.03220996201598636,0.03985803780306123,0.004385556959875499,-0.10001386923129245,-0.0879696619149659,-0.29437559714285705,-0.20351678207482987,-0.10196363051020432,0.0360631086802721,-0.10322447209183672
51,0.5208120676777249,0.007045143088246439,0.010401278740284358,0.03482186142890997,-0.08338752988625589,-0.09494648428720383,-0.06068459843601898,-0.07202562232701425,-0.3707270631279622,-0.23114169563981063,-0.1062211528672984,0.003288580285345971,-0.09902524012796202
