phenotype,outcome,feature,mean_abs_shap,relative_shap,total_mean_abs_shap
meg,delta,Astro,0.004890643664369541,0.028974239481447065,0.16879282258646144
meg,delta,Chandelier,0.02436137536446667,0.14432708092186763,0.16879282258646144
meg,delta,Endo,0.00643342690018743,0.03811433923318634,0.16879282258646144
meg,delta,L2/3 IT,0.005986332674516222,0.03546556413232451,0.16879282258646144
meg,delta,L4 IT,0.003881288699721141,0.02299439419429705,0.16879282258646144
meg,delta,L5 ET,0.008138127174804685,0.048213703936588054,0.16879282258646144
meg,delta,L5 IT,0.007752692466401934,0.04593022586864284,0.16879282258646144
meg,delta,L5/6 NP,0.01604593501583954,0.09506289882450578,0.16879282258646144
meg,delta,L6 CT,0.00901605457735054,0.05341491681455951,0.16879282258646144
meg,delta,L6 IT,0.005269906487132646,0.031221152691093962,0.16879282258646144
meg,delta,L6 IT Car3,0.002023390394794433,0.011987419629516436,0.16879282258646144
meg,delta,L6b,0.01771395773346006,0.10494497018311526,0.16879282258646144
meg,delta,Lamp5,0.004109134021737027,0.02434424615200796,0.16879282258646144
meg,delta,Lamp5_Lhx6,0.007581372246233404,0.044915252497480844,0.16879282258646144
meg,delta,Micro-PVM,0.002779917711748216,0.016469407106005633,0.16879282258646144
meg,delta,OPC,0.0038922990140783935,0.023059623948670123,0.16879282258646144
meg,delta,Oligo,0.006479362950722592,0.03838648380563481,0.16879282258646144
meg,delta,Pax6,0.0008057044487758008,0.0047733335839152255,0.16879282258646144
meg,delta,Pvalb,0.010131308805968455,0.060022154086432515,0.16879282258646144
meg,delta,Sncg,0.0039015635568582013,0.023114511014588238,0.16879282258646144
meg,delta,Sst,0.008909550233397737,0.05278394008035479,0.16879282258646144
meg,delta,VLMC,0.0035549513143632336,0.02106103363809955,0.16879282258646144
meg,delta,Vip,0.005134527129533531,0.03041910817566577,0.16879282258646144
meg,theta,Astro,0.0014383325145139532,0.024180603360539513,0.0594829042546216
meg,theta,Chandelier,0.005828870700877312,0.09799236896581812,0.0594829042546216
meg,theta,Endo,0.0030418304523431527,0.051137893995934366,0.0594829042546216
meg,theta,L2/3 IT,0.0038149489683391,0.06413521693575835,0.0594829042546216
meg,theta,L4 IT,0.001997409309299293,0.03357955255091805,0.0594829042546216
meg,theta,L5 ET,0.0034797089386181634,0.058499311394127215,0.0594829042546216
meg,theta,L5 IT,0.0017862139858492452,0.030029031168404375,0.0594829042546216
meg,theta,L5/6 NP,0.004689078670524295,0.07883069479009125,0.0594829042546216
meg,theta,L6 CT,0.0043203971887984,0.07263258650425969,0.0594829042546216
meg,theta,L6 IT,0.002503422125736155,0.04208641385464376,0.0594829042546216
meg,theta,L6 IT Car3,0.0026049304063494854,0.04379292569843027,0.0594829042546216
meg,theta,L6b,0.003888734438529774,0.06537566528163652,0.0594829042546216
meg,theta,Lamp5,0.0026245477643029973,0.04412272395221993,0.0594829042546216
meg,theta,Lamp5_Lhx6,0.0031740838612890157,0.053361279195482475,0.0594829042546216
meg,theta,Micro-PVM,0.002720126151339667,0.04572954507560588,0.0594829042546216
meg,theta,OPC,0.0012678631099641204,0.021314747923822368,0.0594829042546216
meg,theta,Oligo,0.00159195932428813,0.026763308621811966,0.0594829042546216
meg,theta,Pax6,0.0017674683192459928,0.029713887399986313,0.0594829042546216
meg,theta,Pvalb,0.0011133904862715425,0.01871782321699661,0.0594829042546216
meg,theta,Sncg,0.0006766683307587658,0.011375845534747762,0.0594829042546216
meg,theta,Sst,0.0013056241549837407,0.021949569735110884,0.0594829042546216
meg,theta,VLMC,0.001854232311685555,0.031172524861065237,0.0594829042546216
meg,theta,Vip,0.0019930627407137433,0.03350647998258911,0.0594829042546216
meg,alpha,Astro,0.007344195058377357,0.04667028023505166,0.15736342317613744
meg,alpha,Chandelier,0.012514666570574063,0.07952716278017384,0.15736342317613744
meg,alpha,Endo,0.004504477376820191,0.028624678377632353,0.15736342317613744
meg,alpha,L2/3 IT,0.0033038584206778305,0.020995084842427517,0.15736342317613744
meg,alpha,L4 IT,0.004477084616424416,0.028450605141025685,0.15736342317613744
meg,alpha,L5 ET,0.004334265166433944,0.027543027972787463,0.15736342317613744
meg,alpha,L5 IT,0.0031416296900150043,0.01996416719086345,0.15736342317613744
meg,alpha,L5/6 NP,0.0045225070244160484,0.028739251683372383,0.15736342317613744
meg,alpha,L6 CT,0.006022031123337857,0.03826830277196865,0.15736342317613744
meg,alpha,L6 IT,0.005094390882855366,0.03237341168635609,0.15736342317613744
meg,alpha,L6 IT Car3,0.00716418927035841,0.04552639441720524,0.15736342317613744
meg,alpha,L6b,0.006009703893605499,0.03818996671722638,0.15736342317613744
meg,alpha,Lamp5,0.002833253061675773,0.01800452102839999,0.15736342317613744
meg,alpha,Lamp5_Lhx6,0.009053632003228815,0.05753326802693567,0.15736342317613744
meg,alpha,Micro-PVM,0.005434476415181964,0.03453455895592164,0.15736342317613744
meg,alpha,OPC,0.007442805798744594,0.047296923570440096,0.15736342317613744
meg,alpha,Oligo,0.009024097698297774,0.05734558588114259,0.15736342317613744
meg,alpha,Pax6,0.0035329594893426302,0.02245095726843827,0.15736342317613744
meg,alpha,Pvalb,0.013125772438325868,0.0834105675474163,0.15736342317613744
meg,alpha,Sncg,0.009133444993620328,0.05804045698343274,0.15736342317613744
meg,alpha,Sst,0.002333235283106425,0.014827049615556637,0.15736342317613744
meg,alpha,VLMC,0.004052028924902856,0.025749496567365627,0.15736342317613744
meg,alpha,Vip,0.022964717975814466,0.14593428073885997,0.15736342317613744
meg,beta,Astro,0.0030842308895784516,0.040310486387827194,0.07651187484827313
meg,beta,Chandelier,0.004413491208780908,0.05768374147847091,0.07651187484827313
meg,beta,Endo,0.0014861718474542772,0.019424067837854324,0.07651187484827313
meg,beta,L2/3 IT,0.0036453229415773915,0.04764388467549971,0.07651187484827313
meg,beta,L4 IT,0.0046425891408985575,0.060678020896822144,0.07651187484827313
meg,beta,L5 ET,0.004743286057762591,0.06199411617044759,0.07651187484827313
meg,beta,L5 IT,0.00145379301116576,0.01900088076587725,0.07651187484827313
meg,beta,L5/6 NP,0.006865869157743975,0.08973599420167572,0.07651187484827313
meg,beta,L6 CT,0.0021303194893985225,0.027842991609120186,0.07651187484827313
meg,beta,L6 IT,0.002815813532483954,0.03680230732899766,0.07651187484827313
meg,beta,L6 IT Car3,0.0022806941065049826,0.029808367799478357,0.07651187484827313
meg,beta,L6b,0.004480092287470129,0.05855420869445921,0.07651187484827313
meg,beta,Lamp5,0.0039946877267608245,0.05221003582362202,0.07651187484827313
meg,beta,Lamp5_Lhx6,0.0021572263892150143,0.028194661201191348,0.07651187484827313
meg,beta,Micro-PVM,0.0009538103217873739,0.012466173697596974,0.07651187484827313
meg,beta,OPC,0.005712725656758932,0.07466456243671395,0.07651187484827313
meg,beta,Oligo,0.005029050663329332,0.06572902145323442,0.07651187484827313
meg,beta,Pax6,0.0030347797450922696,0.0396641665246132,0.07651187484827313
meg,beta,Pvalb,0.0028138816768038125,0.03677705823290673,0.07651187484827313
meg,beta,Sncg,0.003846034600950104,0.05026715929490661,0.07651187484827313
meg,beta,Sst,0.0020746598734691403,0.02711552785215752,0.07651187484827313
meg,beta,VLMC,0.0006760718283945797,0.008836168630493815,0.07651187484827313
meg,beta,Vip,0.004177272694892255,0.05459639700603332,0.07651187484827313
meg,gamma1,Astro,0.0002438672536501471,0.04655177489541844,0.005238624181312326
meg,gamma1,Chandelier,0.0005388763732373293,0.10286601111025596,0.005238624181312326
meg,gamma1,Endo,7.372277735961777e-05,0.014072927319850131,0.005238624181312326
meg,gamma1,L2/3 IT,0.0002179729149524358,0.0416088093759441,0.005238624181312326
meg,gamma1,L4 IT,0.00013298248341714222,0.02538500163679022,0.005238624181312326
meg,gamma1,L5 ET,0.00021363547369593783,0.04078083601760111,0.005238624181312326
meg,gamma1,L5 IT,0.0002331247603738346,0.04450114234295665,0.005238624181312326
meg,gamma1,L5/6 NP,0.00012225171380299675,0.02333660701202878,0.005238624181312326
meg,gamma1,L6 CT,7.166635641631095e-05,0.013680377506744114,0.005238624181312326
meg,gamma1,L6 IT,0.00016395221719331518,0.03129680838304449,0.005238624181312326
meg,gamma1,L6 IT Car3,0.00022330166083633517,0.04262601269106423,0.005238624181312326
meg,gamma1,L6b,0.00015206488008808608,0.029027636804057275,0.005238624181312326
meg,gamma1,Lamp5,0.00019232630282148072,0.03671313233492942,0.005238624181312326
meg,gamma1,Lamp5_Lhx6,0.00023758224517117152,0.04535203079058343,0.005238624181312326
meg,gamma1,Micro-PVM,0.00022372548306933245,0.0427069160386472,0.005238624181312326
meg,gamma1,OPC,0.00020603769201271163,0.03933049687887654,0.005238624181312326
