phenotype,outcome,feature,mean_abs_shap,relative_shap,total_mean_abs_shap
meg,delta,Astro,0.005179428933875333,0.03219314111148591,0.16088610042551607
meg,delta,Chandelier,0.02703292892202088,0.1680252604204057,0.16088610042551607
meg,delta,Endo,0.005796384724317691,0.03602787754185881,0.16088610042551607
meg,delta,L2/3 IT,0.003931148230793901,0.02443435586042977,0.16088610042551607
meg,delta,L4 IT,0.004101386646696676,0.025492485900579436,0.16088610042551607
meg,delta,L5 ET,0.006680310151643288,0.04152198439750244,0.16088610042551607
meg,delta,L5 IT,0.005621304191514705,0.03493965094963034,0.16088610042551607
meg,delta,L5/6 NP,0.02064019239574057,0.12829071213206616,0.16088610042551607
meg,delta,L6 CT,0.007719755558720586,0.04798273771508639,0.16088610042551607
meg,delta,L6 IT,0.005279269616015392,0.03281370859292774,0.16088610042551607
meg,delta,L6 IT Car3,0.003338543530194165,0.02075097551226794,0.16088610042551607
meg,delta,L6b,0.017345005615669234,0.10780922385336382,0.16088610042551607
meg,delta,Lamp5,0.005077388742366114,0.03155890240945174,0.16088610042551607
meg,delta,Lamp5_Lhx6,0.003604900577982488,0.022406538342642068,0.16088610042551607
meg,delta,Micro-PVM,0.0020833624321335894,0.012949300322547777,0.16088610042551607
meg,delta,OPC,0.005535705426112713,0.03440760520313268,0.16088610042551607
meg,delta,Oligo,0.005129455466176366,0.03188252715809407,0.16088610042551607
meg,delta,Pax6,0.001602360292953369,0.009959594326143784,0.16088610042551607
meg,delta,Pvalb,0.008543277149252522,0.05310139985155351,0.16088610042551607
meg,delta,Sncg,0.007114363901553267,0.04421987904944553,0.16088610042551607
meg,delta,Sst,0.003917607484493122,0.024350192304566545,0.16088610042551607
meg,delta,VLMC,0.002593989943016337,0.01612314510797191,0.16088610042551607
meg,delta,Vip,0.0030180304922737293,0.018758801936845742,0.16088610042551607
meg,theta,Astro,0.0018999774914423295,0.02660105358019701,0.0714248962250411
meg,theta,Chandelier,0.006933341300570738,0.097071772827301,0.0714248962250411
meg,theta,Endo,0.004531974241552448,0.06345090411154938,0.0714248962250411
meg,theta,L2/3 IT,0.0032177619609025676,0.04505098545420695,0.0714248962250411
meg,theta,L4 IT,0.0026132435012845077,0.03658729153838549,0.0714248962250411
meg,theta,L5 ET,0.00406594868865297,0.05692621065688683,0.0714248962250411
meg,theta,L5 IT,0.0012626828825868929,0.017678469963869608,0.0714248962250411
meg,theta,L5/6 NP,0.010407626642644444,0.14571427041143672,0.0714248962250411
meg,theta,L6 CT,0.002330665348912141,0.03263099384238272,0.0714248962250411
meg,theta,L6 IT,0.00406937523705971,0.056974184802987694,0.0714248962250411
meg,theta,L6 IT Car3,0.0030876345654341185,0.04322910817687144,0.0714248962250411
meg,theta,L6b,0.005443616217784753,0.07621454850467471,0.0714248962250411
meg,theta,Lamp5,0.003087601030543049,0.04322863866423871,0.0714248962250411
meg,theta,Lamp5_Lhx6,0.002108521345458141,0.029520817766605412,0.0714248962250411
meg,theta,Micro-PVM,0.0014830090457713771,0.020763194966343455,0.0714248962250411
meg,theta,OPC,0.003968973602546569,0.055568489592779734,0.0714248962250411
meg,theta,Oligo,0.0016114447762817488,0.022561387715629426,0.0714248962250411
meg,theta,Pax6,0.002184002590487754,0.03057760957196963,0.0714248962250411
meg,theta,Pvalb,0.0011490203084062608,0.0160871120454414,0.0714248962250411
meg,theta,Sncg,0.0010315512792881387,0.014442461015805909,0.0714248962250411
meg,theta,Sst,0.002178093174523854,0.030494873491467935,0.0714248962250411
meg,theta,VLMC,0.0008391900250466183,0.011749264883809573,0.0714248962250411
meg,theta,Vip,0.001919640967859944,0.026876356415158925,0.0714248962250411
meg,alpha,Astro,0.0025285444118287926,0.01798368062180726,0.14060216398430944
meg,alpha,Chandelier,0.01966312202200328,0.1398493555490198,0.14060216398430944
meg,alpha,Endo,0.002216700120634984,0.015765761051034447,0.14060216398430944
meg,alpha,L2/3 IT,0.00116438407473114,0.008281409344888035,0.14060216398430944
meg,alpha,L4 IT,0.003845440636098876,0.027349796952826484,0.14060216398430944
meg,alpha,L5 ET,0.007401658472000957,0.05264256439770691,0.14060216398430944
meg,alpha,L5 IT,0.001779989847045886,0.01265976139061789,0.14060216398430944
meg,alpha,L5/6 NP,0.0025803598892975535,0.018352206084008137,0.14060216398430944
meg,alpha,L6 CT,0.0030101527721008736,0.021409007420659563,0.14060216398430944
meg,alpha,L6 IT,0.002179015246680504,0.01549773620072926,0.14060216398430944
meg,alpha,L6 IT Car3,0.005479198068646858,0.03896951450376192,0.14060216398430944
meg,alpha,L6b,0.0029172272291935306,0.020748096234984546,0.14060216398430944
meg,alpha,Lamp5,0.007754656570624973,0.055153180796636656,0.14060216398430944
meg,alpha,Lamp5_Lhx6,0.006320049426783744,0.04494987308651261,0.14060216398430944
meg,alpha,Micro-PVM,0.008599173277650788,0.06115960831591764,0.14060216398430944
meg,alpha,OPC,0.01026859554310138,0.07303298364772898,0.14060216398430944
meg,alpha,Oligo,0.006928325314964306,0.04927609304603218,0.14060216398430944
meg,alpha,Pax6,0.0018794383659444826,0.013367065717098205,0.14060216398430944
meg,alpha,Pvalb,0.010147837208364194,0.07217411824114348,0.14060216398430944
meg,alpha,Sncg,0.010302316079239648,0.07327281307270164,0.14060216398430944
meg,alpha,Sst,0.004735515365749515,0.03368024525054946,0.14060216398430944
meg,alpha,VLMC,0.005616581722699481,0.0399466236047851,0.14060216398430944
