phenotype,outcome,feature,pearson_r,spin_p,spin_q_bh,n_valid_spins
meg,delta,Astro,0.2961995468863446,0.5274725274725275,0.88997668997669,1000
meg,delta,Chandelier,0.7634332469468208,0.011988011988011988,0.2757242757242757,1000
meg,delta,Endo,0.09354188301491623,0.8401598401598401,0.9090909090909091,1000
meg,delta,L2/3 IT,-0.31374413654293765,0.39760239760239763,0.88997668997669,1000
meg,delta,L4 IT,-0.08212874719001698,0.8541458541458542,0.9090909090909091,1000
meg,delta,L5 ET,0.06979615169777723,0.9090909090909091,0.9090909090909091,1000
meg,delta,L5 IT,-0.12891645081377118,0.7212787212787213,0.9090909090909091,1000
meg,delta,L5/6 NP,-0.20446391189579657,0.43456543456543456,0.88997668997669,1000
meg,delta,L6 CT,0.2719947814805023,0.5624375624375625,0.88997668997669,1000
meg,delta,L6 IT,0.0998570207929422,0.8111888111888111,0.9090909090909091,1000
meg,delta,L6 IT Car3,0.19234065109057452,0.5804195804195804,0.88997668997669,1000
meg,delta,L6b,0.25647398391139364,0.46053946053946054,0.88997668997669,1000
meg,delta,Lamp5,0.39454358674902495,0.46653346653346656,0.88997668997669,1000
meg,delta,Lamp5_Lhx6,-0.054968588314501084,0.906093906093906,0.9090909090909091,1000
meg,delta,Micro-PVM,0.6814553400762475,0.055944055944055944,0.6433566433566433,1000
meg,delta,OPC,0.5830786942653121,0.11188811188811189,0.763986013986014,1000
meg,delta,Oligo,-0.17560722359440473,0.6723276723276723,0.9090909090909091,1000
meg,delta,Pax6,0.27597444308553687,0.3146853146853147,0.88997668997669,1000
meg,delta,Pvalb,-0.13833693231889832,0.7152847152847153,0.9090909090909091,1000
meg,delta,Sncg,0.6041064088280597,0.13286713286713286,0.763986013986014,1000
meg,delta,Sst,0.2685283693570899,0.34165834165834164,0.88997668997669,1000
meg,delta,VLMC,0.3016001863893373,0.24475524475524477,0.88997668997669,1000
meg,delta,Vip,0.2865139165364881,0.24275724275724275,0.88997668997669,1000
meg,theta,Astro,0.7003461615590838,0.003996003996003996,0.04595404595404595,1000
meg,theta,Chandelier,0.6633516946762178,0.056943056943056944,0.1838161838161838,1000
meg,theta,Endo,0.36265654185884644,0.16083916083916083,0.2642357642357642,1000
meg,theta,L2/3 IT,-0.5501345687819397,0.06393606393606394,0.1838161838161838,1000
meg,theta,L4 IT,-0.6720756185020368,0.011988011988011988,0.0919080919080919,1000
meg,theta,L5 ET,0.6972196578980564,0.03396603396603397,0.15624375624375625,1000
meg,theta,L5 IT,-0.35733889098455573,0.1918081918081918,0.2757242757242757,1000
meg,theta,L5/6 NP,-0.23681168424638077,0.43156843156843155,0.5158341658341659,1000
meg,theta,L6 CT,0.48330305881424107,0.15684315684315683,0.2642357642357642,1000
meg,theta,L6 IT,0.4785016321963181,0.08691308691308691,0.1999000999000999,1000
meg,theta,L6 IT Car3,-0.12163624298444199,0.6983016983016983,0.7300426845881391,1000
meg,theta,L6b,0.21543227218677685,0.5244755244755245,0.5744255744255745,1000
meg,theta,Lamp5,0.8078446566427435,0.000999000999000999,0.022977022977022976,1000
meg,theta,Lamp5_Lhx6,0.3916834612422737,0.3106893106893107,0.396991896991897,1000
meg,theta,Micro-PVM,0.6314201153855462,0.06293706293706294,0.1838161838161838,1000
meg,theta,OPC,0.6832327149629238,0.029970029970029972,0.15624375624375625,1000
meg,theta,Oligo,0.4479866875645927,0.18981018981018982,0.2757242757242757,1000
meg,theta,Pax6,0.4652207244976728,0.08291708291708291,0.1999000999000999,1000
meg,theta,Pvalb,0.4970340015624474,0.1088911088911089,0.22768140949959131,1000
meg,theta,Sncg,0.543848568106339,0.13186813186813187,0.25274725274725274,1000
meg,theta,Sst,0.03996307362871701,0.9140859140859141,0.9140859140859141,1000
meg,theta,VLMC,0.3062272072102264,0.21878121878121878,0.2959981195275313,1000
meg,theta,Vip,0.18741538628860085,0.4485514485514486,0.5158341658341659,1000
meg,alpha,Astro,-0.5580617738213588,0.2037962037962038,0.5093240093240093,1000
meg,alpha,Chandelier,-0.8429018053767262,0.00999000999000999,0.05744255744255745,1000
meg,alpha,Endo,-0.36995994423872436,0.26573426573426573,0.5093240093240093,1000
meg,alpha,L2/3 IT,0.5687519044834511,0.053946053946053944,0.20679320679320679,1000
meg,alpha,L4 IT,0.4257152321127157,0.4145854145854146,0.6338955162484575,1000
meg,alpha,L5 ET,-0.45860981395593114,0.46853146853146854,0.6338955162484575,1000
meg,alpha,L5 IT,0.19201789427149135,0.6163836163836164,0.7461485882538514,1000
meg,alpha,L5/6 NP,0.10749877774771247,0.7402597402597403,0.8512987012987013,1000
meg,alpha,L6 CT,-0.5049491596287938,0.2517482517482518,0.5093240093240093,1000
meg,alpha,L6 IT,-0.3746265765682701,0.2957042957042957,0.5231691385537539,1000
meg,alpha,L6 IT Car3,-0.08484813988166467,0.8291708291708292,0.8668604123149578,1000
meg,alpha,L6b,-0.40264804718173697,0.23476523476523475,0.5093240093240093,1000
meg,alpha,Lamp5,-0.7152999870339469,0.0999000999000999,0.3282431853860425,1000
meg,alpha,Lamp5_Lhx6,-0.3203364109180953,0.5444555444555444,0.6956931956931957,1000
meg,alpha,Micro-PVM,-0.8322818628694789,0.003996003996003996,0.030636030636030636,1000
meg,alpha,OPC,-0.7803654283374308,0.001998001998001998,0.022977022977022976,1000
meg,alpha,Oligo,-0.012990478871344375,0.977022977022977,0.977022977022977,1000
meg,alpha,Pax6,-0.4461988864499709,0.04695304695304695,0.20679320679320679,1000
meg,alpha,Pvalb,-0.11863757929012317,0.7792207792207793,0.8534322820037107,1000
meg,alpha,Sncg,-0.8209465304463888,0.001998001998001998,0.022977022977022976,1000
meg,alpha,Sst,-0.25394575951393555,0.4435564435564436,0.6338955162484575,1000
meg,alpha,VLMC,-0.3867280617673176,0.13786213786213786,0.39635364635364634,1000
meg,alpha,Vip,-0.24941289378517584,0.3706293706293706,0.6088911088911089,1000
meg,beta,Astro,0.5250582731375943,0.17582417582417584,0.673992673992674,1000
meg,beta,Chandelier,-0.0051507807744430095,0.9920079920079921,0.9920079920079921,1000
meg,beta,Endo,0.4074346938426478,0.16983016983016982,0.673992673992674,1000
meg,beta,L2/3 IT,-0.21024107226984726,0.5814185814185814,0.9468952100531048,1000
meg,beta,L4 IT,-0.6984782781340734,0.016983016983016984,0.19530469530469532,1000
meg,beta,L5 ET,0.6834478361121278,0.13486513486513488,0.673992673992674,1000
meg,beta,L5 IT,-0.3362579440852741,0.25874125874125875,0.7812187812187813,1000
meg,beta,L5/6 NP,-0.12710946917370872,0.7232767232767233,0.9468952100531048,1000
meg,beta,L6 CT,0.21245939166765473,0.6523476523476524,0.9468952100531048,1000
meg,beta,L6 IT,0.3411575577668359,0.3166833166833167,0.8083734447370811,1000
meg,beta,L6 IT Car3,-0.21180166321435068,0.6473526473526473,0.9468952100531048,1000
meg,beta,L6b,-0.058378484984884134,0.8721278721278721,0.9920079920079921,1000
meg,beta,Lamp5,0.5398386251971872,0.27172827172827174,0.7812187812187813,1000
meg,beta,Lamp5_Lhx6,0.397357953046462,0.3866133866133866,0.8083734447370811,1000
meg,beta,Micro-PVM,0.042880595101478694,0.957042957042957,0.9920079920079921,1000
meg,beta,OPC,0.18275057993564378,0.7542457542457542,0.9468952100531048,1000
meg,beta,Oligo,0.6832780115908121,0.016983016983016984,0.19530469530469532,1000
meg,beta,Pax6,0.24776268784381283,0.3726273726273726,0.8083734447370811,1000
meg,beta,Pvalb,0.6138711319923109,0.03196803196803197,0.2450882450882451,1000
meg,beta,Sncg,0.08094817824003663,0.9070929070929071,0.9920079920079921,1000
meg,beta,Sst,-0.2711360261941332,0.44155844155844154,0.8463203463203464,1000
meg,beta,VLMC,0.11062429845792104,0.7572427572427572,0.9468952100531048,1000
meg,beta,Vip,-0.07757824558214457,0.7822177822177823,0.9468952100531048,1000
meg,gamma1,Astro,0.5014420253570073,0.17882117882117882,0.4112887112887113,1000
meg,gamma1,Chandelier,0.7371933428425204,0.016983016983016984,0.2450882450882451,1000
meg,gamma1,Endo,0.37777390248316145,0.16383616383616384,0.4112887112887113,1000
meg,gamma1,L2/3 IT,-0.4457722140931872,0.15084915084915085,0.4112887112887113,1000
meg,gamma1,L4 IT,-0.39944667721114013,0.3776223776223776,0.6577172827172827,1000
meg,gamma1,L5 ET,0.4083964175634774,0.44455544455544455,0.6577172827172827,1000
meg,gamma1,L5 IT,-0.2147882773021158,0.5234765234765235,0.7082329435270612,1000
meg,gamma1,L5/6 NP,-0.15383527923800133,0.5824175824175825,0.7442002442002442,1000
meg,gamma1,L6 CT,0.400111876332892,0.3276723276723277,0.6577172827172827,1000
meg,gamma1,L6 IT,0.28450985572467696,0.4095904095904096,0.6577172827172827,1000
meg,gamma1,L6 IT Car3,0.06935177396458063,0.8741258741258742,0.8741258741258742,1000
meg,gamma1,L6b,0.2912014246349128,0.3776223776223776,0.6577172827172827,1000
meg,gamma1,Lamp5,0.6386282159756969,0.08591408591408592,0.39520479520479523,1000
meg,gamma1,Lamp5_Lhx6,0.20015593781492735,0.6593406593406593,0.7981492192018508,1000
meg,gamma1,Micro-PVM,0.6978397278547795,0.03196803196803197,0.2450882450882451,1000
meg,gamma1,OPC,0.6396386392211725,0.05094905094905095,0.292957042957043,1000
meg,gamma1,Oligo,0.10225374368376447,0.8011988011988012,0.8376169285260193,1000
meg,gamma1,Pax6,0.36684423165919783,0.1258741258741259,0.4112887112887113,1000
meg,gamma1,Pvalb,0.11306852229512128,0.7862137862137862,0.8376169285260193,1000
meg,gamma1,Sncg,0.6957044493788969,0.026973026973026972,0.2450882450882451,1000
meg,gamma1,Sst,0.10109226533999441,0.7192807192807192,0.8271728271728271,1000
meg,gamma1,VLMC,0.33325618703112786,0.16983016983016982,0.4112887112887113,1000
meg,gamma1,Vip,0.20320955311536984,0.45754245754245754,0.6577172827172827,1000
meg,gamma2,Astro,0.12005161201020807,0.8251748251748252,0.959564245278531,1000
meg,gamma2,Chandelier,0.6515106361434347,0.1038961038961039,0.7965367965367967,1000
meg,gamma2,Endo,0.00016901149311010022,1.0,1.0,1000
meg,gamma2,L2/3 IT,-0.15807381932578285,0.7102897102897103,0.959564245278531,1000
meg,gamma2,L4 IT,0.13254762769271566,0.8041958041958042,0.959564245278531,1000
meg,gamma2,L5 ET,-0.22897769335221796,0.7142857142857143,0.959564245278531,1000
meg,gamma2,L5 IT,0.06451600700752426,0.8761238761238761,0.959564245278531,1000
meg,gamma2,L5/6 NP,-0.23654316445966683,0.40559440559440557,0.7965367965367967,1000
meg,gamma2,L6 CT,0.010649632945000702,0.988011988011988,1.0,1000
meg,gamma2,L6 IT,-0.07550386789908489,0.8511488511488512,0.959564245278531,1000
meg,gamma2,L6 IT Car3,0.3204642441941528,0.3146853146853147,0.7965367965367967,1000
meg,gamma2,L6b,0.12672031375826667,0.7472527472527473,0.959564245278531,1000
meg,gamma2,Lamp5,0.17609167986909094,0.7972027972027972,0.959564245278531,1000
meg,gamma2,Lamp5_Lhx6,-0.2764292925016632,0.5434565434565435,0.959564245278531,1000
meg,gamma2,Micro-PVM,0.5960111750156916,0.17282717282717283,0.7965367965367967,1000
meg,gamma2,OPC,0.45480673705543956,0.32667332667332666,0.7965367965367967,1000
