phenotype,outcome,full_r2,alpha,spin_p,n_spin,spin_q_bh_across_outcomes
meg,delta,0.8096793697967127,1.7782794100389228,0.09090909090909091,1000,0.15702479338842976
meg,theta,0.7343153767215076,56.23413251903491,0.053946053946053944,1000,0.11388611388611389
meg,alpha,0.8975527427891069,5.62341325190349,0.023976023976023976,1000,0.056943056943056944
meg,beta,0.8488715902395557,1.0,0.26673326673326675,1000,0.33786213786213787
meg,gamma1,0.6809555359864106,17.78279410038923,0.3906093906093906,1000,0.43656343656343655
meg,gamma2,0.7310234698443983,17.78279410038923,0.18281718281718282,1000,0.26719434411742105
enigma,22q,0.49774685152011267,5.62341325190349,0.4995004995004995,1000,0.5272505272505273
enigma,adhd,0.8297765978618042,17.78279410038923,0.000999000999000999,1000,0.009490509490509492
enigma,asd,0.912620553540946,3.162277660168379,0.000999000999000999,1000,0.009490509490509492
enigma,epilepsy_gge,0.22489118391907703,1000.0,0.14985014985014986,1000,0.23726273726273728
enigma,epilepsy_rtle,0.8808783768693815,1.0,0.001998001998001998,1000,0.009490509490509492
enigma,epilepsy_ltle,0.6589404597258167,56.23413251903491,0.01098901098901099,1000,0.02982731554160126
enigma,depression,0.7745121716581318,0.1778279410038923,0.003996003996003996,1000,0.015184815184815185
enigma,ocd,0.13546712800468885,1000.0,0.1978021978021978,1000,0.2684458398744113
enigma,schizophrenia,0.1579920260679385,1000.0,0.6833166833166833,1000,0.6833166833166833
enigma,bipolar,0.4932050865175881,17.78279410038923,0.2947052947052947,1000,0.34996253746253747
enigma,obesity,0.8267712536533797,0.5623413251903491,0.001998001998001998,1000,0.009490509490509492
enigma,schizotypy,0.6078990902971557,10.0,0.06693306693306693,1000,0.12717282717282719
enigma,parkinson,0.757053005628367,10.0,0.008991008991008992,1000,0.028471528471528475
